DDI,sequence_num,auc,blAUC,diffAUC
PF00004.21_int_PF09336.2,1,0.914,0.955,-0.041
PF00004.21_int_PF09336.2,2,0.984,0.963,0.021
PF00004.21_int_PF09336.2,7,0.96,0.929,0.031
PF00017.16_int_PF00018.20,1,0.981,0.738,0.243
PF00017.16_int_PF00018.20,2,0.914,0.54,0.374
PF00017.16_int_PF00018.20,4,0.975,0.818,0.157
PF00017.16_int_PF00018.20,5,0.969,0.781,0.188
PF00017.16_int_PF00018.20,7,0.855,0.578,0.277
PF00017.16_int_PF00018.20,8,0.914,0.84,0.074
PF00017.16_int_PF00018.20,20,0.837,0.735,0.102
PF00017.16_int_PF00018.20,21,0.958,0.75,0.208
PF00017.16_int_PF00018.20,22,0.961,0.793,0.168
PF00025.13_int_PF00025.13,1,0.968,0.807,0.161
PF00025.13_int_PF00025.13,2,0.966,0.971,-0.005
PF00025.13_int_PF00025.13,3,1.0,1.0,0.0
PF00025.13_int_PF00025.13,6,0.954,0.984,-0.03
PF00025.13_int_PF00025.13,7,0.948,0.576,0.372
PF00025.13_int_PF00025.13,10,1.0,0.957,0.043
PF00025.13_int_PF00025.13,11,0.892,0.621,0.271
PF00025.13_int_PF00025.13,15,0.679,0.663,0.016
PF00025.13_int_PF00025.13,21,0.834,0.779,0.055
PF00028.9_int_PF00028.9,1,0.983,0.769,0.214
PF00028.9_int_PF00028.9,3,0.939,0.449,0.49
PF00028.9_int_PF00028.9,7,0.646,0.33,0.316
PF00028.9_int_PF00028.9,8,0.889,0.765,0.124
PF00028.9_int_PF00028.9,19,0.972,0.84,0.132
PF00028.9_int_PF00028.9,20,0.93,0.93,0.0
PF00028.9_int_PF00028.9,21,0.778,0.194,0.584
PF00028.9_int_PF00028.9,22,0.552,0.605,-0.053
PF00032.9_int_PF02271.8,1,0.988,1.0,-0.012
PF00032.9_int_PF02271.8,2,0.997,0.988,0.009
PF00032.9_int_PF02271.8,5,1.0,0.998,0.002
PF00032.9_int_PF02271.8,31,1.0,1.0,0.0
PF00032.9_int_PF02939.8,1,1.0,0.997,0.003
PF00032.9_int_PF02939.8,2,0.984,0.999,-0.015
PF00032.9_int_PF02939.8,5,0.989,0.951,0.038
PF00032.9_int_PF02939.8,31,0.976,0.985,-0.009
PF00033.11_int_PF00033.11,1,0.914,0.966,-0.052
PF00033.11_int_PF00033.11,2,0.982,0.993,-0.011
PF00033.11_int_PF00033.11,5,0.939,0.96,-0.021
PF00033.11_int_PF00033.11,6,0.996,0.988,0.008
PF00033.11_int_PF00033.11,9,0.991,0.978,0.013
PF00033.11_int_PF00033.11,20,0.974,0.996,-0.022
PF00033.11_int_PF00355.18,1,1.0,1.0,0.0
PF00033.11_int_PF00355.18,3,1.0,1.0,0.0
PF00033.11_int_PF00355.18,7,0.99,1.0,-0.01
PF00033.11_int_PF00355.18,8,1.0,1.0,0.0
PF00033.11_int_PF00355.18,10,1.0,1.0,0.0
PF00033.11_int_PF00355.18,16,1.0,1.0,0.0
PF00033.11_int_PF00355.18,39,1.0,1.0,0.0
PF00033.11_int_PF02271.8,1,1.0,1.0,0.0
PF00033.11_int_PF02271.8,2,1.0,1.0,0.0
PF00033.11_int_PF02271.8,5,1.0,0.984,0.016
PF00033.11_int_PF02939.8,1,1.0,1.0,0.0
PF00033.11_int_PF02939.8,2,1.0,1.0,0.0
PF00033.11_int_PF02939.8,26,1.0,0.972,0.028
PF00034.13_int_PF00141.15,1,0.875,0.891,-0.016
PF00034.13_int_PF00141.15,7,0.87,0.948,-0.078
PF00034.13_int_PF02239.8,1,1.0,1.0,0.0
PF00034.13_int_PF02239.8,6,1.0,0.961,0.039
PF00051.10_int_PF00051.10,1,0.988,0.593,0.395
PF00051.10_int_PF00051.10,3,0.889,0.877,0.012
PF00051.10_int_PF00051.10,4,1.0,0.796,0.204
PF00051.10_int_PF00051.10,5,0.88,0.16,0.72
PF00051.10_int_PF00051.10,6,0.901,0.556,0.345
PF00051.10_int_PF00051.10,11,0.857,0.781,0.076
PF00051.10_int_PF00051.10,12,0.627,0.369,0.258
PF00051.10_int_PF00051.10,16,0.932,0.752,0.18
PF00074.12_int_PF07686.9,1,0.914,0.746,0.168
PF00074.12_int_PF07686.9,7,0.959,0.944,0.015
PF00074.12_int_PF07686.9,8,0.822,0.875,-0.053
PF00081.14_int_PF00081.14,1,1.0,0.977,0.023
PF00081.14_int_PF00081.14,2,0.754,0.753,0.001
PF00081.14_int_PF00081.14,5,1.0,0.972,0.028
PF00081.14_int_PF00081.14,7,0.924,0.917,0.007
PF00081.14_int_PF00081.14,12,0.922,1.0,-0.078
PF00081.14_int_PF00081.14,26,0.959,1.0,-0.041
PF00081.14_int_PF00081.14,40,1.0,1.0,0.0
PF00081.14_int_PF00081.14,42,0.994,0.977,0.017
PF00087.13_int_PF00087.13,1,0.968,0.934,0.034
PF00087.13_int_PF00087.13,2,0.82,0.442,0.378
PF00087.13_int_PF00087.13,4,0.934,0.973,-0.039
PF00087.13_int_PF00087.13,5,0.961,0.907,0.054
PF00087.13_int_PF00087.13,6,0.984,0.875,0.109
PF00087.13_int_PF00087.13,7,0.769,0.736,0.033
PF00087.13_int_PF00087.13,8,0.595,0.62,-0.025
PF00087.13_int_PF00087.13,10,0.987,0.853,0.134
PF00087.13_int_PF00087.13,12,0.793,0.85,-0.057
PF00087.13_int_PF00087.13,16,0.877,0.855,0.022
PF00104.22_int_PF08832.2,1,0.954,0.964,-0.01
PF00104.22_int_PF08832.2,4,0.965,0.997,-0.032
PF00104.22_int_PF08832.2,9,0.879,0.944,-0.065
PF00104.22_int_PF08832.2,11,0.889,0.994,-0.105
PF00127.12_int_PF06433.3,1,1.0,0.918,0.082
PF00127.12_int_PF06433.3,15,1.0,0.875,0.125
PF00127.12_int_PF06433.3,27,1.0,1.0,0.0
PF00149.20_int_PF08321.4,1,0.861,0.97,-0.109
PF00149.20_int_PF08321.4,3,0.951,0.963,-0.012
PF00167.10_int_PF07679.8,1,0.947,0.889,0.058
PF00167.10_int_PF07679.8,2,0.924,0.977,-0.053
PF00167.10_int_PF07679.8,6,0.82,0.925,-0.105
PF00167.10_int_PF07679.8,7,0.945,0.966,-0.021
PF00167.10_int_PF07679.8,11,0.966,0.889,0.077
PF00167.10_int_PF07679.8,24,0.968,0.986,-0.018
PF00167.10_int_PF07679.8,25,0.893,0.969,-0.076
PF00167.10_int_PF07679.8,26,0.979,0.981,-0.002
PF00243.10_int_PF00243.10,1,0.879,0.928,-0.049
PF00243.10_int_PF00243.10,2,0.922,0.972,-0.05
PF00243.10_int_PF00243.10,3,0.875,0.951,-0.076
PF00243.10_int_PF00243.10,4,0.54,0.85,-0.31
PF00243.10_int_PF00243.10,7,0.854,0.917,-0.063
PF00243.10_int_PF00243.10,8,0.906,0.94,-0.034
PF00243.10_int_PF00243.10,12,0.928,0.937,-0.009
PF00254.20_int_PF00254.20,1,0.919,0.527,0.392
PF00254.20_int_PF00254.20,7,0.82,0.484,0.336
PF00254.20_int_PF00254.20,9,0.581,0.649,-0.068
PF00254.20_int_PF00254.20,15,0.797,0.672,0.125
PF00254.20_int_PF00254.20,16,0.675,0.532,0.143
PF00254.20_int_PF00254.20,18,0.826,0.81,0.016
PF00385.16_int_PF00385.16,1,1.0,0.942,0.058
PF00385.16_int_PF00385.16,11,0.97,0.95,0.02
PF00385.16_int_PF00385.16,13,0.889,0.296,0.593
PF00385.16_int_PF00385.16,17,0.898,0.833,0.065
PF00385.16_int_PF00385.16,18,0.881,0.839,0.042
PF00385.16_int_PF00385.16,19,0.936,0.363,0.573
PF00393.11_int_PF00393.11,1,0.841,0.851,-0.01
PF00393.11_int_PF00393.11,2,0.86,0.911,-0.051
PF00393.11_int_PF00393.11,5,0.921,0.93,-0.009
PF00393.11_int_PF00393.11,7,0.914,0.905,0.009
PF00393.11_int_PF00393.11,11,0.937,0.945,-0.008
PF00511.9_int_PF00511.9,1,0.999,0.94,0.059
PF00511.9_int_PF00511.9,2,0.989,0.982,0.007
PF00511.9_int_PF00511.9,3,0.999,0.995,0.004
PF00511.9_int_PF00511.9,7,1.0,0.993,0.007
PF00511.9_int_PF00511.9,9,0.926,0.943,-0.017
PF00511.9_int_PF00511.9,15,0.949,0.961,-0.012
PF00563.12_int_PF00563.12,1,0.62,0.784,-0.164
PF00563.12_int_PF00563.12,2,0.661,0.902,-0.241
PF00563.12_int_PF00563.12,4,0.64,0.838,-0.198
PF00563.12_int_PF00563.12,9,0.264,0.364,-0.1
PF00617.11_int_PF00618.12,1,0.986,0.919,0.067
PF00617.11_int_PF00618.12,11,0.952,0.958,-0.006
PF00711.11_int_PF00711.11,1,0.778,0.722,0.056
PF00711.11_int_PF00711.11,23,0.84,0.73,0.11
PF00712.11_int_PF02768.7,1,0.99,0.978,0.012
PF00712.11_int_PF02768.7,7,0.995,1.0,-0.005
PF00712.11_int_PF02768.7,9,1.0,0.998,0.002
PF00782.12_int_PF00782.12,1,1.0,0.444,0.556
PF00782.12_int_PF00782.12,2,0.97,0.74,0.23
PF00782.12_int_PF00782.12,3,0.455,0.405,0.05
PF00782.12_int_PF00782.12,4,0.898,0.48,0.418
PF00782.12_int_PF00782.12,7,0.852,0.587,0.265
PF00782.12_int_PF00782.12,11,0.904,0.604,0.3
PF00782.12_int_PF00782.12,13,0.893,0.804,0.089
PF00782.12_int_PF00782.12,18,0.893,0.686,0.207
PF00563.12_int_PF00563.12,0.54625,0.722,-0.17575
PF00243.10_int_PF00243.10,0.843428571429,0.927857142857,-0.0844285714286
PF00149.20_int_PF08321.4,0.906,0.9665,-0.0605
PF00104.22_int_PF08832.2,0.92175,0.97475,-0.053
PF00034.13_int_PF00141.15,0.8725,0.9195,-0.047
PF00167.10_int_PF07679.8,0.93025,0.94775,-0.0175
PF00033.11_int_PF00033.11,0.966,0.980166666667,-0.0141666666667
PF00393.11_int_PF00393.11,0.8946,0.9084,-0.0138
PF00081.14_int_PF00081.14,0.944125,0.9495,-0.005375
PF00033.11_int_PF00355.18,0.998571428571,1.0,-0.00142857142857
PF00032.9_int_PF02271.8,0.99625,0.9965,-0.00025
PF00712.11_int_PF02768.7,0.995,0.992,0.003
PF00004.21_int_PF09336.2,0.952666666667,0.949,0.00366666666667
PF00032.9_int_PF02939.8,0.98725,0.983,0.00425
PF00033.11_int_PF02271.8,1.0,0.994666666667,0.00533333333333
PF00511.9_int_PF00511.9,0.977,0.969,0.008
PF00033.11_int_PF02939.8,1.0,0.990666666667,0.00933333333333
PF00034.13_int_PF02239.8,1.0,0.9805,0.0195
PF00617.11_int_PF00618.12,0.969,0.9385,0.0305
PF00074.12_int_PF07686.9,0.898333333333,0.855,0.0433333333333
PF00087.13_int_PF00087.13,0.8688,0.8045,0.0643
PF00127.12_int_PF06433.3,1.0,0.931,0.069
PF00711.11_int_PF00711.11,0.809,0.726,0.083
PF00025.13_int_PF00025.13,0.915666666667,0.817555555556,0.0981111111111
PF00254.20_int_PF00254.20,0.769666666667,0.612333333333,0.157333333333
PF00017.16_int_PF00018.20,0.929333333333,0.730333333333,0.199
PF00385.16_int_PF00385.16,0.929,0.703833333333,0.225166666667
PF00028.9_int_PF00028.9,0.836125,0.61025,0.225875
PF00782.12_int_PF00782.12,0.858125,0.59375,0.264375
PF00051.10_int_PF00051.10,0.88425,0.6105,0.27375
