DDI,sequence_num,auc,blAUC,diffAUC
PF00004.21_int_PF09336.2,1,0.914,0.891,0.023
PF00004.21_int_PF09336.2,2,0.984,0.977,0.007
PF00004.21_int_PF09336.2,7,0.96,0.927,0.033
PF00017.16_int_PF00018.20,1,0.981,0.923,0.058
PF00017.16_int_PF00018.20,2,0.914,0.877,0.037
PF00017.16_int_PF00018.20,4,0.975,0.942,0.033
PF00017.16_int_PF00018.20,5,0.969,1.0,-0.031
PF00017.16_int_PF00018.20,7,0.855,0.83,0.025
PF00017.16_int_PF00018.20,8,0.914,0.821,0.093
PF00017.16_int_PF00018.20,20,0.837,1.0,-0.163
PF00017.16_int_PF00018.20,21,0.958,0.972,-0.014
PF00017.16_int_PF00018.20,22,0.961,0.899,0.062
PF00025.13_int_PF00025.13,1,0.968,0.978,-0.01
PF00025.13_int_PF00025.13,2,0.966,0.949,0.017
PF00025.13_int_PF00025.13,3,1.0,1.0,0.0
PF00025.13_int_PF00025.13,6,0.954,0.979,-0.025
PF00025.13_int_PF00025.13,7,0.948,0.975,-0.027
PF00025.13_int_PF00025.13,10,1.0,0.984,0.016
PF00025.13_int_PF00025.13,11,0.892,0.849,0.043
PF00025.13_int_PF00025.13,15,0.679,0.694,-0.015
PF00025.13_int_PF00025.13,21,0.834,0.886,-0.052
PF00028.9_int_PF00028.9,1,0.983,1.0,-0.017
PF00028.9_int_PF00028.9,3,0.939,0.918,0.021
PF00028.9_int_PF00028.9,7,0.646,0.805,-0.159
PF00028.9_int_PF00028.9,8,0.889,0.889,0.0
PF00028.9_int_PF00028.9,19,0.972,1.0,-0.028
PF00028.9_int_PF00028.9,20,0.93,0.98,-0.05
PF00028.9_int_PF00028.9,21,0.778,0.972,-0.194
PF00028.9_int_PF00028.9,22,0.552,0.481,0.071
PF00032.9_int_PF02271.8,1,0.988,1.0,-0.012
PF00032.9_int_PF02271.8,2,0.997,1.0,-0.003
PF00032.9_int_PF02271.8,5,1.0,1.0,0.0
PF00032.9_int_PF02271.8,31,1.0,1.0,0.0
PF00032.9_int_PF02939.8,1,1.0,1.0,0.0
PF00032.9_int_PF02939.8,2,0.984,0.996,-0.012
PF00032.9_int_PF02939.8,5,0.989,0.979,0.01
PF00032.9_int_PF02939.8,31,0.976,0.973,0.003
PF00033.11_int_PF00033.11,1,0.914,0.969,-0.055
PF00033.11_int_PF00033.11,2,0.982,0.998,-0.016
PF00033.11_int_PF00033.11,5,0.939,0.981,-0.042
PF00033.11_int_PF00033.11,6,0.996,0.999,-0.003
PF00033.11_int_PF00033.11,9,0.991,0.984,0.007
PF00033.11_int_PF00033.11,20,0.974,1.0,-0.026
PF00033.11_int_PF00355.18,1,1.0,1.0,0.0
PF00033.11_int_PF00355.18,3,1.0,1.0,0.0
PF00033.11_int_PF00355.18,7,0.99,1.0,-0.01
PF00033.11_int_PF00355.18,8,1.0,1.0,0.0
PF00033.11_int_PF00355.18,10,1.0,1.0,0.0
PF00033.11_int_PF00355.18,16,1.0,1.0,0.0
PF00033.11_int_PF00355.18,39,1.0,1.0,0.0
PF00033.11_int_PF02271.8,1,1.0,1.0,0.0
PF00033.11_int_PF02271.8,2,1.0,0.959,0.041
PF00033.11_int_PF02271.8,5,1.0,1.0,0.0
PF00033.11_int_PF02939.8,1,1.0,1.0,0.0
PF00033.11_int_PF02939.8,2,1.0,1.0,0.0
PF00033.11_int_PF02939.8,26,1.0,1.0,0.0
PF00034.13_int_PF00141.15,1,0.875,1.0,-0.125
PF00034.13_int_PF00141.15,7,0.87,1.0,-0.13
PF00034.13_int_PF02239.8,1,1.0,1.0,0.0
PF00034.13_int_PF02239.8,6,1.0,1.0,0.0
PF00051.10_int_PF00051.10,1,0.988,1.0,-0.012
PF00051.10_int_PF00051.10,3,0.889,1.0,-0.111
PF00051.10_int_PF00051.10,4,1.0,1.0,0.0
PF00051.10_int_PF00051.10,5,0.88,0.67,0.21
PF00051.10_int_PF00051.10,6,0.901,0.889,0.012
PF00051.10_int_PF00051.10,11,0.857,0.939,-0.082
PF00051.10_int_PF00051.10,12,0.627,0.8,-0.173
PF00051.10_int_PF00051.10,16,0.932,0.851,0.081
PF00074.12_int_PF07686.9,1,0.914,0.941,-0.027
PF00074.12_int_PF07686.9,7,0.959,1.0,-0.041
PF00074.12_int_PF07686.9,8,0.822,0.826,-0.004
PF00081.14_int_PF00081.14,1,1.0,0.982,0.018
PF00081.14_int_PF00081.14,2,0.754,0.802,-0.048
PF00081.14_int_PF00081.14,5,1.0,1.0,0.0
PF00081.14_int_PF00081.14,7,0.924,0.97,-0.046
PF00081.14_int_PF00081.14,12,0.922,0.984,-0.062
PF00081.14_int_PF00081.14,26,0.959,1.0,-0.041
PF00081.14_int_PF00081.14,40,1.0,1.0,0.0
PF00081.14_int_PF00081.14,42,0.994,0.97,0.024
PF00087.13_int_PF00087.13,1,0.968,0.892,0.076
PF00087.13_int_PF00087.13,2,0.82,0.727,0.093
PF00087.13_int_PF00087.13,4,0.934,0.984,-0.05
PF00087.13_int_PF00087.13,5,0.961,0.955,0.006
PF00087.13_int_PF00087.13,6,0.984,0.996,-0.012
PF00087.13_int_PF00087.13,7,0.769,0.876,-0.107
PF00087.13_int_PF00087.13,8,0.595,0.579,0.016
PF00087.13_int_PF00087.13,10,0.987,0.996,-0.009
PF00087.13_int_PF00087.13,12,0.793,0.845,-0.052
