DDI,sequence_num,auc,blAUC,diffAUC
PF00004.21_int_PF09336.2,1,0.914,0.946,-0.032
PF00004.21_int_PF09336.2,2,0.984,0.982,0.002
PF00004.21_int_PF09336.2,7,0.96,0.976,-0.016
PF00017.16_int_PF00018.20,1,0.981,0.985,-0.004
PF00017.16_int_PF00018.20,2,0.914,0.941,-0.027
PF00017.16_int_PF00018.20,4,0.975,0.975,0.0
PF00017.16_int_PF00018.20,5,0.969,1.0,-0.031
PF00017.16_int_PF00018.20,7,0.855,0.92,-0.065
PF00017.16_int_PF00018.20,8,0.914,0.852,0.062
PF00017.16_int_PF00018.20,20,0.837,1.0,-0.163
PF00017.16_int_PF00018.20,21,0.958,0.917,0.041
PF00017.16_int_PF00018.20,22,0.961,0.963,-0.002
PF00025.13_int_PF00025.13,1,0.968,0.966,0.002
PF00025.13_int_PF00025.13,2,0.966,0.968,-0.002
PF00025.13_int_PF00025.13,3,1.0,1.0,0.0
PF00025.13_int_PF00025.13,6,0.954,0.972,-0.018
PF00025.13_int_PF00025.13,7,0.948,0.917,0.031
PF00025.13_int_PF00025.13,10,1.0,1.0,0.0
PF00025.13_int_PF00025.13,11,0.892,0.859,0.033
PF00025.13_int_PF00025.13,15,0.679,0.592,0.087
PF00025.13_int_PF00025.13,21,0.834,0.841,-0.007
PF00028.9_int_PF00028.9,1,0.983,1.0,-0.017
PF00028.9_int_PF00028.9,3,0.939,0.857,0.082
PF00028.9_int_PF00028.9,7,0.646,0.689,-0.043
PF00028.9_int_PF00028.9,8,0.889,1.0,-0.111
PF00028.9_int_PF00028.9,19,0.972,0.969,0.003
PF00028.9_int_PF00028.9,20,0.93,1.0,-0.07
PF00028.9_int_PF00028.9,21,0.778,0.944,-0.166
PF00028.9_int_PF00028.9,22,0.552,0.593,-0.041
PF00032.9_int_PF02271.8,1,0.988,1.0,-0.012
PF00032.9_int_PF02271.8,2,0.997,1.0,-0.003
PF00032.9_int_PF02271.8,5,1.0,1.0,0.0
PF00032.9_int_PF02271.8,31,1.0,1.0,0.0
PF00032.9_int_PF02939.8,1,1.0,1.0,0.0
PF00032.9_int_PF02939.8,2,0.984,1.0,-0.016
PF00032.9_int_PF02939.8,5,0.989,0.972,0.017
PF00032.9_int_PF02939.8,31,0.976,0.99,-0.014
PF00033.11_int_PF00033.11,1,0.914,0.948,-0.034
PF00033.11_int_PF00033.11,2,0.982,0.999,-0.017
PF00033.11_int_PF00033.11,5,0.939,0.886,0.053
PF00033.11_int_PF00033.11,6,0.996,1.0,-0.004
PF00033.11_int_PF00033.11,9,0.991,0.998,-0.007
PF00033.11_int_PF00033.11,20,0.974,0.995,-0.021
PF00033.11_int_PF00355.18,1,1.0,1.0,0.0
PF00033.11_int_PF00355.18,3,1.0,1.0,0.0
PF00033.11_int_PF00355.18,7,0.99,1.0,-0.01
PF00033.11_int_PF00355.18,8,1.0,1.0,0.0
PF00033.11_int_PF00355.18,10,1.0,1.0,0.0
PF00033.11_int_PF00355.18,16,1.0,1.0,0.0
PF00033.11_int_PF00355.18,39,1.0,1.0,0.0
PF00033.11_int_PF02271.8,1,1.0,1.0,0.0
PF00033.11_int_PF02271.8,2,1.0,0.959,0.041
PF00033.11_int_PF02271.8,5,1.0,1.0,0.0
PF00033.11_int_PF02939.8,1,1.0,0.917,0.083
PF00033.11_int_PF02939.8,2,1.0,1.0,0.0
PF00033.11_int_PF02939.8,26,1.0,1.0,0.0
PF00034.13_int_PF00141.15,1,0.875,1.0,-0.125
PF00034.13_int_PF00141.15,7,0.87,1.0,-0.13
PF00034.13_int_PF02239.8,1,1.0,1.0,0.0
PF00034.13_int_PF02239.8,6,1.0,1.0,0.0
PF00051.10_int_PF00051.10,1,0.988,0.864,0.124
PF00051.10_int_PF00051.10,3,0.889,0.778,0.111
PF00051.10_int_PF00051.10,4,1.0,0.714,0.286
PF00051.10_int_PF00051.10,5,0.88,0.53,0.35
PF00051.10_int_PF00051.10,6,0.901,0.84,0.061
PF00051.10_int_PF00051.10,11,0.857,0.985,-0.128
PF00051.10_int_PF00051.10,12,0.627,0.631,-0.004
PF00051.10_int_PF00051.10,16,0.932,0.957,-0.025
PF00074.12_int_PF07686.9,1,0.914,0.942,-0.028
PF00074.12_int_PF07686.9,7,0.959,1.0,-0.041
PF00074.12_int_PF07686.9,8,0.822,0.815,0.007
PF00081.14_int_PF00081.14,1,1.0,0.983,0.017
PF00081.14_int_PF00081.14,2,0.754,0.808,-0.054
PF00081.14_int_PF00081.14,5,1.0,1.0,0.0
PF00081.14_int_PF00081.14,7,0.924,0.961,-0.037
PF00081.14_int_PF00081.14,12,0.922,1.0,-0.078
PF00081.14_int_PF00081.14,26,0.959,1.0,-0.041
PF00081.14_int_PF00081.14,40,1.0,1.0,0.0
PF00081.14_int_PF00081.14,42,0.994,0.996,-0.002
PF00087.13_int_PF00087.13,1,0.968,0.93,0.038
PF00087.13_int_PF00087.13,2,0.82,0.713,0.107
PF00087.13_int_PF00087.13,4,0.934,0.839,0.095
PF00087.13_int_PF00087.13,5,0.961,0.952,0.009
PF00087.13_int_PF00087.13,6,0.984,0.977,0.007
PF00087.13_int_PF00087.13,7,0.769,0.853,-0.084
PF00087.13_int_PF00087.13,8,0.595,0.479,0.116
PF00087.13_int_PF00087.13,10,0.987,0.964,0.023
PF00087.13_int_PF00087.13,12,0.793,0.903,-0.11
PF00087.13_int_PF00087.13,16,0.877,0.945,-0.068
PF00104.22_int_PF08832.2,1,0.954,0.96,-0.006
PF00104.22_int_PF08832.2,4,0.965,0.995,-0.03
PF00104.22_int_PF08832.2,9,0.879,0.952,-0.073
PF00104.22_int_PF08832.2,11,0.889,0.934,-0.045
PF00127.12_int_PF06433.3,1,1.0,0.939,0.061
PF00127.12_int_PF06433.3,15,1.0,0.993,0.007
PF00127.12_int_PF06433.3,27,1.0,1.0,0.0
PF00149.20_int_PF08321.4,1,0.861,0.89,-0.029
PF00149.20_int_PF08321.4,3,0.951,0.9,0.051
PF00167.10_int_PF07679.8,1,0.947,0.982,-0.035
PF00167.10_int_PF07679.8,2,0.924,0.966,-0.042
PF00167.10_int_PF07679.8,6,0.82,0.784,0.036
PF00167.10_int_PF07679.8,7,0.945,0.965,-0.02
PF00167.10_int_PF07679.8,11,0.966,1.0,-0.034
PF00167.10_int_PF07679.8,24,0.968,0.991,-0.023
PF00167.10_int_PF07679.8,25,0.893,0.939,-0.046
PF00167.10_int_PF07679.8,26,0.979,0.998,-0.019
PF00243.10_int_PF00243.10,1,0.879,0.881,-0.002
PF00243.10_int_PF00243.10,2,0.922,0.929,-0.007
PF00243.10_int_PF00243.10,3,0.875,0.918,-0.043
PF00243.10_int_PF00243.10,4,0.54,0.78,-0.24
PF00243.10_int_PF00243.10,7,0.854,0.829,0.025
PF00243.10_int_PF00243.10,8,0.906,0.924,-0.018
PF00243.10_int_PF00243.10,12,0.928,0.939,-0.011
PF00254.20_int_PF00254.20,1,0.919,0.905,0.014
PF00254.20_int_PF00254.20,7,0.82,0.742,0.078
PF00254.20_int_PF00254.20,9,0.581,0.769,-0.188
PF00254.20_int_PF00254.20,15,0.797,0.703,0.094
PF00254.20_int_PF00254.20,16,0.675,0.83,-0.155
PF00254.20_int_PF00254.20,18,0.826,0.884,-0.058
PF00385.16_int_PF00385.16,1,1.0,1.0,0.0
PF00385.16_int_PF00385.16,11,0.97,1.0,-0.03
PF00385.16_int_PF00385.16,13,0.889,0.901,-0.012
PF00385.16_int_PF00385.16,17,0.898,0.941,-0.043
PF00385.16_int_PF00385.16,18,0.881,0.931,-0.05
PF00385.16_int_PF00385.16,19,0.936,0.751,0.185
PF00393.11_int_PF00393.11,1,0.841,0.824,0.017
PF00393.11_int_PF00393.11,2,0.86,0.863,-0.003
PF00393.11_int_PF00393.11,5,0.921,0.929,-0.008
PF00393.11_int_PF00393.11,7,0.914,0.916,-0.002
PF00393.11_int_PF00393.11,11,0.937,0.942,-0.005
PF00511.9_int_PF00511.9,1,0.999,0.996,0.003
PF00511.9_int_PF00511.9,2,0.989,0.919,0.07
PF00511.9_int_PF00511.9,3,0.999,0.987,0.012
PF00511.9_int_PF00511.9,7,1.0,0.913,0.087
PF00511.9_int_PF00511.9,9,0.926,0.934,-0.008
PF00511.9_int_PF00511.9,15,0.949,0.985,-0.036
PF00563.12_int_PF00563.12,1,0.62,0.601,0.019
PF00563.12_int_PF00563.12,2,0.661,0.674,-0.013
PF00563.12_int_PF00563.12,4,0.64,0.476,0.164
PF00563.12_int_PF00563.12,9,0.264,0.091,0.173
PF00617.11_int_PF00618.12,1,0.986,0.992,-0.006
PF00617.11_int_PF00618.12,11,0.952,0.974,-0.022
PF00711.11_int_PF00711.11,1,0.778,0.889,-0.111
PF00711.11_int_PF00711.11,23,0.84,0.82,0.02
PF00712.11_int_PF02768.7,1,0.99,0.995,-0.005
PF00712.11_int_PF02768.7,7,0.995,1.0,-0.005
PF00712.11_int_PF02768.7,9,1.0,1.0,0.0
PF00782.12_int_PF00782.12,1,1.0,0.806,0.194
PF00782.12_int_PF00782.12,2,0.97,0.947,0.023
PF00782.12_int_PF00782.12,3,0.455,0.091,0.364
PF00782.12_int_PF00782.12,4,0.898,0.902,-0.004
PF00782.12_int_PF00782.12,7,0.852,0.776,0.076
PF00782.12_int_PF00782.12,11,0.904,0.978,-0.074
PF00782.12_int_PF00782.12,13,0.893,0.853,0.04
PF00782.12_int_PF00782.12,18,0.893,0.917,-0.024
PF00034.13_int_PF00141.15,0.8725,1.0,-0.1275
PF00711.11_int_PF00711.11,0.809,0.8545,-0.0455
