DDI,sequence_num,auc,blAUC,diffAUC,
PF00004.21_int_PF09336.2,1,0.914,0.948,-0.034,-1
PF00004.21_int_PF09336.2,2,0.984,0.973,0.011,1
PF00004.21_int_PF09336.2,7,0.96,0.772,0.188,1
PF00017.16_int_PF00018.20,1,0.981,0.895,0.086,1
PF00017.16_int_PF00018.20,2,0.914,0.904,0.01,1
PF00017.16_int_PF00018.20,4,0.975,0.835,0.14,1
PF00017.16_int_PF00018.20,5,0.969,0.969,0,0
PF00017.16_int_PF00018.20,7,0.855,0.91,-0.055,-1
PF00017.16_int_PF00018.20,8,0.914,0.864,0.05,1
PF00017.16_int_PF00018.20,20,0.837,0.878,-0.041,-1
PF00017.16_int_PF00018.20,21,0.958,0.951,0.007,1
PF00017.16_int_PF00018.20,22,0.961,0.99,-0.029,-1
PF00025.13_int_PF00025.13,1,0.968,0.962,0.006,1
PF00025.13_int_PF00025.13,2,0.966,0.968,-0.002,-1
PF00025.13_int_PF00025.13,3,1,1,0,0
PF00025.13_int_PF00025.13,6,0.954,0.948,0.006,1
PF00025.13_int_PF00025.13,7,0.948,0.948,0,0
PF00025.13_int_PF00025.13,10,1,1,0,0
PF00025.13_int_PF00025.13,11,0.892,0.871,0.021,1
PF00025.13_int_PF00025.13,15,0.679,0.827,-0.148,-1
PF00025.13_int_PF00025.13,21,0.834,0.889,-0.055,-1
PF00028.9_int_PF00028.9,1,0.983,1,-0.017,-1
PF00028.9_int_PF00028.9,3,0.939,0.816,0.123,1
PF00028.9_int_PF00028.9,7,0.646,0.783,-0.137,-1
PF00028.9_int_PF00028.9,8,0.889,0.864,0.025,1
PF00028.9_int_PF00028.9,19,0.972,0.981,-0.009,-1
PF00028.9_int_PF00028.9,20,0.93,1,-0.07,-1
PF00028.9_int_PF00028.9,21,0.778,0.722,0.056,1
PF00028.9_int_PF00028.9,22,0.552,0.46,0.092,1
PF00032.9_int_PF02271.8,1,0.988,1,-0.012,-1
PF00032.9_int_PF02271.8,2,0.997,1,-0.003,-1
PF00032.9_int_PF02271.8,5,1,1,0,0
PF00032.9_int_PF02271.8,31,1,1,0,0
PF00032.9_int_PF02939.8,1,1,1,0,0
PF00032.9_int_PF02939.8,2,0.984,0.99,-0.006,-1
PF00032.9_int_PF02939.8,5,0.989,0.983,0.006,1
PF00032.9_int_PF02939.8,31,0.976,0.985,-0.009,-1
PF00033.11_int_PF00033.11,1,0.914,0.985,-0.071,-1
PF00033.11_int_PF00033.11,2,0.982,0.995,-0.013,-1
PF00033.11_int_PF00033.11,5,0.939,0.976,-0.037,-1
PF00033.11_int_PF00033.11,6,0.996,0.992,0.004,1
PF00033.11_int_PF00033.11,9,0.991,0.997,-0.006,-1
PF00033.11_int_PF00033.11,20,0.974,1,-0.026,-1
PF00033.11_int_PF00355.18,1,1,1,0,0
PF00033.11_int_PF00355.18,3,1,1,0,0
PF00033.11_int_PF00355.18,7,0.99,1,-0.01,-1
PF00033.11_int_PF00355.18,8,1,0.938,0.062,1
PF00033.11_int_PF00355.18,10,1,1,0,0
PF00033.11_int_PF00355.18,16,1,1,0,0
PF00033.11_int_PF00355.18,39,1,1,0,0
PF00033.11_int_PF02271.8,1,1,1,0,0
PF00033.11_int_PF02271.8,2,1,0.98,0.02,1
PF00033.11_int_PF02271.8,5,1,1,0,0
PF00033.11_int_PF02939.8,1,1,1,0,0
PF00033.11_int_PF02939.8,2,1,1,0,0
PF00033.11_int_PF02939.8,26,1,1,0,0
PF00034.13_int_PF00141.15,1,0.875,0.984,-0.109,-1
PF00034.13_int_PF00141.15,7,0.87,0.951,-0.081,-1
PF00034.13_int_PF02239.8,1,1,1,0,0
PF00034.13_int_PF02239.8,6,1,1,0,0
PF00051.10_int_PF00051.10,1,0.988,0.975,0.013,1
PF00051.10_int_PF00051.10,3,0.889,1,-0.111,-1
PF00051.10_int_PF00051.10,4,1,1,0,0
PF00051.10_int_PF00051.10,5,0.88,0.84,0.04,1
PF00051.10_int_PF00051.10,6,0.901,0.864,0.037,1
PF00051.10_int_PF00051.10,11,0.857,0.821,0.036,1
PF00051.10_int_PF00051.10,12,0.627,0.769,-0.142,-1
PF00051.10_int_PF00051.10,16,0.932,0.911,0.021,1
PF00074.12_int_PF07686.9,1,0.914,0.956,-0.042,-1
PF00074.12_int_PF07686.9,7,0.959,1,-0.041,-1
PF00074.12_int_PF07686.9,8,0.822,0.836,-0.014,-1
PF00081.14_int_PF00081.14,1,1,0.974,0.026,1
PF00081.14_int_PF00081.14,2,0.754,0.719,0.035,1
PF00081.14_int_PF00081.14,5,1,1,0,0
PF00081.14_int_PF00081.14,7,0.924,0.993,-0.069,-1
