DDI,sequence_num,auc,blAUC,diffAUC
PF00004.21_int_PF09336.2,1,0.914,0.942,-0.028
PF00004.21_int_PF09336.2,2,0.984,0.979,0.005
PF00004.21_int_PF09336.2,7,0.96,0.927,0.033
PF00017.16_int_PF00018.20,1,0.981,0.812,0.169
PF00017.16_int_PF00018.20,2,0.914,0.799,0.115
PF00017.16_int_PF00018.20,4,0.975,0.992,-0.017
PF00017.16_int_PF00018.20,5,0.969,0.969,0.0
PF00017.16_int_PF00018.20,7,0.855,0.924,-0.069
PF00017.16_int_PF00018.20,8,0.914,0.815,0.099
PF00017.16_int_PF00018.20,20,0.837,0.959,-0.122
PF00017.16_int_PF00018.20,21,0.958,0.847,0.111
PF00017.16_int_PF00018.20,22,0.961,0.975,-0.014
PF00025.13_int_PF00025.13,1,0.968,0.961,0.007
PF00025.13_int_PF00025.13,2,0.966,0.976,-0.01
PF00025.13_int_PF00025.13,3,1.0,1.0,0.0
PF00025.13_int_PF00025.13,6,0.954,0.953,0.001
PF00025.13_int_PF00025.13,7,0.948,0.95,-0.002
PF00025.13_int_PF00025.13,10,1.0,1.0,0.0
PF00025.13_int_PF00025.13,11,0.892,0.899,-0.007
PF00025.13_int_PF00025.13,15,0.679,0.653,0.026
PF00025.13_int_PF00025.13,21,0.834,0.945,-0.111
PF00028.9_int_PF00028.9,1,0.983,1.0,-0.017
PF00028.9_int_PF00028.9,3,0.939,0.714,0.225
PF00028.9_int_PF00028.9,7,0.646,0.515,0.131
PF00028.9_int_PF00028.9,8,0.889,0.975,-0.086
PF00028.9_int_PF00028.9,19,0.972,0.981,-0.009
PF00028.9_int_PF00028.9,20,0.93,1.0,-0.07
PF00028.9_int_PF00028.9,21,0.778,1.0,-0.222
PF00028.9_int_PF00028.9,22,0.552,0.546,0.006
PF00032.9_int_PF02271.8,1,0.988,1.0,-0.012
PF00032.9_int_PF02271.8,2,0.997,0.981,0.016
PF00032.9_int_PF02271.8,5,1.0,1.0,0.0
PF00032.9_int_PF02271.8,31,1.0,1.0,0.0
PF00032.9_int_PF02939.8,1,1.0,0.954,0.046
PF00032.9_int_PF02939.8,2,0.984,0.999,-0.015
PF00032.9_int_PF02939.8,5,0.989,0.991,-0.002
PF00032.9_int_PF02939.8,31,0.976,1.0,-0.024
PF00033.11_int_PF00033.11,1,0.914,0.988,-0.074
PF00033.11_int_PF00033.11,2,0.982,0.996,-0.014
PF00033.11_int_PF00033.11,5,0.939,0.987,-0.048
PF00033.11_int_PF00033.11,6,0.996,0.99,0.006
PF00033.11_int_PF00033.11,9,0.991,0.981,0.01
PF00033.11_int_PF00033.11,20,0.974,1.0,-0.026
PF00033.11_int_PF00355.18,1,1.0,1.0,0.0
PF00033.11_int_PF00355.18,3,1.0,1.0,0.0
PF00033.11_int_PF00355.18,7,0.99,1.0,-0.01
PF00033.11_int_PF00355.18,8,1.0,1.0,0.0
PF00033.11_int_PF00355.18,10,1.0,1.0,0.0
PF00033.11_int_PF00355.18,16,1.0,1.0,0.0
PF00033.11_int_PF00355.18,39,1.0,1.0,0.0
PF00033.11_int_PF02271.8,1,1.0,1.0,0.0
PF00033.11_int_PF02271.8,2,1.0,0.959,0.041
PF00033.11_int_PF02271.8,5,1.0,1.0,0.0
PF00033.11_int_PF02939.8,1,1.0,1.0,0.0
PF00033.11_int_PF02939.8,2,1.0,1.0,0.0
PF00033.11_int_PF02939.8,26,1.0,1.0,0.0
PF00034.13_int_PF00141.15,1,0.875,1.0,-0.125
PF00034.13_int_PF00141.15,7,0.87,0.96,-0.09
PF00034.13_int_PF02239.8,1,1.0,1.0,0.0
PF00034.13_int_PF02239.8,6,1.0,0.996,0.004
PF00051.10_int_PF00051.10,1,0.988,0.963,0.025
PF00051.10_int_PF00051.10,3,0.889,1.0,-0.111
PF00051.10_int_PF00051.10,4,1.0,1.0,0.0
PF00051.10_int_PF00051.10,5,0.88,0.79,0.09
PF00051.10_int_PF00051.10,6,0.901,0.778,0.123
PF00051.10_int_PF00051.10,11,0.857,0.944,-0.087
PF00051.10_int_PF00051.10,12,0.627,0.782,-0.155
PF00051.10_int_PF00051.10,16,0.932,0.871,0.061
PF00074.12_int_PF07686.9,1,0.914,0.975,-0.061
PF00074.12_int_PF07686.9,7,0.959,1.0,-0.041
PF00074.12_int_PF07686.9,8,0.822,0.824,-0.002
PF00081.14_int_PF00081.14,1,1.0,0.961,0.039
PF00081.14_int_PF00081.14,2,0.754,0.812,-0.058
PF00081.14_int_PF00081.14,5,1.0,1.0,0.0
PF00081.14_int_PF00081.14,7,0.924,0.949,-0.025
PF00081.14_int_PF00081.14,12,0.922,1.0,-0.078
PF00081.14_int_PF00081.14,26,0.959,0.959,0.0
PF00081.14_int_PF00081.14,40,1.0,1.0,0.0
PF00081.14_int_PF00081.14,42,0.994,0.979,0.015
PF00087.13_int_PF00087.13,1,0.968,0.974,-0.006
PF00087.13_int_PF00087.13,2,0.82,0.769,0.051
PF00087.13_int_PF00087.13,4,0.934,0.915,0.019
PF00087.13_int_PF00087.13,5,0.961,0.705,0.256
PF00087.13_int_PF00087.13,6,0.984,0.977,0.007
PF00087.13_int_PF00087.13,7,0.769,0.903,-0.134
PF00087.13_int_PF00087.13,8,0.595,0.43,0.165
PF00087.13_int_PF00087.13,10,0.987,0.982,0.005
PF00087.13_int_PF00087.13,12,0.793,0.94,-0.147
PF00087.13_int_PF00087.13,16,0.877,0.695,0.182
PF00104.22_int_PF08832.2,1,0.954,0.941,0.013
PF00104.22_int_PF08832.2,4,0.965,0.962,0.003
PF00104.22_int_PF08832.2,9,0.879,0.984,-0.105
PF00104.22_int_PF08832.2,11,0.889,0.959,-0.07
PF00127.12_int_PF06433.3,1,1.0,1.0,0.0
PF00127.12_int_PF06433.3,15,1.0,1.0,0.0
PF00127.12_int_PF06433.3,27,1.0,1.0,0.0
PF00149.20_int_PF08321.4,1,0.861,0.883,-0.022
PF00149.20_int_PF08321.4,3,0.951,0.861,0.09
PF00167.10_int_PF07679.8,1,0.947,0.951,-0.004
PF00167.10_int_PF07679.8,2,0.924,0.95,-0.026
PF00167.10_int_PF07679.8,6,0.82,0.828,-0.008
PF00167.10_int_PF07679.8,7,0.945,0.864,0.081
PF00167.10_int_PF07679.8,11,0.966,0.997,-0.031
PF00167.10_int_PF07679.8,24,0.968,0.941,0.027
PF00167.10_int_PF07679.8,25,0.893,0.964,-0.071
PF00167.10_int_PF07679.8,26,0.979,0.978,0.001
PF00243.10_int_PF00243.10,1,0.879,0.858,0.021
PF00243.10_int_PF00243.10,2,0.922,0.864,0.058
PF00243.10_int_PF00243.10,3,0.875,0.895,-0.02
PF00243.10_int_PF00243.10,4,0.54,0.87,-0.33
PF00243.10_int_PF00243.10,7,0.854,0.813,0.041
PF00243.10_int_PF00243.10,8,0.906,0.939,-0.033
PF00243.10_int_PF00243.10,12,0.928,0.912,0.016
PF00254.20_int_PF00254.20,1,0.919,0.936,-0.017
PF00254.20_int_PF00254.20,7,0.82,0.867,-0.047
PF00254.20_int_PF00254.20,9,0.581,0.785,-0.204
PF00254.20_int_PF00254.20,15,0.797,0.656,0.141
PF00254.20_int_PF00254.20,16,0.675,0.74,-0.065
PF00254.20_int_PF00254.20,18,0.826,0.934,-0.108
PF00385.16_int_PF00385.16,1,1.0,0.992,0.008
PF00385.16_int_PF00385.16,11,0.97,1.0,-0.03
PF00385.16_int_PF00385.16,13,0.889,0.889,0.0
PF00385.16_int_PF00385.16,17,0.898,0.941,-0.043
PF00385.16_int_PF00385.16,18,0.881,0.875,0.006
PF00385.16_int_PF00385.16,19,0.936,0.889,0.047
PF00393.11_int_PF00393.11,1,0.841,0.706,0.135
