DDI,sequence_num,auc,blAUC,diffAUC
Activin_recp_int_TGF_beta,1,0.967,0.996,-0.029
Activin_recp_int_TGF_beta,2,1,1,0
Activin_recp_int_TGF_beta,3,0.957,1,-0.043
Activin_recp_int_TGF_beta,4,0.999,0.966,0.033
Activin_recp_int_TGF_beta,5,0.956,0.978,-0.022
Activin_recp_int_TGF_beta,6,0.98,1,-0.02
Activin_recp_int_TGF_beta,7,1,0.972,0.028
Activin_recp_int_TGF_beta,8,0.993,0.988,0.005
Activin_recp_int_TGF_beta,9,1,1,0
Activin_recp_int_TGF_beta,10,0.985,0.99,-0.005
Activin_recp_int_TGF_beta,11,0.96,0.992,-0.032
Activin_recp_int_TGF_beta,12,0.948,0.925,0.023
Activin_recp_int_TGF_beta,13,1,0.953,0.047
Activin_recp_int_TGF_beta,14,0.988,0.961,0.027
Activin_recp_int_TGF_beta,15,0.956,0.945,0.011
Activin_recp_int_TGF_beta,16,0.974,0.989,-0.015
Activin_recp_int_TGF_beta,17,0.965,0.985,-0.02
Activin_recp_int_TGF_beta,18,0.949,0.954,-0.005
Activin_recp_int_TGF_beta,19,0.923,0.914,0.009
Activin_recp_int_TGF_beta,20,0.985,0.971,0.014
Activin_recp_int_TGF_beta,21,1,0.943,0.057
Activin_recp_int_TGF_beta,22,0.961,0.985,-0.024
Activin_recp_int_TGF_beta,23,0.938,0.965,-0.027
Activin_recp_int_TGF_beta,24,0.941,0.996,-0.055
Activin_recp_int_TGF_beta,25,0.998,0.975,0.023
Activin_recp_int_TGF_beta,26,0.877,0.926,-0.049
Activin_recp_int_TGF_beta,27,0.969,0.981,-0.012
Activin_recp_int_TGF_beta,28,0.938,0.978,-0.04
Activin_recp_int_TGF_beta,29,0.969,1,-0.031
Activin_recp_int_TGF_beta,30,0.952,0.993,-0.041
Activin_recp_int_TGF_beta,31,0.993,0.919,0.074
Activin_recp_int_TGF_beta,32,0.988,0.992,-0.004
Activin_recp_int_TGF_beta,33,1,0.96,0.04
Activin_recp_int_TGF_beta,34,0.995,1,-0.005
Activin_recp_int_TGF_beta,35,0.951,0.996,-0.045
Activin_recp_int_TGF_beta,36,1,0.888,0.112
Activin_recp_int_TGF_beta,37,0.991,1,-0.009
Activin_recp_int_TGF_beta,38,0.96,0.967,-0.007
Activin_recp_int_TGF_beta,39,1,0.965,0.035
Activin_recp_int_TGF_beta,40,1,1,0
Activin_recp_int_TGF_beta,41,0.914,1,-0.086
Activin_recp_int_TGF_beta,42,0.903,0.918,-0.015
Activin_recp_int_TGF_beta,43,1,1,0
Activin_recp_int_TGF_beta,44,1,1,0
Activin_recp_int_TGF_beta,45,0.963,1,-0.037
Activin_recp_int_TGF_beta,46,0.917,0.935,-0.018
Activin_recp_int_TGF_beta,47,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,1,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,2,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,3,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,4,0.922,1,-0.078
Desulfoferrod_N_int_Desulfoferrodox,5,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,6,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,7,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,8,0.844,1,-0.156
Desulfoferrod_N_int_Desulfoferrodox,9,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,10,0.969,1,-0.031
Desulfoferrod_N_int_Desulfoferrodox,11,0.906,1,-0.094
Desulfoferrod_N_int_Desulfoferrodox,12,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,13,1,0.944,0.056
Desulfoferrod_N_int_Desulfoferrodox,14,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,15,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,16,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,17,0.929,1,-0.071
Desulfoferrod_N_int_Desulfoferrodox,18,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,19,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,20,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,21,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,22,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,23,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,24,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,25,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,26,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,27,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,28,1,1,0
