DDI,sequence_num,auc,blAUC,diffAUC
Activin_recp_int_TGF_beta,1,0.927,0.967,-0.04
Activin_recp_int_TGF_beta,2,0.991,1,-0.009
Activin_recp_int_TGF_beta,3,0.966,0.957,0.009
Activin_recp_int_TGF_beta,4,0.951,0.999,-0.048
Activin_recp_int_TGF_beta,5,0.951,0.956,-0.005
Activin_recp_int_TGF_beta,6,0.878,0.98,-0.102
Activin_recp_int_TGF_beta,7,1,1,0
Activin_recp_int_TGF_beta,8,0.968,0.993,-0.025
Activin_recp_int_TGF_beta,9,0.959,1,-0.041
Activin_recp_int_TGF_beta,10,1,0.985,0.015
Activin_recp_int_TGF_beta,11,0.924,0.96,-0.036
Activin_recp_int_TGF_beta,12,0.923,0.948,-0.025
Activin_recp_int_TGF_beta,13,0.983,1,-0.017
Activin_recp_int_TGF_beta,14,0.872,0.988,-0.116
Activin_recp_int_TGF_beta,15,0.931,0.956,-0.025
Activin_recp_int_TGF_beta,16,0.985,0.974,0.011
Activin_recp_int_TGF_beta,17,0.909,0.965,-0.056
Activin_recp_int_TGF_beta,18,0.961,0.949,0.012
Activin_recp_int_TGF_beta,19,0.847,0.923,-0.076
Activin_recp_int_TGF_beta,20,0.944,0.985,-0.041
Activin_recp_int_TGF_beta,21,0.978,1,-0.022
Activin_recp_int_TGF_beta,22,0.929,0.961,-0.032
Activin_recp_int_TGF_beta,23,0.947,0.938,0.009
Activin_recp_int_TGF_beta,24,0.91,0.941,-0.031
Activin_recp_int_TGF_beta,25,0.951,0.998,-0.047
Activin_recp_int_TGF_beta,26,0.815,0.877,-0.062
Activin_recp_int_TGF_beta,27,0.955,0.969,-0.014
Activin_recp_int_TGF_beta,28,0.991,0.938,0.053
Activin_recp_int_TGF_beta,29,0.99,0.969,0.021
Activin_recp_int_TGF_beta,30,0.884,0.952,-0.068
Activin_recp_int_TGF_beta,31,0.939,0.993,-0.054
Activin_recp_int_TGF_beta,32,0.965,0.988,-0.023
Activin_recp_int_TGF_beta,33,0.996,1,-0.004
Activin_recp_int_TGF_beta,34,0.939,0.995,-0.056
Activin_recp_int_TGF_beta,35,0.923,0.951,-0.028
Activin_recp_int_TGF_beta,36,1,1,0
Activin_recp_int_TGF_beta,37,0.987,0.991,-0.004
Activin_recp_int_TGF_beta,38,0.942,0.96,-0.018
Activin_recp_int_TGF_beta,39,0.931,1,-0.069
Activin_recp_int_TGF_beta,40,1,1,0
Activin_recp_int_TGF_beta,41,0.852,0.914,-0.062
Activin_recp_int_TGF_beta,42,0.781,0.903,-0.122
Activin_recp_int_TGF_beta,43,1,1,0
Activin_recp_int_TGF_beta,44,1,1,0
Activin_recp_int_TGF_beta,45,1,0.963,0.037
Activin_recp_int_TGF_beta,46,0.811,0.917,-0.106
Activin_recp_int_TGF_beta,47,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,1,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,2,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,3,0.984,1,-0.016
Desulfoferrod_N_int_Desulfoferrodox,4,0.859,0.922,-0.063
Desulfoferrod_N_int_Desulfoferrodox,5,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,6,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,7,0.984,1,-0.016
Desulfoferrod_N_int_Desulfoferrodox,8,0.953,0.844,0.109
Desulfoferrod_N_int_Desulfoferrodox,9,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,10,0.995,0.969,0.026
Desulfoferrod_N_int_Desulfoferrodox,11,0.984,0.906,0.078
Desulfoferrod_N_int_Desulfoferrodox,12,0.938,1,-0.062
Desulfoferrod_N_int_Desulfoferrodox,13,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,14,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,15,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,16,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,17,0.939,0.929,0.01
Desulfoferrod_N_int_Desulfoferrodox,18,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,19,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,20,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,21,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,22,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,23,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,24,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,25,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,26,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,27,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,28,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,29,0.87,1,-0.13
Desulfoferrod_N_int_Desulfoferrodox,30,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,31,0.98,0.98,0
Desulfoferrod_N_int_Desulfoferrodox,32,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,33,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,34,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,35,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,36,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,37,1,1,0
DrsE_int_DsrH,1,0.983,0.973,0.01
DrsE_int_DsrH,2,0.88,0.864,0.016
DrsE_int_DsrH,3,0.972,0.972,0
DrsE_int_DsrH,4,0.888,0.944,-0.056
DrsE_int_DsrH,5,0.889,0.923,-0.034
DrsE_int_DsrH,6,0.981,0.98,0.001
DrsE_int_DsrH,7,0.914,0.945,-0.031
DrsE_int_DsrH,8,0.875,0.904,-0.029
DrsE_int_DsrH,9,0.978,1,-0.022
DrsE_int_DsrH,10,0.875,0.927,-0.052
DrsE_int_DsrH,11,0.982,0.95,0.032
DrsE_int_DsrH,12,0.934,0.986,-0.052
