Ribosomal_L28_int_Ribosomal_L9_N, seqPair 1, auc = 0.796, sens = 0.571, spec = 1.000, blAUC = 0.959, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 1, auc = 0.836, sens = 0.267, spec = 1.000, blAUC = 0.924, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 1, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 1, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.984, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 1, auc = 0.926, sens = 1.000, spec = 0.917, blAUC = 0.975, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 1, auc = 0.950, sens = 1.000, spec = 0.846, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 2, auc = 0.816, sens = 0.571, spec = 0.800, blAUC = 0.837, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 1, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 2, auc = 0.818, sens = 0.333, spec = 1.000, blAUC = 0.858, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 2, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 2, auc = 0.901, sens = 1.000, spec = 0.818, blAUC = 0.951, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 3, auc = 0.889, sens = 1.000, spec = 0.667, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 2, auc = 0.834, sens = 0.769, spec = 0.909, blAUC = 0.781, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 2, auc = 0.811, sens = 1.000, spec = 0.812, blAUC = 0.994, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 3, auc = 0.585, sens = 0.294, spec = 1.000, blAUC = 0.720, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 2, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 4, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 3, auc = 1.000, sens = 1.000, spec = 0.800, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 3, auc = 1.000, sens = 1.000, spec = 0.778, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 5, auc = 0.833, sens = 1.000, spec = 0.857, blAUC = 0.944, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 4, auc = 1.000, sens = 1.000, spec = 0.889, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 3, auc = 0.806, sens = 0.471, spec = 0.800, blAUC = 0.882, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 3, auc = 0.688, sens = 0.500, spec = 0.800, blAUC = 0.891, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 4, auc = 0.571, sens = 0.143, spec = 1.000, blAUC = 0.755, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 4, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 3, auc = 0.938, sens = 1.000, spec = 0.923, blAUC = 0.931, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 6, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 5, auc = 1.000, sens = 0.750, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 1, auc = 0.756, sens = 0.933, spec = 0.667, blAUC = 0.640, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 5, auc = 0.806, sens = 0.333, spec = 1.000, blAUC = 0.556, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 5, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 7, auc = 0.953, sens = 1.000, spec = 0.667, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 4, auc = 0.851, sens = 0.824, spec = 0.824, blAUC = 0.837, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 4, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Gelsolin_int_Sec23_helical, seqPair 6, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.812, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 4, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Ribosomal_L28_int_Ribosomal_L9_N, seqPair 8, auc = 0.877, sens = 0.889, spec = 0.800, blAUC = 0.914, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 6, auc = 0.944, sens = 0.500, spec = 1.000, blAUC = 0.806, blSens = 0.000, blSpec = 0.000.
