DDI,no.,FisherMode,method,isTest,accuracy,precision,recall
6PGD_int_NAD_binding_2,1,FisherM1,SVM,True,0.41176470588235292,0.50909090909090904,0.50735294117647056
6PGD_int_NAD_binding_2,1,FisherM1,SVM,False,0.50654205607476632,0.53557312252964429,0.53364485981308407
6PGD_int_NAD_binding_2,1,FisherM1,DL,False,0.89906103286384975,0.88045977011494247,0.88901869158878499
6PGD_int_NAD_binding_2,1,FisherM1,DL,True,0.33823529411764708,0.56097560975609762,0.53676470588235292
6PGD_int_NAD_binding_2,1,FisherM1,DL_U,False,0.85680751173708924,0.89901477832512311,0.88084112149532712
6PGD_int_NAD_binding_2,1,FisherM1,DL_U,True,0.47058823529411764,0.61538461538461542,0.58823529411764708
6PGD_int_NAD_binding_2,2,FisherM1,SVM,True,0.5,0.55000000000000004,0.54545454545454541
6PGD_int_NAD_binding_2,2,FisherM1,SVM,False,0.63114754098360659,0.5647921760391198,0.57240437158469948
6PGD_int_NAD_binding_2,2,FisherM1,DL,False,0.80136986301369861,0.94354838709677435,0.87692307692307692
6PGD_int_NAD_binding_2,2,FisherM1,DL,True,0.37878787878787878,0.625,0.5757575757575758
6PGD_int_NAD_binding_2,2,FisherM1,DL_U,False,0.87671232876712324,0.91756272401433703,0.89914529914529917
6PGD_int_NAD_binding_2,2,FisherM1,DL_U,True,0.39393939393939392,0.54166666666666663,0.53030303030303028
6PGD_int_NAD_binding_2,3,FisherM1,SVM,True,0.55172413793103448,0.5423728813559322,0.5431034482758621
6PGD_int_NAD_binding_2,3,FisherM1,SVM,False,0.5908319185059423,0.57903494176372716,0.58064516129032262
6PGD_int_NAD_binding_2,3,FisherM1,DL,False,0.91666666666666663,0.90086206896551724,0.91082802547770703
6PGD_int_NAD_binding_2,3,FisherM1,DL,True,0.91379310344827591,0.86885245901639341,0.88793103448275867
6PGD_int_NAD_binding_2,3,FisherM1,DL_U,False,0.80263157894736847,0.86935866983372923,0.84607218683651808
6PGD_int_NAD_binding_2,3,FisherM1,DL_U,True,0.84482758620689657,0.83050847457627119,0.83620689655172409
6PGD_int_NAD_binding_2,4,FisherM1,SVM,True,0.64406779661016944,0.54285714285714282,0.55084745762711862
6PGD_int_NAD_binding_2,4,FisherM1,SVM,False,0.59735349716446129,0.56227758007117434,0.56616257088846877
6PGD_int_NAD_binding_2,4,FisherM1,DL,False,0.90602409638554215,0.95918367346938771,0.93498817966903069
6PGD_int_NAD_binding_2,4,FisherM1,DL,True,0.86440677966101698,0.76119402985074625,0.79661016949152541
6PGD_int_NAD_binding_2,4,FisherM1,DL_U,False,0.96385542168674698,0.91324200913241993,0.93735224586288413
6PGD_int_NAD_binding_2,4,FisherM1,DL_U,True,0.83050847457627119,0.73134328358208955,0.76271186440677963
6PGD_int_NAD_binding_2,5,FisherM1,SVM,True,0.52542372881355937,0.63265306122448983,0.61016949152542377
6PGD_int_NAD_binding_2,5,FisherM1,SVM,False,0.52913752913752909,0.55501222493887525,0.55244755244755239
6PGD_int_NAD_binding_2,5,FisherM1,DL,False,0.94571428571428573,0.74382022471910103,0.80612244897959184
6PGD_int_NAD_binding_2,5,FisherM1,DL,True,0.86440677966101698,0.69863013698630139,0.74576271186440679
6PGD_int_NAD_binding_2,5,FisherM1,DL_U,False,0.80857142857142861,0.85498489425981872,0.83236151603498543
6PGD_int_NAD_binding_2,5,FisherM1,DL_U,True,0.57627118644067798,0.70833333333333337,0.66949152542372881
6PGD_int_NAD_binding_2,6,FisherM1,SVM,True,0.59649122807017541,0.46575342465753422,0.45614035087719296
6PGD_int_NAD_binding_2,6,FisherM1,SVM,False,0.58720000000000006,0.57795275590551176,0.57920000000000005
6PGD_int_NAD_binding_2,6,FisherM1,DL,False,0.91497975708502022,0.93195876288659796,0.92500000000000004
6PGD_int_NAD_binding_2,6,FisherM1,DL,True,0.89473684210526316,0.83606557377049173,0.85964912280701755
6PGD_int_NAD_binding_2,6,FisherM1,DL_U,False,0.90283400809716596,0.9065040650406504,0.90600000000000003
6PGD_int_NAD_binding_2,6,FisherM1,DL_U,True,0.94736842105263153,0.79411764705882359,0.85087719298245612
6PGD_int_NAD_binding_2,7,FisherM1,SVM,True,0.61538461538461542,0.51948051948051943,0.52307692307692311
6PGD_int_NAD_binding_2,7,FisherM1,SVM,False,0.59745762711864403,0.58024691358024694,0.5826271186440678
6PGD_int_NAD_binding_2,7,FisherM1,DL,False,0.85828877005347592,0.82519280205655532,0.83973509933774837
6PGD_int_NAD_binding_2,7,FisherM1,DL,True,0.84615384615384615,0.73333333333333328,0.76923076923076927
6PGD_int_NAD_binding_2,7,FisherM1,DL_U,False,0.93048128342245995,0.81498829039812648,0.86092715231788075
6PGD_int_NAD_binding_2,7,FisherM1,DL_U,True,0.92307692307692313,0.759493670886076,0.81538461538461537
6PGD_int_NAD_binding_2,8,FisherM1,SVM,True,0.55555555555555558,0.4861111111111111,0.48412698412698413
6PGD_int_NAD_binding_2,8,FisherM1,SVM,False,0.58009708737864074,0.54942528735632179,0.55218446601941751
6PGD_int_NAD_binding_2,8,FisherM1,DL,False,0.875,0.91111111111111109,0.8952959028831563
6PGD_int_NAD_binding_2,8,FisherM1,DL,True,0.84126984126984128,0.828125,0.83333333333333337
6PGD_int_NAD_binding_2,8,FisherM1,DL_U,False,0.85365853658536583,0.9395973154362417,0.89984825493171472
6PGD_int_NAD_binding_2,8,FisherM1,DL_U,True,0.87301587301587302,0.90163934426229508,0.88888888888888884
6PGD_int_NAD_binding_2,9,FisherM1,SVM,True,0.22222222222222221,0.66666666666666663,0.55555555555555558
6PGD_int_NAD_binding_2,9,FisherM1,SVM,False,0.67364016736401677,0.57602862254025045,0.58891213389121344
