DDI	no.	FisherMode	method	isTest	accuracy	precision	recall
Alpha-amylase_int_CBM_48	1	FisherM1	SVM	True	0.7666666667	0.5168539326	0.525
Alpha-amylase_int_CBM_48	1	FisherM1	SVM	False	0.4916201117	0.5776805252	0.5661080074
Alpha-amylase_int_CBM_48	1	FisherM1	DL	False	0.7630979499	0.8333333333	0.8009313155
Alpha-amylase_int_CBM_48	1	FisherM1	DL	True	0.5166666667	0.4558823529	0.45
Alpha-amylase_int_CBM_48	1	FisherM1	DL_U	False	0.6218678815	0.65625	0.6402793946
Alpha-amylase_int_CBM_48	1	FisherM1	DL_U	True	0.5166666667	0.4305555556	0.4166666667
Alpha-amylase_int_CBM_48	2	FisherM1	SVM	True	0.487804878	0.4651162791	0.4634146341
Alpha-amylase_int_CBM_48	2	FisherM1	SVM	False	0.4543269231	0.6038338658	0.578125
Alpha-amylase_int_CBM_48	2	FisherM1	DL	False	0.7455621302	0.8025477707	0.777443609
Alpha-amylase_int_CBM_48	2	FisherM1	DL	True	0.6829268293	0.5714285714	0.5853658537
Alpha-amylase_int_CBM_48	2	FisherM1	DL_U	False	0.724852071	0.8390410959	0.7894736842
Alpha-amylase_int_CBM_48	2	FisherM1	DL_U	True	0.6097560976	0.5319148936	0.5365853659
Alpha-amylase_int_CBM_48	3	FisherM1	SVM	True	0.4	0.5714285714	0.55
Alpha-amylase_int_CBM_48	3	FisherM1	SVM	False	0.4852216749	0.5693641618	0.5591133005
Alpha-amylase_int_CBM_48	3	FisherM1	DL	False	0.7094801223	0.7094801223	0.7072419106
Alpha-amylase_int_CBM_48	3	FisherM1	DL	True	0.4	0.4	0.4
Alpha-amylase_int_CBM_48	3	FisherM1	DL_U	False	0.8103975535	0.6919060052	0.7226502311
Alpha-amylase_int_CBM_48	3	FisherM1	DL_U	True	0.4	0.4	0.4
Alpha-amylase_int_CBM_48	4	FisherM1	SVM	True	0.6829268293	0.4912280702	0.487804878
Alpha-amylase_int_CBM_48	4	FisherM1	SVM	False	0.378435518	0.5457317073	0.5317124736
Alpha-amylase_int_CBM_48	4	FisherM1	DL	False	0.9468085106	0.6544117647	0.7248677249
Alpha-amylase_int_CBM_48	4	FisherM1	DL	True	0.8536585366	0.5384615385	0.5609756098
Alpha-amylase_int_CBM_48	4	FisherM1	DL_U	False	0.9468085106	0.6449275362	0.7142857143
Alpha-amylase_int_CBM_48	4	FisherM1	DL_U	True	0.8292682927	0.5230769231	0.5365853659
Alpha-amylase_int_CBM_48	5	FisherM1	SVM	True	0.4545454545	0.5	0.5
Alpha-amylase_int_CBM_48	5	FisherM1	SVM	False	0.5123762376	0.5655737705	0.5594059406
Alpha-amylase_int_CBM_48	5	FisherM1	DL	False	0.850931677	0.6815920398	0.7275541796
Alpha-amylase_int_CBM_48	5	FisherM1	DL	True	0.5454545455	0.4615384615	0.4545454545
Alpha-amylase_int_CBM_48	5	FisherM1	DL_U	False	0.7950310559	0.6736842105	0.7058823529
Alpha-amylase_int_CBM_48	5	FisherM1	DL_U	True	0.4545454545	0.5	0.5
Alpha-amylase_int_CBM_48	6	FisherM1	SVM	True	0.6333333333	0.4871794872	0.4833333333
Alpha-amylase_int_CBM_48	6	FisherM1	SVM	False	0.6179039301	0.5728744939	0.5786026201
Alpha-amylase_int_CBM_48	6	FisherM1	DL	False	0.6328767123	0.8492647059	0.7609289617
Alpha-amylase_int_CBM_48	6	FisherM1	DL	True	0.3	0.45	0.4666666667
Alpha-amylase_int_CBM_48	6	FisherM1	DL_U	False	0.6794520548	0.835016835	0.7732240437
Alpha-amylase_int_CBM_48	6	FisherM1	DL_U	True	0.4333333333	0.4642857143	0.4666666667
Alpha-amylase_int_CBM_48	7	FisherM1	SVM	True	0.2580645161	0.4705882353	0.4838709677
Alpha-amylase_int_CBM_48	7	FisherM1	SVM	False	0.4736842105	0.5777777778	0.5637651822
Alpha-amylase_int_CBM_48	7	FisherM1	DL	False	0.89408867	0.7739872068	0.8113924051
Alpha-amylase_int_CBM_48	7	FisherM1	DL	True	0.6774193548	0.6176470588	0.6290322581
Alpha-amylase_int_CBM_48	7	FisherM1	DL_U	False	0.8448275862	0.7903225806	0.8050632911
Alpha-amylase_int_CBM_48	7	FisherM1	DL_U	True	0.5161290323	0.6956521739	0.6451612903
Alpha-amylase_int_CBM_48	8	FisherM1	SVM	True	0.4482758621	0.5652173913	0.5517241379
Alpha-amylase_int_CBM_48	8	FisherM1	SVM	False	0.5452380952	0.5994764398	0.5904761905
Alpha-amylase_int_CBM_48	8	FisherM1	DL	False	0.9395770393	0.6321138211	0.7008928571
Alpha-amylase_int_CBM_48	8	FisherM1	DL	True	0.9310344828	0.5294117647	0.5517241379
Alpha-amylase_int_CBM_48	8	FisherM1	DL_U	False	0.8761329305	0.6387665198	0.6949404762
Alpha-amylase_int_CBM_48	8	FisherM1	DL_U	True	0.9310344828	0.54	0.5689655172
Alpha-amylase_int_CBM_48	9	FisherM1	SVM	True	0.21875	0.4666666667	0.484375
Alpha-amylase_int_CBM_48	9	FisherM1	SVM	False	0.4704684318	0.5789473684	0.5641547862
Alpha-amylase_int_CBM_48	9	FisherM1	DL	False	0.7744360902	0.8005181347	0.7872611465
Alpha-amylase_int_CBM_48	9	FisherM1	DL	True	0.59375	0.5428571429	0.546875
Alpha-amylase_int_CBM_48	9	FisherM1	DL_U	False	0.7644110276	0.8379120879	0.8050955414
Alpha-amylase_int_CBM_48	9	FisherM1	DL_U	True	0.46875	0.6818181818	0.625
Alpha-amylase_int_CBM_48	10	FisherM1	SVM	True	0.724137931	0.525	0.5344827586
Alpha-amylase_int_CBM_48	10	FisherM1	SVM	False	0.5386533666	0.5454545455	0.5448877805
Alpha-amylase_int_CBM_48	10	FisherM1	DL	False	0.9161490683	0.7763157895	0.8252730109
Alpha-amylase_int_CBM_48	10	FisherM1	DL	True	0.9655172414	0.6511627907	0.724137931
Alpha-amylase_int_CBM_48	10	FisherM1	DL_U	False	0.7732919255	0.7732919255	0.7722308892
Alpha-amylase_int_CBM_48	10	FisherM1	DL_U	True	0.8965517241	0.7428571429	0.7931034483
Alpha-amylase_int_CBM_48	11	FisherM1	SVM	True	0.6666666667	0.4615384615	0.4444444444
Alpha-amylase_int_CBM_48	11	FisherM1	SVM	False	0.4883227176	0.5609756098	0.5530785563
Alpha-amylase_int_CBM_48	11	FisherM1	DL	False	0.3938618926	0.8191489362	0.6401062417
Alpha-amylase_int_CBM_48	11	FisherM1	DL	True	0.1111111111	0.125	0.1666666667
Alpha-amylase_int_CBM_48	11	FisherM1	DL_U	False	0.7442455243	0.6705069124	0.6772908367
Alpha-amylase_int_CBM_48	11	FisherM1	DL_U	True	0.3333333333	0.2727272727	0.2222222222
Alpha-amylase_int_CBM_48	12	FisherM1	SVM	True	0.5333333333	0.5517241379	0.55
Alpha-amylase_int_CBM_48	12	FisherM1	SVM	False	0.4347826087	0.6081081081	0.577294686
Alpha-amylase_int_CBM_48	12	FisherM1	DL	False	0.6546546547	0.8825910931	0.7824773414
Alpha-amylase_int_CBM_48	12	FisherM1	DL	True	0.8	0.8888888889	0.85
Alpha-amylase_int_CBM_48	12	FisherM1	DL_U	False	0.7147147147	0.8235294118	0.7794561934
Alpha-amylase_int_CBM_48	12	FisherM1	DL_U	True	0.8333333333	0.8620689655	0.85
Alpha-amylase_int_CBM_48	13	FisherM1	SVM	True	0.3571428571	0.5263157895	0.5178571429
Alpha-amylase_int_CBM_48	13	FisherM1	SVM	False	0.4788029925	0.5889570552	0.572319202
Alpha-amylase_int_CBM_48	13	FisherM1	DL	False	0.8858024691	0.7103960396	0.75975039
Alpha-amylase_int_CBM_48	13	FisherM1	DL	True	0.6428571429	0.4615384615	0.4464285714
Alpha-amylase_int_CBM_48	13	FisherM1	DL_U	False	0.7037037037	0.6805970149	0.6833073323
Alpha-amylase_int_CBM_48	13	FisherM1	DL_U	True	0.5714285714	0.4444444444	0.4285714286
