DDI,no.,FisherMode,method,isTest,accuracy,precision,recall
Activin_recp_int_TGF_beta,1,FisherM1,SVM,True,0.5,0.625,0.59999999999999998
Activin_recp_int_TGF_beta,1,FisherM1,SVM,False,0.53721973094170405,0.54954128440366967,0.54843049327354265
Activin_recp_int_TGF_beta,1,FisherM1,DL,False,0.98222222222222222,0.9793205317577548,0.98056801195814647
Activin_recp_int_TGF_beta,1,FisherM1,DL,True,1.0,0.93023255813953498,0.96250000000000002
Activin_recp_int_TGF_beta,1,FisherM1,DL_U,False,0.98962962962962964,0.97518248175182487,0.98206278026905824
Activin_recp_int_TGF_beta,1,FisherM1,DL_U,True,0.97499999999999998,0.95121951219512191,0.96250000000000002
Activin_recp_int_TGF_beta,2,FisherM1,SVM,True,0.66666666666666663,0.52173913043478259,0.52777777777777779
Activin_recp_int_TGF_beta,2,FisherM1,SVM,False,0.54705364995602468,0.53713298791018993,0.53781882145998239
Activin_recp_int_TGF_beta,2,FisherM1,DL,False,0.97201767304860087,0.97201767304860087,0.97214076246334313
Activin_recp_int_TGF_beta,2,FisherM1,DL,True,0.94444444444444442,0.94444444444444442,0.94444444444444442
Activin_recp_int_TGF_beta,2,FisherM1,DL_U,False,0.97201767304860087,0.97201767304860087,0.97214076246334313
Activin_recp_int_TGF_beta,2,FisherM1,DL_U,True,0.94444444444444442,0.94444444444444442,0.94444444444444442
Activin_recp_int_TGF_beta,3,FisherM1,SVM,True,0.55555555555555558,0.41666666666666669,0.3888888888888889
Activin_recp_int_TGF_beta,3,FisherM1,SVM,False,0.54001759014951622,0.5414462081128748,0.54133685136323662
Activin_recp_int_TGF_beta,3,FisherM1,DL,False,0.97470238095238093,0.97181008902077148,0.97360703812316718
Activin_recp_int_TGF_beta,3,FisherM1,DL,True,0.94444444444444442,1.0,0.97222222222222221
Activin_recp_int_TGF_beta,3,FisherM1,DL_U,False,0.9821428571428571,0.96916299559471364,0.97580645161290325
Activin_recp_int_TGF_beta,3,FisherM1,DL_U,True,1.0,1.0,1.0
Activin_recp_int_TGF_beta,4,FisherM1,SVM,True,0.47499999999999998,0.44186046511627908,0.4375
Activin_recp_int_TGF_beta,4,FisherM1,SVM,False,0.50582959641255609,0.52957746478873235,0.52825112107623318
Activin_recp_int_TGF_beta,4,FisherM1,DL,False,0.98820058997050142,0.97667638483965014,0.98206278026905824
Activin_recp_int_TGF_beta,4,FisherM1,DL,True,0.97499999999999998,0.90697674418604657,0.9375
Activin_recp_int_TGF_beta,4,FisherM1,DL_U,False,0.98820058997050142,0.97242380261248185,0.97982062780269064
Activin_recp_int_TGF_beta,4,FisherM1,DL_U,True,1.0,0.93023255813953498,0.96250000000000002
Activin_recp_int_TGF_beta,5,FisherM1,SVM,True,0.59259259259259256,0.44444444444444442,0.42592592592592593
Activin_recp_int_TGF_beta,5,FisherM1,SVM,False,0.53191489361702127,0.54005400540054005,0.53945035460992907
Activin_recp_int_TGF_beta,5,FisherM1,DL,False,0.98628048780487809,0.98328267477203646,0.98521803399852181
Activin_recp_int_TGF_beta,5,FisherM1,DL,True,0.62962962962962965,0.62962962962962965,0.62962962962962965
Activin_recp_int_TGF_beta,5,FisherM1,DL_U,False,0.97103658536585369,0.98913043478260865,0.98078344419807839
Activin_recp_int_TGF_beta,5,FisherM1,DL_U,True,0.7407407407407407,0.68965517241379315,0.70370370370370372
Activin_recp_int_TGF_beta,6,FisherM1,SVM,True,0.8571428571428571,0.46153846153846156,0.42857142857142855
Activin_recp_int_TGF_beta,6,FisherM1,SVM,False,0.54006968641114983,0.54867256637168138,0.54790940766550522
