DDI,no.,FisherMode,method,isTest,accuracy,precision,recall
ATP-synt_int_ATP-synt_ab,1,FisherM1,SVM,True,0.83333333333333337,0.55555555555555558,0.58333333333333337
ATP-synt_int_ATP-synt_ab,1,FisherM1,SVM,False,0.5223367697594502,0.52595155709342556,0.52577319587628868
ATP-synt_int_ATP-synt_ab,1,FisherM1,DL,False,0.97883597883597884,0.893719806763285,0.92550143266475648
ATP-synt_int_ATP-synt_ab,1,FisherM1,DL,True,1.0,0.8571428571428571,0.91666666666666663
ATP-synt_int_ATP-synt_ab,1,FisherM1,DL_U,False,0.97883597883597884,0.88942307692307687,0.92263610315186251
ATP-synt_int_ATP-synt_ab,1,FisherM1,DL_U,True,0.83333333333333337,1.0,0.91666666666666663
ATP-synt_int_ATP-synt_ab,2,FisherM1,SVM,True,0.66666666666666663,0.54545454545454541,0.55555555555555558
ATP-synt_int_ATP-synt_ab,2,FisherM1,SVM,False,0.59272727272727277,0.5948905109489051,0.5945454545454546
ATP-synt_int_ATP-synt_ab,2,FisherM1,DL,False,0.84177215189873422,0.9779411764705882,0.91515151515151516
ATP-synt_int_ATP-synt_ab,2,FisherM1,DL,True,0.88888888888888884,1.0,0.94444444444444442
ATP-synt_int_ATP-synt_ab,2,FisherM1,DL_U,False,0.98101265822784811,0.91715976331360949,0.94848484848484849
ATP-synt_int_ATP-synt_ab,2,FisherM1,DL_U,True,1.0,1.0,1.0
ATP-synt_int_ATP-synt_ab,3,FisherM1,SVM,True,0.2857142857142857,1.0,0.6428571428571429
ATP-synt_int_ATP-synt_ab,3,FisherM1,SVM,False,0.54411764705882348,0.578125,0.57352941176470584
ATP-synt_int_ATP-synt_ab,3,FisherM1,DL,False,0.97894736842105268,0.88995215311004783,0.93382352941176472
ATP-synt_int_ATP-synt_ab,3,FisherM1,DL,True,0.7142857142857143,0.5,0.5
ATP-synt_int_ATP-synt_ab,3,FisherM1,DL_U,False,0.94210526315789478,0.82870370370370361,0.88235294117647056
ATP-synt_int_ATP-synt_ab,3,FisherM1,DL_U,True,0.7142857142857143,0.625,0.6428571428571429
ATP-synt_int_ATP-synt_ab,4,FisherM1,SVM,True,0.25,0.42857142857142855,0.45833333333333331
ATP-synt_int_ATP-synt_ab,4,FisherM1,SVM,False,0.5911764705882353,0.60542168674698793,0.6029411764705882
ATP-synt_int_ATP-synt_ab,4,FisherM1,DL,False,0.87922705314009664,0.93333333333333346,0.90686274509803921
ATP-synt_int_ATP-synt_ab,4,FisherM1,DL,True,1.0,0.92307692307692302,0.95833333333333337
ATP-synt_int_ATP-synt_ab,4,FisherM1,DL_U,False,0.9468599033816425,0.91162790697674423,0.92647058823529416
ATP-synt_int_ATP-synt_ab,4,FisherM1,DL_U,True,1.0,0.80000000000000016,0.875
ATP-synt_int_ATP-synt_ab,5,FisherM1,SVM,True,0.15789473684210525,0.375,0.44736842105263158
ATP-synt_int_ATP-synt_ab,5,FisherM1,SVM,False,0.5,0.54502369668246442,0.54130434782608694
ATP-synt_int_ATP-synt_ab,5,FisherM1,DL,False,0.93893129770992367,0.93181818181818177,0.93840579710144922
ATP-synt_int_ATP-synt_ab,5,FisherM1,DL,True,0.52631578947368418,0.625,0.60526315789473684
ATP-synt_int_ATP-synt_ab,5,FisherM1,DL_U,False,0.95419847328244278,0.94696969696969702,0.95289855072463769
ATP-synt_int_ATP-synt_ab,5,FisherM1,DL_U,True,0.42105263157894735,0.47058823529411764,0.47368421052631576
ATP-synt_int_ATP-synt_ab,6,FisherM1,SVM,True,0.55555555555555558,0.45454545454545453,0.44444444444444442
ATP-synt_int_ATP-synt_ab,6,FisherM1,SVM,False,0.57227138643067843,0.58083832335329344,0.57964601769911506
ATP-synt_int_ATP-synt_ab,6,FisherM1,DL,False,0.86206896551724133,0.94086021505376349,0.90394088669950734
ATP-synt_int_ATP-synt_ab,6,FisherM1,DL,True,0.66666666666666663,0.75,0.72222222222222221
ATP-synt_int_ATP-synt_ab,6,FisherM1,DL_U,False,0.8571428571428571,0.96132596685082872,0.91133004926108374
ATP-synt_int_ATP-synt_ab,6,FisherM1,DL_U,True,0.77777777777777779,0.58333333333333337,0.61111111111111116
ATP-synt_int_ATP-synt_ab,7,FisherM1,SVM,True,0.55555555555555558,0.45454545454545453,0.44444444444444442
ATP-synt_int_ATP-synt_ab,7,FisherM1,SVM,False,0.57731958762886593,0.55263157894736847,0.55498281786941583
ATP-synt_int_ATP-synt_ab,7,FisherM1,DL,False,0.88823529411764701,0.91515151515151505,0.90544412607449853
ATP-synt_int_ATP-synt_ab,7,FisherM1,DL,True,0.88888888888888884,0.88888888888888884,0.88888888888888884
ATP-synt_int_ATP-synt_ab,7,FisherM1,DL_U,False,0.97647058823529409,0.86458333333333348,0.91404011461318047
ATP-synt_int_ATP-synt_ab,7,FisherM1,DL_U,True,1.0,0.81818181818181823,0.88888888888888884
ATP-synt_int_ATP-synt_ab,8,FisherM1,SVM,True,0.5,0.5,0.5
ATP-synt_int_ATP-synt_ab,8,FisherM1,SVM,False,0.50694444444444442,0.58634538152610438,0.57465277777777779
ATP-synt_int_ATP-synt_ab,8,FisherM1,DL,False,0.9821428571428571,0.91160220994475138,0.94492753623188408
ATP-synt_int_ATP-synt_ab,8,FisherM1,DL,True,0.83333333333333337,1.0,0.91666666666666663
ATP-synt_int_ATP-synt_ab,8,FisherM1,DL_U,False,0.9821428571428571,0.86387434554973819,0.91594202898550725
ATP-synt_int_ATP-synt_ab,8,FisherM1,DL_U,True,0.83333333333333337,1.0,0.91666666666666663
ATP-synt_int_ATP-synt_ab,9,FisherM1,SVM,True,0.45454545454545453,0.55555555555555558,0.54545454545454541
ATP-synt_int_ATP-synt_ab,9,FisherM1,SVM,False,0.52279635258358659,0.60139860139860135,0.58814589665653494
ATP-synt_int_ATP-synt_ab,9,FisherM1,DL,False,0.97524752475247523,0.8528138528138528,0.90101522842639592
ATP-synt_int_ATP-synt_ab,9,FisherM1,DL,True,1.0,0.91666666666666652,0.95454545454545459
ATP-synt_int_ATP-synt_ab,9,FisherM1,DL_U,False,0.98514851485148514,0.84322033898305082,0.89847715736040612
ATP-synt_int_ATP-synt_ab,9,FisherM1,DL_U,True,1.0,0.91666666666666652,0.95454545454545459
ATP-synt_int_ATP-synt_ab,10,FisherM1,SVM,True,0.47619047619047616,0.52631578947368418,0.52380952380952384
ATP-synt_int_ATP-synt_ab,10,FisherM1,SVM,False,0.47213114754098362,0.59751037344398339,0.57704918032786889
ATP-synt_int_ATP-synt_ab,10,FisherM1,DL,False,0.978494623655914,0.91457286432160811,0.94262295081967218
ATP-synt_int_ATP-synt_ab,10,FisherM1,DL,True,1.0,0.875,0.9285714285714286
ATP-synt_int_ATP-synt_ab,10,FisherM1,DL_U,False,0.89247311827956988,0.93785310734463279,0.91530054644808745
ATP-synt_int_ATP-synt_ab,10,FisherM1,DL_U,True,0.90476190476190477,0.82608695652173925,0.8571428571428571
ATP-synt_int_ATP-synt_ab,11,FisherM1,SVM,True,0.5714285714285714,0.5,0.5
ATP-synt_int_ATP-synt_ab,11,FisherM1,SVM,False,0.54437869822485208,0.5558912386706949,0.55473372781065089
ATP-synt_int_ATP-synt_ab,11,FisherM1,DL,False,0.99033816425120769,0.87234042553191493,0.92098765432098761
ATP-synt_int_ATP-synt_ab,11,FisherM1,DL,True,1.0,0.77777777777777779,0.8571428571428571
ATP-synt_int_ATP-synt_ab,11,FisherM1,DL_U,False,0.98067632850241548,0.90222222222222237,0.93580246913580245
ATP-synt_int_ATP-synt_ab,11,FisherM1,DL_U,True,1.0,0.77777777777777779,0.8571428571428571
ATP-synt_int_ATP-synt_ab,12,FisherM1,SVM,True,0.59999999999999998,0.66666666666666663,0.65000000000000002
ATP-synt_int_ATP-synt_ab,12,FisherM1,SVM,False,0.52567975830815705,0.56129032258064515,0.55740181268882172
ATP-synt_int_ATP-synt_ab,12,FisherM1,DL,False,0.7010309278350515,0.74725274725274726,0.73803526448362722
ATP-synt_int_ATP-synt_ab,12,FisherM1,DL,True,0.80000000000000004,0.5714285714285714,0.59999999999999998
ATP-synt_int_ATP-synt_ab,12,FisherM1,DL_U,False,0.93814432989690721,0.89215686274509809,0.91435768261964734
ATP-synt_int_ATP-synt_ab,12,FisherM1,DL_U,True,1.0,0.625,0.69999999999999996
ATP-synt_int_ATP-synt_ab,13,FisherM1,SVM,True,0.16666666666666666,0.5,0.5
ATP-synt_int_ATP-synt_ab,13,FisherM1,SVM,False,0.49146757679180886,0.57831325301204817,0.56655290102389078
ATP-synt_int_ATP-synt_ab,13,FisherM1,DL,False,0.98857142857142855,0.84390243902439022,0.90313390313390318
ATP-synt_int_ATP-synt_ab,13,FisherM1,DL,True,1.0,0.66666666666666663,0.75
ATP-synt_int_ATP-synt_ab,13,FisherM1,DL_U,False,0.97714285714285709,0.88601036269430045,0.92592592592592593
ATP-synt_int_ATP-synt_ab,13,FisherM1,DL_U,True,1.0,0.66666666666666663,0.75
ATP-synt_int_ATP-synt_ab,14,FisherM1,SVM,True,0.46153846153846156,0.42857142857142855,0.42307692307692307
ATP-synt_int_ATP-synt_ab,14,FisherM1,SVM,False,0.54294478527607359,0.55835962145110407,0.55674846625766872
ATP-synt_int_ATP-synt_ab,14,FisherM1,DL,False,0.96858638743455494,0.94871794871794868,0.95907928388746799
ATP-synt_int_ATP-synt_ab,14,FisherM1,DL,True,0.84615384615384615,1.0,0.92307692307692313
ATP-synt_int_ATP-synt_ab,14,FisherM1,DL_U,False,0.96858638743455494,0.88942307692307687,0.92583120204603575
ATP-synt_int_ATP-synt_ab,14,FisherM1,DL_U,True,0.84615384615384615,0.91666666666666663,0.88461538461538458
ATP-synt_int_ATP-synt_ab,15,FisherM1,SVM,True,0.59999999999999998,0.46153846153846156,0.45000000000000001
