DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
CPSase_L_chain_int_CPSase_L_D2,112,1.0,1.0,0.938,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,76,0.983,1.0,0.922,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,38,0.982,1.0,0.933,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,140,0.987,1.0,0.985,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,57,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,127,1.0,1.0,0.98,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,19,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,95,0.999,1.0,0.977,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,56,0.998,1.0,0.979,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,75,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,126,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,111,0.984,1.0,0.962,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,139,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,37,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,18,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,94,0.986,0.917,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,55,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,138,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,110,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,74,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,125,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,17,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,93,1.0,1.0,0.889,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,36,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,54,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,137,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,109,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,73,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,124,0.999,1.0,0.984,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,16,1.0,1.0,0.942,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,92,1.0,0.984,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,35,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,53,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,108,1.0,1.0,0.984,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,123,0.999,1.0,0.978,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,136,1.0,1.0,0.983,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,72,1.0,1.0,1.0,0.0,0.0,0.0
