DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
CPSase_L_chain_int_CPSase_L_D2,57,0.998,1.0,0.954,0.956,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,95,0.973,0.976,0.953,0.986,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,140,0.997,0.984,0.984,0.977,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,38,0.962,1.0,0.889,0.929,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,127,0.988,0.98,0.961,0.978,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,19,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,112,0.991,1.0,0.909,0.957,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,76,0.95,0.957,0.849,0.908,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,139,0.99,1.0,0.959,0.994,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,126,0.951,1.0,0.923,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,111,0.995,0.98,1.0,0.984,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,56,0.967,0.935,0.935,0.955,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,37,0.997,0.979,0.979,0.98,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,75,0.99,1.0,0.909,0.98,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,18,0.996,0.966,0.982,0.985,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,94,0.979,0.917,0.917,0.986,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,125,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,138,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,110,0.992,1.0,0.917,0.926,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,36,0.851,0.909,0.769,0.835,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,74,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,93,0.984,1.0,0.889,0.891,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,17,0.98,0.978,0.938,0.98,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,55,1.0,1.0,0.917,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,73,0.996,1.0,0.954,0.999,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,92,0.997,1.0,0.901,0.979,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,124,0.96,0.952,0.881,0.961,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,137,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,16,1.0,1.0,1.0,0.975,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,109,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,54,1.0,1.0,0.8,0.953,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,35,0.98,1.0,0.778,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,72,0.972,0.959,1.0,0.959,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,123,0.975,1.0,0.917,0.97,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,91,0.976,0.979,0.92,0.958,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,108,0.981,0.984,0.925,0.986,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,136,0.995,1.0,0.952,0.99,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,15,0.984,0.98,0.962,0.958,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,53,0.984,1.0,0.925,0.992,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,34,0.979,0.983,0.908,0.99,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,90,0.975,0.909,0.909,0.975,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,14,0.975,1.0,0.846,0.901,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,71,0.979,0.75,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,107,0.998,1.0,0.962,0.985,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,122,0.905,0.846,0.846,0.97,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,135,1.0,1.0,0.939,0.999,0.0,0.0
