DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
CPSase_L_chain_int_CPSase_L_D2,95,0.994,1.0,0.933,0.977,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,57,0.997,0.984,0.953,0.976,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,38,0.958,0.982,0.887,0.965,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,19,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,76,0.975,1.0,0.87,0.969,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,112,0.996,1.0,0.952,0.996,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,140,0.997,0.984,0.984,0.982,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,127,1.0,1.0,0.98,0.977,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,56,0.979,1.0,0.92,0.966,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,37,0.968,0.979,0.94,0.958,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,94,0.993,0.917,1.0,0.965,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,18,0.986,0.966,0.966,0.978,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,111,0.986,0.98,0.925,0.976,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,139,0.995,1.0,0.979,0.987,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,75,0.99,1.0,0.909,0.91,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,126,0.979,1.0,0.923,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,36,0.992,1.0,0.917,0.934,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,55,1.0,1.0,1.0,0.967,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,93,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,17,0.995,1.0,0.958,0.992,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,74,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,110,1.0,1.0,0.917,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,138,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,125,1.0,1.0,0.875,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,16,0.999,1.0,0.961,0.99,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,35,1.0,1.0,0.875,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,92,0.972,0.953,0.924,0.948,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,54,1.0,1.0,0.889,0.984,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,73,0.988,0.984,0.953,0.97,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,137,1.0,1.0,1.0,0.969,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,109,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,124,0.993,0.968,0.952,0.98,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,91,0.976,1.0,0.94,0.962,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,15,0.992,0.98,0.943,0.991,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,34,0.993,1.0,0.952,0.981,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,72,0.998,1.0,0.961,0.976,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,53,0.978,0.984,0.938,0.973,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,136,0.998,0.983,0.951,0.979,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,108,0.979,0.968,0.924,0.961,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,123,0.995,0.977,0.935,0.975,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,33,0.965,0.921,0.906,0.956,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,71,1.0,1.0,0.923,0.882,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,90,0.992,0.909,0.909,0.992,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,14,0.95,1.0,0.846,0.926,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,52,0.975,0.938,0.938,0.991,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,135,0.995,1.0,0.902,0.948,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,107,0.972,1.0,0.895,0.951,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,122,0.976,0.923,1.0,0.994,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,32,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,70,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,51,1.0,1.0,0.923,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,89,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,13,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,134,0.95,1.0,0.846,0.967,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,106,1.0,1.0,1.0,0.967,0.0,0.0
