DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00004.21_int_PF09336.2,1,0.919,0.734,0.855,0.0,0.0,0.0
PF00004.21_int_PF09336.2,2,0.955,0.896,0.86,0.0,0.0,0.0
PF00004.21_int_PF09336.2,7,0.948,0.37,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,1,0.873,0.778,0.824,0.0,0.0,0.0
PF00017.16_int_PF00018.20,2,0.784,0.5,0.75,0.0,0.0,0.0
PF00017.16_int_PF00018.20,4,0.942,0.909,0.769,0.0,0.0,0.0
PF00017.16_int_PF00018.20,5,0.906,0.5,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,7,0.792,0.471,0.889,0.0,0.0,0.0
PF00017.16_int_PF00018.20,8,0.756,0.444,0.727,0.0,0.0,0.0
PF00017.16_int_PF00018.20,20,0.551,0.429,0.5,0.0,0.0,0.0
PF00017.16_int_PF00018.20,21,0.792,0.333,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,22,0.785,0.773,0.68,0.0,0.0,0.0
PF00025.13_int_PF00025.13,1,0.853,0.718,0.8,0.0,0.0,0.0
PF00025.13_int_PF00025.13,2,0.992,1.0,0.862,0.0,0.0,0.0
PF00025.13_int_PF00025.13,3,0.938,1.0,0.818,0.0,0.0,0.0
PF00025.13_int_PF00025.13,6,0.97,1.0,0.929,0.0,0.0,0.0
PF00025.13_int_PF00025.13,7,0.777,0.364,0.727,0.0,0.0,0.0
PF00025.13_int_PF00025.13,10,1.0,1.0,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,11,0.581,0.15,0.6,0.0,0.0,0.0
PF00025.13_int_PF00025.13,15,0.648,0.357,0.714,0.0,0.0,0.0
PF00025.13_int_PF00025.13,21,0.893,0.588,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,1,0.826,0.909,0.769,0.0,0.0,0.0
PF00028.9_int_PF00028.9,3,0.551,0.429,0.5,0.0,0.0,0.0
PF00028.9_int_PF00028.9,7,0.389,0.154,0.4,0.0,0.0,0.0
PF00028.9_int_PF00028.9,8,0.519,0.333,0.5,0.0,0.0,0.0
PF00028.9_int_PF00028.9,19,0.91,0.944,0.85,0.0,0.0,0.0
PF00028.9_int_PF00028.9,20,0.93,0.8,0.889,0.0,0.0,0.0
PF00028.9_int_PF00028.9,21,0.222,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,22,0.562,0.333,0.6,0.0,0.0,0.0
PF00032.9_int_PF02271.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,2,0.997,0.944,0.944,0.0,0.0,0.0
PF00032.9_int_PF02271.8,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,31,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,1,1.0,1.0,0.962,0.0,0.0,0.0
PF00032.9_int_PF02939.8,2,0.999,0.962,0.962,0.0,0.0,0.0
PF00032.9_int_PF02939.8,5,0.994,0.914,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,31,0.987,0.964,0.931,0.0,0.0,0.0
PF00033.11_int_PF00033.11,1,0.978,0.836,0.939,0.0,0.0,0.0
PF00033.11_int_PF00033.11,2,0.979,0.964,0.93,0.0,0.0,0.0
PF00033.11_int_PF00033.11,5,0.955,0.769,0.93,0.0,0.0,0.0
PF00033.11_int_PF00033.11,6,0.996,0.909,0.976,0.0,0.0,0.0
PF00033.11_int_PF00033.11,9,0.987,0.986,0.945,0.0,0.0,0.0
PF00033.11_int_PF00033.11,20,1.0,1.0,0.97,0.0,0.0,0.0
PF00033.11_int_PF00355.18,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,3,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,7,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,8,0.984,0.5,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,10,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,16,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,39,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,1,1.0,0.833,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,2,1.0,0.714,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,5,0.984,0.875,1.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,1,1.0,1.0,1.0,0.0,0.0,0.0
