DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00004.21_int_PF09336.2,1,0.955,0.844,0.947,0.0,0.0,0.0
PF00004.21_int_PF09336.2,2,0.963,1.0,0.889,0.0,0.0,0.0
PF00004.21_int_PF09336.2,7,0.929,0.587,0.964,0.0,0.0,0.0
PF00017.16_int_PF00018.20,1,0.738,0.889,0.727,0.0,0.0,0.0
PF00017.16_int_PF00018.20,2,0.54,0.333,0.5,0.0,0.0,0.0
PF00017.16_int_PF00018.20,4,0.818,0.727,0.667,0.0,0.0,0.0
PF00017.16_int_PF00018.20,5,0.781,0.25,0.667,0.0,0.0,0.0
PF00017.16_int_PF00018.20,7,0.578,0.353,0.462,0.0,0.0,0.0
PF00017.16_int_PF00018.20,8,0.84,0.722,0.812,0.0,0.0,0.0
PF00017.16_int_PF00018.20,20,0.735,0.0,0.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,21,0.75,0.583,0.583,0.0,0.0,0.0
PF00017.16_int_PF00018.20,22,0.793,0.682,0.789,0.0,0.0,0.0
PF00025.13_int_PF00025.13,1,0.807,0.667,0.722,0.0,0.0,0.0
PF00025.13_int_PF00025.13,2,0.971,0.96,0.889,0.0,0.0,0.0
PF00025.13_int_PF00025.13,3,1.0,1.0,0.9,0.0,0.0,0.0
PF00025.13_int_PF00025.13,6,0.984,1.0,0.929,0.0,0.0,0.0
PF00025.13_int_PF00025.13,7,0.576,0.364,0.615,0.0,0.0,0.0
PF00025.13_int_PF00025.13,10,0.957,1.0,0.727,0.0,0.0,0.0
PF00025.13_int_PF00025.13,11,0.621,0.05,0.4,0.0,0.0,0.0
PF00025.13_int_PF00025.13,15,0.663,0.143,0.667,0.0,0.0,0.0
PF00025.13_int_PF00025.13,21,0.779,0.706,0.75,0.0,0.0,0.0
PF00028.9_int_PF00028.9,1,0.769,0.273,0.75,0.0,0.0,0.0
PF00028.9_int_PF00028.9,3,0.449,0.143,0.333,0.0,0.0,0.0
PF00028.9_int_PF00028.9,7,0.33,0.038,0.143,0.0,0.0,0.0
PF00028.9_int_PF00028.9,8,0.765,0.667,0.6,0.0,0.0,0.0
PF00028.9_int_PF00028.9,19,0.84,0.778,0.737,0.0,0.0,0.0
PF00028.9_int_PF00028.9,20,0.93,0.8,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,21,0.194,0.167,0.333,0.0,0.0,0.0
PF00028.9_int_PF00028.9,22,0.605,0.333,0.6,0.0,0.0,0.0
PF00032.9_int_PF02271.8,1,1.0,1.0,0.941,0.0,0.0,0.0
PF00032.9_int_PF02271.8,2,0.988,0.944,0.895,0.0,0.0,0.0
PF00032.9_int_PF02271.8,5,0.998,1.0,0.955,0.0,0.0,0.0
PF00032.9_int_PF02271.8,31,1.0,1.0,0.941,0.0,0.0,0.0
PF00032.9_int_PF02939.8,1,0.997,1.0,0.806,0.0,0.0,0.0
PF00032.9_int_PF02939.8,2,0.999,0.962,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,5,0.951,0.943,0.868,0.0,0.0,0.0
PF00032.9_int_PF02939.8,31,0.985,1.0,0.903,0.0,0.0,0.0
PF00033.11_int_PF00033.11,1,0.966,0.8,0.936,0.0,0.0,0.0
PF00033.11_int_PF00033.11,2,0.993,0.964,0.964,0.0,0.0,0.0
PF00033.11_int_PF00033.11,5,0.96,0.827,0.915,0.0,0.0,0.0
PF00033.11_int_PF00033.11,6,0.988,0.955,0.913,0.0,0.0,0.0
PF00033.11_int_PF00033.11,9,0.978,1.0,0.843,0.0,0.0,0.0
PF00033.11_int_PF00033.11,20,0.996,1.0,0.889,0.0,0.0,0.0
PF00033.11_int_PF00355.18,1,1.0,1.0,1.0,0.0,0.0,0.0
