DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00004.21_int_PF09336.2,1,0.948,0.328,1.0,0.875,0.75,1.0
PF00004.21_int_PF09336.2,2,0.944,0.417,1.0,0.948,0.896,1.0
PF00004.21_int_PF09336.2,7,0.956,0.109,1.0,0.859,0.717,1.0
PF00017.16_int_PF00018.20,1,0.707,0.056,0.5,0.611,0.222,1.0
PF00017.16_int_PF00018.20,2,0.546,0.0,0.0,0.5,0.0,0.0
PF00017.16_int_PF00018.20,4,0.752,0.182,0.667,0.5,0.0,0.0
PF00017.16_int_PF00018.20,5,0.484,0.0,0.0,0.5,0.0,0.0
PF00017.16_int_PF00018.20,7,0.74,0.0,0.0,0.471,0.0,0.0
PF00017.16_int_PF00018.20,8,0.667,0.056,0.333,0.5,0.111,0.5
PF00017.16_int_PF00018.20,20,0.469,0.286,1.0,0.5,0.0,0.0
PF00017.16_int_PF00018.20,21,0.632,0.0,0.0,0.5,0.0,0.0
PF00017.16_int_PF00018.20,22,0.678,0.0,0.0,0.545,0.091,1.0
PF00025.13_int_PF00025.13,1,0.776,0.513,1.0,0.577,0.154,1.0
PF00025.13_int_PF00025.13,2,1.0,1.0,0.862,0.98,0.96,1.0
PF00025.13_int_PF00025.13,3,0.963,0.889,0.8,0.5,0.0,0.0
PF00025.13_int_PF00025.13,6,0.999,1.0,0.867,0.962,0.923,1.0
PF00025.13_int_PF00025.13,7,0.51,0.0,0.0,0.5,0.0,0.0
PF00025.13_int_PF00025.13,10,1.0,0.812,1.0,0.688,0.375,1.0
PF00025.13_int_PF00025.13,11,0.539,0.0,0.0,0.5,0.0,0.0
PF00025.13_int_PF00025.13,15,0.383,0.0,0.0,0.5,0.0,0.0
PF00025.13_int_PF00025.13,21,0.869,0.294,1.0,0.5,0.0,0.0
PF00028.9_int_PF00028.9,1,0.512,0.0,0.0,0.5,0.0,0.0
PF00028.9_int_PF00028.9,3,0.306,0.0,0.0,0.5,0.0,0.0
PF00028.9_int_PF00028.9,7,0.388,0.0,0.0,0.5,0.0,0.0
PF00028.9_int_PF00028.9,8,0.506,0.0,0.0,0.5,0.0,0.0
PF00028.9_int_PF00028.9,19,0.858,0.333,1.0,0.472,0.0,0.0
PF00028.9_int_PF00028.9,20,0.96,0.7,0.875,0.5,0.0,0.0
PF00028.9_int_PF00028.9,21,0.194,0.0,0.0,0.5,0.0,0.0
PF00028.9_int_PF00028.9,22,0.466,0.0,0.0,0.5,0.0,0.0
PF00032.9_int_PF02271.8,1,0.996,0.938,1.0,1.0,1.0,1.0
PF00032.9_int_PF02271.8,2,0.963,0.889,1.0,0.944,0.889,1.0
PF00032.9_int_PF02271.8,5,0.982,0.0,0.0,0.929,0.857,1.0
PF00032.9_int_PF02271.8,31,1.0,1.0,1.0,1.0,1.0,1.0
PF00032.9_int_PF02939.8,1,0.995,0.96,0.96,0.96,0.92,1.0
PF00032.9_int_PF02939.8,2,0.996,0.923,0.96,0.942,0.885,1.0
PF00032.9_int_PF02939.8,5,0.992,0.0,0.0,0.814,0.629,1.0
PF00032.9_int_PF02939.8,31,0.987,0.75,1.0,0.982,0.964,1.0
PF00033.11_int_PF00033.11,1,0.94,0.655,1.0,0.927,0.855,1.0
PF00033.11_int_PF00033.11,2,0.947,0.564,0.969,0.927,0.855,1.0
PF00033.11_int_PF00033.11,5,0.965,0.019,1.0,0.75,0.5,1.0
PF00033.11_int_PF00033.11,6,0.99,0.886,0.951,0.977,0.955,1.0
PF00033.11_int_PF00033.11,9,0.979,0.729,1.0,0.857,0.714,1.0
PF00033.11_int_PF00033.11,20,0.992,0.75,1.0,1.0,1.0,1.0
PF00033.11_int_PF00355.18,1,1.0,1.0,1.0,1.0,1.0,1.0
PF00033.11_int_PF00355.18,3,1.0,0.909,1.0,0.955,0.909,1.0
PF00033.11_int_PF00355.18,7,0.98,0.4,1.0,0.9,0.8,1.0
PF00033.11_int_PF00355.18,8,0.906,0.375,1.0,0.625,0.25,1.0
PF00033.11_int_PF00355.18,10,1.0,1.0,1.0,1.0,1.0,1.0
PF00033.11_int_PF00355.18,16,1.0,1.0,1.0,1.0,1.0,1.0
PF00033.11_int_PF00355.18,39,1.0,0.9,1.0,0.95,0.9,1.0
PF00033.11_int_PF02271.8,1,1.0,1.0,1.0,1.0,1.0,1.0
PF00033.11_int_PF02271.8,2,1.0,0.571,1.0,0.857,0.714,1.0
PF00033.11_int_PF02271.8,5,1.0,0.125,1.0,0.75,0.5,1.0
PF00033.11_int_PF02939.8,1,1.0,1.0,0.5,0.75,0.5,1.0
PF00033.11_int_PF02939.8,2,1.0,0.25,1.0,0.625,0.25,1.0
PF00033.11_int_PF02939.8,26,0.944,0.667,1.0,0.917,0.833,1.0
PF00034.13_int_PF00141.15,1,0.938,0.25,1.0,0.688,0.375,1.0
PF00034.13_int_PF00141.15,7,0.938,0.333,1.0,0.583,0.167,1.0
PF00034.13_int_PF02239.8,1,1.0,1.0,1.0,0.944,0.889,1.0
PF00034.13_int_PF02239.8,6,0.902,0.5,1.0,0.75,0.5,1.0
PF00051.10_int_PF00051.10,1,0.889,0.778,1.0,0.5,0.0,0.0
PF00051.10_int_PF00051.10,3,0.63,0.0,0.0,0.556,0.111,1.0
PF00051.10_int_PF00051.10,4,0.653,0.0,0.0,0.571,0.143,1.0
PF00051.10_int_PF00051.10,5,0.62,0.0,0.0,0.5,0.0,0.0
PF00051.10_int_PF00051.10,6,0.556,0.0,0.0,0.5,0.0,0.0
PF00051.10_int_PF00051.10,11,0.827,0.571,1.0,0.5,0.0,0.0
PF00051.10_int_PF00051.10,12,0.316,0.0,0.0,0.467,0.0,0.0
PF00051.10_int_PF00051.10,16,0.754,0.217,1.0,0.5,0.0,0.0
PF00074.12_int_PF07686.9,1,0.669,0.0,0.0,0.5,0.0,0.0
PF00074.12_int_PF07686.9,7,0.791,0.357,1.0,0.536,0.071,1.0
PF00074.12_int_PF07686.9,8,0.767,0.13,1.0,0.522,0.043,1.0
PF00081.14_int_PF00081.14,1,0.936,0.521,0.893,0.821,0.667,0.941
PF00081.14_int_PF00081.14,2,0.843,0.0,0.0,0.654,0.308,1.0
PF00081.14_int_PF00081.14,5,1.0,0.0,0.0,1.0,1.0,1.0
PF00081.14_int_PF00081.14,7,0.915,0.59,0.958,0.885,0.769,1.0
PF00081.14_int_PF00081.14,12,0.969,0.0,0.0,0.688,0.375,1.0
PF00081.14_int_PF00081.14,26,0.959,0.0,0.0,0.5,0.0,0.0
PF00081.14_int_PF00081.14,40,0.96,0.0,0.0,0.4,0.0,0.0
PF00081.14_int_PF00081.14,42,0.966,0.879,0.829,0.972,1.0,0.943
PF00087.13_int_PF00087.13,1,0.905,0.783,0.947,0.87,0.783,0.947
PF00087.13_int_PF00087.13,2,0.269,0.0,0.0,0.5,0.045,0.5
PF00087.13_int_PF00087.13,4,0.942,0.097,1.0,0.855,0.71,1.0
PF00087.13_int_PF00087.13,5,0.99,0.773,1.0,0.851,0.727,0.941
PF00087.13_int_PF00087.13,6,0.973,0.062,1.0,0.875,0.75,1.0
PF00087.13_int_PF00087.13,7,0.705,0.136,1.0,0.5,0.0,0.0
PF00087.13_int_PF00087.13,8,0.562,0.0,0.0,0.455,0.0,0.0
PF00087.13_int_PF00087.13,10,0.96,0.467,1.0,0.9,0.8,1.0
PF00087.13_int_PF00087.13,12,0.943,0.0,0.0,0.864,0.727,1.0
PF00087.13_int_PF00087.13,16,0.677,0.0,0.0,0.525,0.05,1.0
PF00104.22_int_PF08832.2,1,0.95,0.769,0.968,0.859,0.718,1.0
PF00104.22_int_PF08832.2,4,0.998,0.44,1.0,0.98,0.96,1.0
PF00104.22_int_PF08832.2,9,0.96,0.688,1.0,0.953,0.906,1.0
PF00104.22_int_PF08832.2,11,0.991,0.788,0.963,0.97,0.939,1.0
PF00127.12_int_PF06433.3,1,0.959,0.714,1.0,0.786,0.571,1.0
PF00127.12_int_PF06433.3,15,0.785,0.0,0.0,0.5,0.0,0.0
PF00127.12_int_PF06433.3,27,0.857,0.714,1.0,0.786,0.571,1.0
PF00149.20_int_PF08321.4,1,0.988,0.984,0.912,0.944,0.889,1.0
PF00149.20_int_PF08321.4,3,0.958,0.906,0.906,0.938,0.875,1.0
PF00167.10_int_PF07679.8,1,0.991,0.6,1.0,0.967,0.933,1.0
PF00167.10_int_PF07679.8,2,0.983,0.919,0.944,0.802,0.622,0.958
PF00167.10_int_PF07679.8,6,0.94,0.622,1.0,0.892,0.784,1.0
PF00167.10_int_PF07679.8,7,0.975,0.907,0.929,0.851,0.721,0.969
PF00167.10_int_PF07679.8,11,0.994,0.667,1.0,0.944,0.889,1.0
PF00167.10_int_PF07679.8,24,0.949,0.679,0.95,0.946,0.893,1.0
PF00167.10_int_PF07679.8,25,0.954,0.571,1.0,0.786,0.571,1.0
PF00167.10_int_PF07679.8,26,0.924,0.722,1.0,0.806,0.611,1.0
PF00243.10_int_PF00243.10,1,0.99,0.928,0.97,0.978,0.957,1.0
PF00243.10_int_PF00243.10,2,0.993,0.896,0.986,0.968,0.935,1.0
PF00243.10_int_PF00243.10,3,0.975,0.88,0.957,0.987,0.973,1.0
PF00243.10_int_PF00243.10,4,0.73,0.3,0.75,0.595,0.3,0.75
PF00243.10_int_PF00243.10,7,0.923,0.778,0.959,0.911,0.822,1.0
PF00243.10_int_PF00243.10,8,0.978,0.627,1.0,0.925,0.851,1.0
PF00243.10_int_PF00243.10,12,0.977,0.878,0.973,0.982,0.963,1.0
PF00254.20_int_PF00254.20,1,0.69,0.0,0.0,0.522,0.043,1.0
PF00254.20_int_PF00254.20,7,0.555,0.125,1.0,0.5,0.0,0.0
PF00254.20_int_PF00254.20,9,0.461,0.0,0.0,0.5,0.0,0.0
PF00254.20_int_PF00254.20,15,0.672,0.0,0.0,0.5,0.0,0.0
PF00254.20_int_PF00254.20,16,0.383,0.0,0.0,0.5,0.0,0.0
PF00254.20_int_PF00254.20,18,0.901,0.182,1.0,0.545,0.091,1.0
PF00385.16_int_PF00385.16,1,1.0,0.091,1.0,0.864,0.727,1.0
PF00385.16_int_PF00385.16,11,1.0,0.0,0.0,0.9,0.8,1.0
PF00385.16_int_PF00385.16,13,0.296,0.0,0.0,0.5,0.0,0.0
PF00385.16_int_PF00385.16,17,0.855,0.222,0.8,0.556,0.111,1.0
PF00385.16_int_PF00385.16,18,0.648,0.053,1.0,0.553,0.105,1.0
PF00385.16_int_PF00385.16,19,0.69,0.0,0.0,0.5,0.0,0.0
PF00393.11_int_PF00393.11,1,0.885,0.213,0.967,0.89,0.78,1.0
PF00393.11_int_PF00393.11,2,0.951,0.886,0.895,0.977,0.954,1.0
PF00393.11_int_PF00393.11,5,0.972,0.931,0.872,0.974,0.948,0.997
PF00393.11_int_PF00393.11,7,0.947,0.703,0.939,0.958,0.916,0.996
PF00393.11_int_PF00393.11,11,0.974,0.943,0.921,0.983,0.966,1.0
PF00511.9_int_PF00511.9,1,0.943,0.767,0.92,0.9,0.8,1.0
PF00511.9_int_PF00511.9,2,0.988,0.925,1.0,0.975,0.95,1.0
PF00511.9_int_PF00511.9,3,0.996,0.7,1.0,0.95,0.9,1.0
PF00511.9_int_PF00511.9,7,0.991,0.765,0.963,0.999,1.0,0.971
PF00511.9_int_PF00511.9,9,0.932,0.538,1.0,0.879,0.769,0.976
PF00511.9_int_PF00511.9,15,0.978,0.861,0.912,0.958,0.917,1.0
PF00563.12_int_PF00563.12,1,0.892,0.0,0.0,0.815,0.63,1.0
PF00563.12_int_PF00563.12,2,0.882,0.236,0.867,0.773,0.545,1.0
PF00563.12_int_PF00563.12,4,0.872,0.464,0.897,0.741,0.482,1.0
PF00563.12_int_PF00563.12,9,0.367,0.0,0.0,0.5,0.0,0.0
PF00617.11_int_PF00618.12,1,0.96,0.0,0.0,0.875,0.75,1.0
PF00617.11_int_PF00618.12,11,0.925,0.0,0.0,0.779,0.558,1.0
PF00711.11_int_PF00711.11,1,0.556,1.0,0.545,0.5,0.0,0.0
PF00711.11_int_PF00711.11,23,0.48,1.0,0.5,0.5,0.0,0.0
PF00712.11_int_PF02768.7,1,0.964,0.0,0.0,0.824,0.647,1.0
PF00712.11_int_PF02768.7,7,0.994,0.893,0.962,0.982,0.964,1.0
PF00712.11_int_PF02768.7,9,0.995,0.966,0.966,0.983,0.966,1.0
