DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00004.21_int_PF09336.2,1,0.891,0.844,0.806,0.0,0.0,0.0
PF00004.21_int_PF09336.2,2,0.977,1.0,0.857,0.0,0.0,0.0
PF00004.21_int_PF09336.2,7,0.927,0.261,0.8,0.0,0.0,0.0
PF00017.16_int_PF00018.20,1,0.923,0.889,0.8,0.0,0.0,0.0
PF00017.16_int_PF00018.20,2,0.877,0.889,0.8,0.0,0.0,0.0
PF00017.16_int_PF00018.20,4,0.942,0.818,0.75,0.0,0.0,0.0
PF00017.16_int_PF00018.20,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,7,0.83,0.588,0.714,0.0,0.0,0.0
PF00017.16_int_PF00018.20,8,0.821,0.444,0.667,0.0,0.0,0.0
PF00017.16_int_PF00018.20,20,1.0,1.0,0.875,0.0,0.0,0.0
PF00017.16_int_PF00018.20,21,0.972,0.917,0.846,0.0,0.0,0.0
PF00017.16_int_PF00018.20,22,0.899,0.955,0.778,0.0,0.0,0.0
PF00025.13_int_PF00025.13,1,0.978,1.0,0.848,0.0,0.0,0.0
PF00025.13_int_PF00025.13,2,0.949,0.8,0.952,0.0,0.0,0.0
PF00025.13_int_PF00025.13,3,1.0,1.0,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,6,0.979,0.846,0.957,0.0,0.0,0.0
PF00025.13_int_PF00025.13,7,0.975,0.773,0.944,0.0,0.0,0.0
PF00025.13_int_PF00025.13,10,0.984,1.0,0.8,0.0,0.0,0.0
PF00025.13_int_PF00025.13,11,0.849,0.35,0.824,0.0,0.0,0.0
PF00025.13_int_PF00025.13,15,0.694,0.071,0.5,0.0,0.0,0.0
PF00025.13_int_PF00025.13,21,0.886,0.765,0.929,0.0,0.0,0.0
PF00028.9_int_PF00028.9,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,3,0.918,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,7,0.805,0.385,0.909,0.0,0.0,0.0
PF00028.9_int_PF00028.9,8,0.889,0.333,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,19,1.0,1.0,0.9,0.0,0.0,0.0
PF00028.9_int_PF00028.9,20,0.98,1.0,0.833,0.0,0.0,0.0
PF00028.9_int_PF00028.9,21,0.972,0.333,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,22,0.481,0.0,0.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,2,1.0,0.889,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,31,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,1,1.0,1.0,0.962,0.0,0.0,0.0
PF00032.9_int_PF02939.8,2,0.996,0.962,0.962,0.0,0.0,0.0
PF00032.9_int_PF02939.8,5,0.979,0.971,0.971,0.0,0.0,0.0
PF00032.9_int_PF02939.8,31,0.973,1.0,0.966,0.0,0.0,0.0
PF00033.11_int_PF00033.11,1,0.969,0.782,0.977,0.0,0.0,0.0
PF00033.11_int_PF00033.11,2,0.998,0.964,0.964,0.0,0.0,0.0
PF00033.11_int_PF00033.11,5,0.981,0.769,0.952,0.0,0.0,0.0
PF00033.11_int_PF00033.11,6,0.999,1.0,0.978,0.0,0.0,0.0
PF00033.11_int_PF00033.11,9,0.984,1.0,0.921,0.0,0.0,0.0
PF00033.11_int_PF00033.11,20,1.0,1.0,0.941,0.0,0.0,0.0
PF00033.11_int_PF00355.18,1,1.0,1.0,0.833,0.0,0.0,0.0
PF00033.11_int_PF00355.18,3,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,7,1.0,0.9,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,8,1.0,0.875,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,10,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,16,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,39,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,2,0.959,0.857,0.857,0.0,0.0,0.0
PF00033.11_int_PF02271.8,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,2,1.0,1.0,0.889,0.0,0.0,0.0
PF00033.11_int_PF02939.8,26,1.0,1.0,1.0,0.0,0.0,0.0
PF00034.13_int_PF00141.15,1,1.0,0.875,1.0,0.0,0.0,0.0
PF00034.13_int_PF00141.15,7,1.0,1.0,0.947,0.0,0.0,0.0
PF00034.13_int_PF02239.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00034.13_int_PF02239.8,6,1.0,1.0,0.889,0.0,0.0,0.0
PF00051.10_int_PF00051.10,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,3,1.0,1.0,0.818,0.0,0.0,0.0
PF00051.10_int_PF00051.10,4,1.0,1.0,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,5,0.67,0.2,0.5,0.0,0.0,0.0
PF00051.10_int_PF00051.10,6,0.889,0.667,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,11,0.939,0.929,0.867,0.0,0.0,0.0
