DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00004.21_int_PF09336.2,1,0.953,0.688,0.936,0.0,0.0,0.0
PF00004.21_int_PF09336.2,2,0.994,0.896,0.977,0.0,0.0,0.0
PF00004.21_int_PF09336.2,7,0.945,0.0,0.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,1,0.944,0.0,0.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,2,0.889,0.333,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,4,0.876,0.818,0.818,0.0,0.0,0.0
PF00017.16_int_PF00018.20,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,7,0.941,0.353,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,8,0.66,0.0,0.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,20,1.0,0.0,0.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,21,0.931,0.75,0.9,0.0,0.0,0.0
PF00017.16_int_PF00018.20,22,0.961,0.0,0.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,1,0.961,0.0,0.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,2,0.976,0.68,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,3,1.0,1.0,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,6,0.96,0.577,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,7,0.946,0.636,0.933,0.0,0.0,0.0
PF00025.13_int_PF00025.13,10,0.996,0.0,0.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,11,0.919,0.0,0.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,15,0.49,0.0,0.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,21,0.872,0.176,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,1,1.0,0.182,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,3,1.0,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,7,0.751,0.115,0.75,0.0,0.0,0.0
PF00028.9_int_PF00028.9,8,0.802,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,19,1.0,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,20,1.0,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,21,0.639,0.167,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,22,0.407,0.0,0.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,2,1.0,0.944,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,31,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,2,0.997,0.962,0.962,0.0,0.0,0.0
PF00032.9_int_PF02939.8,5,1.0,0.971,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,31,1.0,0.964,1.0,0.0,0.0,0.0
PF00033.11_int_PF00033.11,1,0.958,0.691,0.974,0.0,0.0,0.0
PF00033.11_int_PF00033.11,2,0.985,0.927,0.981,0.0,0.0,0.0
PF00033.11_int_PF00033.11,5,0.98,0.712,0.974,0.0,0.0,0.0
PF00033.11_int_PF00033.11,6,1.0,0.886,1.0,0.0,0.0,0.0
PF00033.11_int_PF00033.11,9,0.986,0.986,0.972,0.0,0.0,0.0
PF00033.11_int_PF00033.11,20,1.0,0.938,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,3,1.0,1.0,0.917,0.0,0.0,0.0
PF00033.11_int_PF00355.18,7,1.0,0.8,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,8,1.0,0.5,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,10,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,16,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,39,0.99,0.9,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,2,1.0,0.857,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,2,1.0,1.0,0.889,0.0,0.0,0.0
PF00033.11_int_PF02939.8,26,1.0,0.833,1.0,0.0,0.0,0.0
PF00034.13_int_PF00141.15,1,1.0,0.875,1.0,0.0,0.0,0.0
PF00034.13_int_PF00141.15,7,0.991,1.0,0.9,0.0,0.0,0.0
PF00034.13_int_PF02239.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00034.13_int_PF02239.8,6,1.0,0.875,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,1,0.926,0.0,0.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,3,0.148,0.0,0.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,4,0.857,0.714,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,5,0.79,0.0,0.0,0.0,0.0,0.0
