DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00004.21_int_PF09336.2,1,0.918,0.75,0.873,0.0,0.0,0.0
PF00004.21_int_PF09336.2,2,0.982,1.0,0.906,0.0,0.0,0.0
PF00004.21_int_PF09336.2,7,0.925,0.739,0.895,0.0,0.0,0.0
PF00017.16_int_PF00018.20,1,0.917,0.778,0.933,0.0,0.0,0.0
PF00017.16_int_PF00018.20,2,0.901,0.611,0.846,0.0,0.0,0.0
PF00017.16_int_PF00018.20,4,0.835,0.818,0.818,0.0,0.0,0.0
PF00017.16_int_PF00018.20,5,0.672,0.625,0.833,0.0,0.0,0.0
PF00017.16_int_PF00018.20,7,0.744,0.353,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,8,0.92,0.333,0.857,0.0,0.0,0.0
PF00017.16_int_PF00018.20,20,0.653,0.429,0.6,0.0,0.0,0.0
PF00017.16_int_PF00018.20,21,0.889,0.75,0.9,0.0,0.0,0.0
PF00017.16_int_PF00018.20,22,0.917,0.955,0.84,0.0,0.0,0.0
PF00025.13_int_PF00025.13,1,0.961,1.0,0.886,0.0,0.0,0.0
PF00025.13_int_PF00025.13,2,0.965,0.76,0.95,0.0,0.0,0.0
PF00025.13_int_PF00025.13,3,1.0,1.0,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,6,0.905,0.692,0.9,0.0,0.0,0.0
PF00025.13_int_PF00025.13,7,0.919,0.636,0.875,0.0,0.0,0.0
PF00025.13_int_PF00025.13,10,1.0,1.0,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,11,0.914,0.275,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,15,0.694,0.071,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,21,0.74,0.059,0.5,0.0,0.0,0.0
PF00028.9_int_PF00028.9,1,0.736,0.545,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,3,0.98,0.714,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,7,0.558,0.231,0.6,0.0,0.0,0.0
PF00028.9_int_PF00028.9,8,0.988,0.111,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,19,0.346,0.278,0.556,0.0,0.0,0.0
PF00028.9_int_PF00028.9,20,0.97,1.0,0.909,0.0,0.0,0.0
PF00028.9_int_PF00028.9,21,0.722,0.167,0.5,0.0,0.0,0.0
PF00028.9_int_PF00028.9,22,0.503,0.0,0.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,1,1.0,1.0,0.941,0.0,0.0,0.0
PF00032.9_int_PF02271.8,2,0.988,0.889,0.889,0.0,0.0,0.0
PF00032.9_int_PF02271.8,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,31,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,1,1.0,1.0,0.962,0.0,0.0,0.0
PF00032.9_int_PF02939.8,2,0.987,0.885,0.92,0.0,0.0,0.0
PF00032.9_int_PF02939.8,5,0.993,0.971,0.81,0.0,0.0,0.0
