DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00004.21_int_PF09336.2,1,0.838,0.781,0.746,0.0,0.0,0.0
PF00004.21_int_PF09336.2,2,0.941,0.854,0.911,0.0,0.0,0.0
PF00004.21_int_PF09336.2,7,0.876,0.0,0.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,1,0.864,0.278,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,2,0.827,0.389,0.7,0.0,0.0,0.0
PF00017.16_int_PF00018.20,4,0.909,0.727,0.889,0.0,0.0,0.0
PF00017.16_int_PF00018.20,5,0.922,0.875,0.875,0.0,0.0,0.0
PF00017.16_int_PF00018.20,7,0.862,0.588,0.833,0.0,0.0,0.0
PF00017.16_int_PF00018.20,8,0.91,0.167,0.75,0.0,0.0,0.0
PF00017.16_int_PF00018.20,20,0.776,0.429,0.75,0.0,0.0,0.0
PF00017.16_int_PF00018.20,21,0.833,0.75,0.818,0.0,0.0,0.0
PF00017.16_int_PF00018.20,22,0.849,0.773,0.85,0.0,0.0,0.0
PF00025.13_int_PF00025.13,1,0.899,0.718,0.848,0.0,0.0,0.0
PF00025.13_int_PF00025.13,2,0.966,0.0,0.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,3,1.0,0.889,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,6,0.917,0.154,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,7,0.905,0.136,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,10,0.996,1.0,0.889,0.0,0.0,0.0
PF00025.13_int_PF00025.13,11,0.815,0.1,0.667,0.0,0.0,0.0
PF00025.13_int_PF00025.13,15,0.612,0.0,0.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,21,0.889,0.529,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,1,0.554,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,3,0.571,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,7,0.558,0.077,0.5,0.0,0.0,0.0
PF00028.9_int_PF00028.9,8,0.864,0.444,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,19,0.975,0.944,0.85,0.0,0.0,0.0
PF00028.9_int_PF00028.9,20,0.99,0.9,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,21,0.972,0.167,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,22,0.324,0.0,0.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,2,1.0,0.889,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,31,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,1,0.998,1.0,0.962,0.0,0.0,0.0
PF00032.9_int_PF02939.8,2,0.964,1.0,0.839,0.0,0.0,0.0
PF00032.9_int_PF02939.8,5,0.984,0.857,0.968,0.0,0.0,0.0
PF00032.9_int_PF02939.8,31,1.0,0.964,1.0,0.0,0.0,0.0
PF00033.11_int_PF00033.11,1,0.965,0.727,0.976,0.0,0.0,0.0
PF00033.11_int_PF00033.11,2,0.997,0.927,1.0,0.0,0.0,0.0
PF00033.11_int_PF00033.11,5,0.958,0.673,0.972,0.0,0.0,0.0
PF00033.11_int_PF00033.11,6,0.995,0.932,0.953,0.0,0.0,0.0
PF00033.11_int_PF00033.11,9,0.988,1.0,0.946,0.0,0.0,0.0
PF00033.11_int_PF00033.11,20,0.997,1.0,0.941,0.0,0.0,0.0
PF00033.11_int_PF00355.18,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,3,1.0,1.0,0.917,0.0,0.0,0.0
PF00033.11_int_PF00355.18,7,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,8,1.0,0.5,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,10,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,16,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,39,1.0,0.9,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,2,1.0,0.857,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,1,1.0,0.5,1.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,2,1.0,0.5,1.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,26,1.0,0.667,1.0,0.0,0.0,0.0
PF00034.13_int_PF00141.15,1,0.969,0.5,1.0,0.0,0.0,0.0
PF00034.13_int_PF00141.15,7,0.991,0.833,0.938,0.0,0.0,0.0
PF00034.13_int_PF02239.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00034.13_int_PF02239.8,6,1.0,0.5,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,1,0.975,0.222,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,3,1.0,0.556,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,4,0.755,0.857,0.75,0.0,0.0,0.0
PF00051.10_int_PF00051.10,5,0.85,0.2,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,6,0.728,0.222,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,11,0.679,0.5,0.875,0.0,0.0,0.0
PF00051.10_int_PF00051.10,12,0.684,0.133,0.667,0.0,0.0,0.0
PF00051.10_int_PF00051.10,16,0.781,0.391,1.0,0.0,0.0,0.0
PF00074.12_int_PF07686.9,1,0.802,0.852,0.852,0.0,0.0,0.0
PF00074.12_int_PF07686.9,7,0.923,0.5,1.0,0.0,0.0,0.0
PF00074.12_int_PF07686.9,8,0.686,0.043,0.333,0.0,0.0,0.0
PF00081.14_int_PF00081.14,1,0.942,1.0,0.762,0.0,0.0,0.0
PF00081.14_int_PF00081.14,2,0.852,0.269,1.0,0.0,0.0,0.0
PF00081.14_int_PF00081.14,5,0.944,0.667,0.8,0.0,0.0,0.0
PF00081.14_int_PF00081.14,7,0.992,0.872,0.971,0.0,0.0,0.0
PF00081.14_int_PF00081.14,12,0.906,0.875,0.875,0.0,0.0,0.0
PF00081.14_int_PF00081.14,26,1.0,0.714,1.0,0.0,0.0,0.0
PF00081.14_int_PF00081.14,40,1.0,1.0,1.0,0.0,0.0,0.0
PF00081.14_int_PF00081.14,42,0.965,1.0,0.825,0.0,0.0,0.0
PF00087.13_int_PF00087.13,1,0.883,0.522,0.857,0.0,0.0,0.0
PF00087.13_int_PF00087.13,2,0.816,0.0,0.0,0.0,0.0,0.0
PF00087.13_int_PF00087.13,4,0.902,0.71,0.957,0.0,0.0,0.0
PF00087.13_int_PF00087.13,5,0.833,0.5,0.786,0.0,0.0,0.0
PF00087.13_int_PF00087.13,6,0.969,0.812,0.867,0.0,0.0,0.0
PF00087.13_int_PF00087.13,7,0.663,0.182,0.8,0.0,0.0,0.0
PF00087.13_int_PF00087.13,8,0.686,0.0,0.0,0.0,0.0,0.0
PF00087.13_int_PF00087.13,10,0.951,0.667,0.909,0.0,0.0,0.0
PF00087.13_int_PF00087.13,12,0.791,0.576,0.95,0.0,0.0,0.0
PF00087.13_int_PF00087.13,16,0.948,0.5,1.0,0.0,0.0,0.0
PF00104.22_int_PF08832.2,1,0.943,0.692,0.964,0.0,0.0,0.0
PF00104.22_int_PF08832.2,4,0.938,0.8,0.87,0.0,0.0,0.0
PF00104.22_int_PF08832.2,9,0.958,0.781,1.0,0.0,0.0,0.0
PF00104.22_int_PF08832.2,11,0.905,0.788,0.867,0.0,0.0,0.0
PF00127.12_int_PF06433.3,1,1.0,0.571,1.0,0.0,0.0,0.0
PF00127.12_int_PF06433.3,15,0.944,0.333,1.0,0.0,0.0,0.0
PF00127.12_int_PF06433.3,27,1.0,0.143,1.0,0.0,0.0,0.0
PF00149.20_int_PF08321.4,1,0.819,0.905,0.722,0.0,0.0,0.0
PF00149.20_int_PF08321.4,3,0.85,0.922,0.702,0.0,0.0,0.0
