DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00004.21_int_PF09336.2,1,0.946,0.812,0.912,0.0,0.0,0.0
PF00004.21_int_PF09336.2,2,0.982,1.0,0.889,0.0,0.0,0.0
PF00004.21_int_PF09336.2,7,0.976,0.13,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,1,0.985,0.722,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,2,0.941,0.833,0.938,0.0,0.0,0.0
PF00017.16_int_PF00018.20,4,0.975,1.0,0.917,0.0,0.0,0.0
PF00017.16_int_PF00018.20,5,1.0,1.0,0.889,0.0,0.0,0.0
PF00017.16_int_PF00018.20,7,0.92,0.765,0.929,0.0,0.0,0.0
PF00017.16_int_PF00018.20,8,0.852,0.444,0.8,0.0,0.0,0.0
PF00017.16_int_PF00018.20,20,1.0,1.0,0.875,0.0,0.0,0.0
PF00017.16_int_PF00018.20,21,0.917,0.917,0.846,0.0,0.0,0.0
PF00017.16_int_PF00018.20,22,0.963,1.0,0.917,0.0,0.0,0.0
PF00025.13_int_PF00025.13,1,0.966,1.0,0.867,0.0,0.0,0.0
PF00025.13_int_PF00025.13,2,0.968,0.8,0.952,0.0,0.0,0.0
PF00025.13_int_PF00025.13,3,1.0,1.0,0.9,0.0,0.0,0.0
PF00025.13_int_PF00025.13,6,0.972,0.808,0.955,0.0,0.0,0.0
PF00025.13_int_PF00025.13,7,0.917,0.727,0.842,0.0,0.0,0.0
PF00025.13_int_PF00025.13,10,1.0,1.0,0.889,0.0,0.0,0.0
PF00025.13_int_PF00025.13,11,0.859,0.225,0.75,0.0,0.0,0.0
PF00025.13_int_PF00025.13,15,0.592,0.071,0.5,0.0,0.0,0.0
PF00025.13_int_PF00025.13,21,0.841,0.765,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,1,1.0,1.0,0.917,0.0,0.0,0.0
PF00028.9_int_PF00028.9,3,0.857,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,7,0.689,0.269,0.636,0.0,0.0,0.0
PF00028.9_int_PF00028.9,8,1.0,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,19,0.969,1.0,0.783,0.0,0.0,0.0
PF00028.9_int_PF00028.9,20,1.0,1.0,0.909,0.0,0.0,0.0
PF00028.9_int_PF00028.9,21,0.944,0.167,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,22,0.593,0.0,0.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,2,1.0,0.889,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,31,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,1,1.0,1.0,0.962,0.0,0.0,0.0
PF00032.9_int_PF02939.8,2,1.0,0.962,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,5,0.972,0.886,0.969,0.0,0.0,0.0
PF00032.9_int_PF02939.8,31,0.99,0.857,1.0,0.0,0.0,0.0
PF00033.11_int_PF00033.11,1,0.948,0.709,0.929,0.0,0.0,0.0
PF00033.11_int_PF00033.11,2,0.999,0.964,0.981,0.0,0.0,0.0
PF00033.11_int_PF00033.11,5,0.886,0.712,1.0,0.0,0.0,0.0
PF00033.11_int_PF00033.11,6,1.0,0.955,1.0,0.0,0.0,0.0
PF00033.11_int_PF00033.11,9,0.998,1.0,0.921,0.0,0.0,0.0
PF00033.11_int_PF00033.11,20,0.995,0.969,0.939,0.0,0.0,0.0
PF00033.11_int_PF00355.18,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,3,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,7,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,8,1.0,0.625,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,10,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,16,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,39,1.0,0.9,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,1,1.0,0.833,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,2,0.959,0.714,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,1,0.917,1.0,0.857,0.0,0.0,0.0
PF00033.11_int_PF02939.8,2,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,26,1.0,0.833,1.0,0.0,0.0,0.0
PF00034.13_int_PF00141.15,1,1.0,0.5,1.0,0.0,0.0,0.0
PF00034.13_int_PF00141.15,7,1.0,1.0,1.0,0.0,0.0,0.0
PF00034.13_int_PF02239.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00034.13_int_PF02239.8,6,1.0,0.875,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,1,0.864,0.778,0.7,0.0,0.0,0.0
PF00051.10_int_PF00051.10,3,0.778,0.778,0.875,0.0,0.0,0.0
PF00051.10_int_PF00051.10,4,0.714,0.571,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,5,0.53,0.0,0.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,6,0.84,0.778,0.875,0.0,0.0,0.0
PF00051.10_int_PF00051.10,11,0.985,0.643,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,12,0.631,0.533,0.615,0.0,0.0,0.0
PF00051.10_int_PF00051.10,16,0.957,0.783,0.947,0.0,0.0,0.0
PF00074.12_int_PF07686.9,1,0.942,0.778,0.875,0.0,0.0,0.0
PF00074.12_int_PF07686.9,7,1.0,1.0,1.0,0.0,0.0,0.0
