DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00004.21_int_PF09336.2,1,0.948,0.797,0.927,0.948,0.0,0.0
PF00004.21_int_PF09336.2,2,0.973,0.938,0.957,0.973,0.0,0.0
PF00004.21_int_PF09336.2,7,0.772,0.0,0.0,0.772,0.0,0.0
PF00017.16_int_PF00018.20,1,0.895,0.056,1.0,0.895,0.0,0.0
PF00017.16_int_PF00018.20,2,0.904,0.222,1.0,0.904,0.0,0.0
PF00017.16_int_PF00018.20,4,0.835,0.273,0.6,0.835,0.0,0.0
PF00017.16_int_PF00018.20,5,0.969,0.625,1.0,0.969,0.0,0.0
PF00017.16_int_PF00018.20,7,0.91,0.118,1.0,0.91,0.0,0.0
PF00017.16_int_PF00018.20,8,0.864,0.056,1.0,0.864,0.0,0.0
PF00017.16_int_PF00018.20,20,0.878,0.429,0.75,0.878,0.0,0.0
PF00017.16_int_PF00018.20,21,0.951,0.0,0.0,0.951,0.0,0.0
PF00017.16_int_PF00018.20,22,0.99,0.227,1.0,0.99,0.0,0.0
PF00025.13_int_PF00025.13,1,0.962,0.564,1.0,0.962,0.0,0.0
PF00025.13_int_PF00025.13,2,0.968,0.0,0.0,0.968,0.0,0.0
PF00025.13_int_PF00025.13,3,1.0,0.0,0.0,1.0,0.0,0.0
PF00025.13_int_PF00025.13,6,0.948,0.0,0.0,0.948,0.0,0.0
PF00025.13_int_PF00025.13,7,0.948,0.0,0.0,0.948,0.0,0.0
PF00025.13_int_PF00025.13,10,1.0,0.75,1.0,1.0,0.0,0.0
PF00025.13_int_PF00025.13,11,0.871,0.0,0.0,0.871,0.0,0.0
PF00025.13_int_PF00025.13,15,0.827,0.0,0.0,0.827,0.0,0.0
PF00025.13_int_PF00025.13,21,0.889,0.0,0.0,0.889,0.0,0.0
PF00028.9_int_PF00028.9,1,1.0,0.0,0.0,1.0,0.0,0.0
PF00028.9_int_PF00028.9,3,0.816,0.0,0.0,0.816,0.0,0.0
PF00028.9_int_PF00028.9,7,0.783,0.038,0.5,0.783,0.0,0.0
PF00028.9_int_PF00028.9,8,0.864,0.0,0.0,0.864,0.0,0.0
PF00028.9_int_PF00028.9,19,0.981,1.0,0.947,0.981,0.0,0.0
PF00028.9_int_PF00028.9,20,1.0,0.5,1.0,1.0,0.0,0.0
PF00028.9_int_PF00028.9,21,0.722,0.0,0.0,0.722,0.0,0.0
PF00028.9_int_PF00028.9,22,0.46,0.0,0.0,0.46,0.0,0.0
PF00032.9_int_PF02271.8,1,1.0,1.0,1.0,1.0,0.0,0.0
PF00032.9_int_PF02271.8,2,1.0,0.889,1.0,1.0,0.0,0.0
