DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
CPSase_L_chain_int_CPSase_L_D2,95,0.264,1.0,0.5,0.764,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,57,0.826,0.742,0.793,0.826,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,38,0.822,0.643,0.766,0.82,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,127,0.71,0.66,0.805,0.863,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,140,0.859,0.766,0.875,0.868,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,19,0.815,0.667,0.75,0.815,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,112,0.823,0.75,0.804,0.79,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,76,0.775,0.851,0.727,0.775,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,37,0.277,1.0,0.5,0.892,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,56,0.75,0.37,0.81,0.879,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,111,0.846,0.68,0.829,0.849,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,18,0.782,0.0,0.0,0.826,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,139,0.813,0.872,0.804,0.877,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,94,1.0,0.75,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,126,0.84,0.75,0.818,0.861,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,75,0.9,0.7,0.875,0.9,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,55,0.901,1.0,0.733,0.95,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,36,1.0,1.0,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,110,0.959,0.909,0.833,0.95,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,17,0.893,0.978,0.495,0.89,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,138,0.826,0.727,0.727,0.901,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,93,0.906,0.625,0.833,0.906,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,125,0.612,0.714,0.625,0.612,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,74,1.0,0.625,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,16,0.906,0.857,0.913,0.924,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,35,0.796,0.571,0.667,0.796,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,137,0.797,0.75,0.667,0.766,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,54,0.734,0.625,0.714,0.766,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,92,0.822,0.719,0.793,0.818,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,124,0.847,0.0,0.0,0.857,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,109,1.0,0.667,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,73,0.843,0.629,0.796,0.874,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,53,0.856,0.694,0.796,0.851,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,123,0.273,1.0,0.5,0.867,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,34,0.845,0.7,0.857,0.855,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,108,0.817,0.762,0.75,0.81,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,15,0.848,0.157,1.0,0.876,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,91,0.846,0.894,0.824,0.858,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,136,0.819,0.864,0.739,0.808,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,72,0.22,0.98,0.495,0.774,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,107,0.787,0.0,0.0,0.845,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,33,0.85,0.683,0.878,0.859,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,52,0.766,0.771,0.787,0.863,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,90,1.0,0.727,1.0,0.975,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,14,0.851,0.727,0.727,0.851,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,122,0.822,0.769,0.769,0.852,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,135,0.765,0.739,0.829,0.897,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,71,0.806,1.0,0.75,0.771,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,106,0.727,0.0,0.0,0.769,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,13,0.938,0.375,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,51,0.979,0.75,0.9,0.979,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,32,0.884,0.727,0.8,0.884,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,89,0.959,0.429,1.0,0.959,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,121,0.914,0.0,0.0,0.914,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,134,0.777,0.455,0.714,0.826,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,70,0.172,1.0,0.5,0.891,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,12,0.772,0.667,0.784,0.819,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,50,0.857,1.0,0.7,0.857,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,31,0.812,0.0,0.0,0.469,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,105,0.755,0.0,0.0,0.796,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,88,0.848,0.732,0.854,0.836,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,120,0.797,0.684,0.722,0.792,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,133,0.694,0.667,0.8,0.694,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,69,0.817,0.705,0.754,0.79,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,11,0.763,0.766,0.706,0.77,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,49,0.231,1.0,0.5,0.797,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,104,0.851,0.694,0.796,0.82,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,87,0.848,0.812,0.848,0.893,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,119,0.896,0.702,0.917,0.923,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,30,0.826,0.783,0.77,0.845,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,68,0.736,0.0,0.0,0.835,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,132,0.86,0.61,0.783,0.876,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,10,1.0,0.7,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,48,0.883,0.755,0.902,0.908,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,103,0.833,0.882,0.833,0.831,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,86,0.958,0.917,0.917,0.979,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,29,0.666,0.424,0.641,0.754,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,118,0.851,0.727,0.727,0.868,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,67,0.992,0.909,0.909,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,131,0.797,1.0,0.5,0.266,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,9,0.944,0.667,0.8,0.944,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,102,0.835,0.818,0.75,0.835,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,28,0.901,1.0,0.733,0.876,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,47,0.909,0.727,0.8,0.95,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,85,0.785,0.705,0.705,0.782,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,130,0.868,0.727,0.667,0.884,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,66,0.796,0.0,0.0,0.776,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,117,0.917,0.5,0.75,0.917,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,8,0.82,0.016,0.5,0.834,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,101,0.944,0.5,1.0,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,27,0.861,0.667,0.667,0.861,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,65,0.785,0.567,0.739,0.812,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,116,0.873,0.569,0.846,0.851,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,84,0.892,1.0,0.5,0.909,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,129,0.857,0.714,0.833,0.857,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,46,0.878,0.571,0.667,0.878,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,100,0.794,0.737,0.75,0.815,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,7,0.855,0.9,0.849,0.859,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,26,0.781,0.741,0.729,0.782,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,83,0.835,0.854,0.795,0.872,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,115,0.778,0.653,0.696,0.811,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,64,0.806,0.653,0.78,0.87,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,128,0.766,0.644,0.745,0.782,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,45,0.865,0.0,0.0,0.906,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,6,0.86,0.636,0.875,0.86,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,25,0.792,0.188,0.857,0.793,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,99,0.871,0.667,0.821,0.892,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,63,0.9,0.9,0.692,0.9,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,82,0.893,0.898,0.8,0.913,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,114,0.942,0.727,0.889,0.926,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,151,0.7,0.66,0.795,0.683,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,44,0.859,0.852,0.852,0.861,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,5,0.781,0.75,0.75,0.781,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,62,0.0,1.0,0.5,1.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,98,0.771,1.0,0.75,0.785,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,81,0.917,0.889,0.87,0.942,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,24,0.975,0.0,0.0,0.975,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,150,0.863,0.708,0.872,0.839,0.0,0.0
