DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00004.21_int_PF09336.2,1,0.854,0.438,0.848,0.0,0.0,0.0
PF00004.21_int_PF09336.2,2,0.821,0.812,0.75,0.0,0.0,0.0
PF00004.21_int_PF09336.2,7,0.978,0.0,0.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,1,0.889,0.556,0.909,0.0,0.0,0.0
PF00017.16_int_PF00018.20,2,0.765,0.222,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,4,0.876,0.727,0.889,0.0,0.0,0.0
PF00017.16_int_PF00018.20,5,0.562,0.375,0.6,0.0,0.0,0.0
PF00017.16_int_PF00018.20,7,0.702,0.118,0.5,0.0,0.0,0.0
PF00017.16_int_PF00018.20,8,0.793,0.222,0.667,0.0,0.0,0.0
PF00017.16_int_PF00018.20,20,0.918,0.429,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,21,0.938,0.667,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,22,0.581,0.455,0.714,0.0,0.0,0.0
PF00025.13_int_PF00025.13,1,0.951,0.897,0.875,0.0,0.0,0.0
PF00025.13_int_PF00025.13,2,0.941,0.08,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,3,1.0,0.778,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,6,0.951,0.538,0.933,0.0,0.0,0.0
PF00025.13_int_PF00025.13,7,0.926,0.727,0.941,0.0,0.0,0.0
PF00025.13_int_PF00025.13,10,0.984,1.0,0.941,0.0,0.0,0.0
PF00025.13_int_PF00025.13,11,0.696,0.0,0.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,15,0.699,0.0,0.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,21,0.917,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,1,0.975,0.182,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,3,1.0,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,7,0.657,0.115,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,8,0.802,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,19,0.907,0.778,0.875,0.0,0.0,0.0
PF00028.9_int_PF00028.9,20,0.95,0.5,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,21,0.861,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,22,0.46,0.0,0.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,1,1.0,0.875,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,2,0.994,0.889,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,5,1.0,1.0,0.955,0.0,0.0,0.0
PF00032.9_int_PF02271.8,31,1.0,0.938,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,2,0.993,0.808,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,5,0.999,0.657,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,31,0.983,0.714,1.0,0.0,0.0,0.0
PF00033.11_int_PF00033.11,1,0.968,0.745,0.932,0.0,0.0,0.0
PF00033.11_int_PF00033.11,2,0.951,0.673,0.949,0.0,0.0,0.0
PF00033.11_int_PF00033.11,5,0.95,0.596,0.969,0.0,0.0,0.0
PF00033.11_int_PF00033.11,6,0.989,0.682,1.0,0.0,0.0,0.0
PF00033.11_int_PF00033.11,9,0.981,0.957,0.944,0.0,0.0,0.0
PF00033.11_int_PF00033.11,20,1.0,0.969,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,3,0.967,1.0,0.917,0.0,0.0,0.0
PF00033.11_int_PF00355.18,7,1.0,0.7,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,8,1.0,0.375,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,10,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,16,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,39,1.0,0.9,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,1,1.0,0.833,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,2,1.0,0.714,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,1,1.0,0.5,1.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,2,1.0,0.0,0.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,26,1.0,0.167,1.0,0.0,0.0,0.0
PF00034.13_int_PF00141.15,1,1.0,0.125,1.0,0.0,0.0,0.0
