DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00004.21_int_PF09336.2,1,0.942,0.969,0.785,0.0,0.0,0.0
PF00004.21_int_PF09336.2,2,0.979,1.0,0.941,0.0,0.0,0.0
PF00004.21_int_PF09336.2,7,0.927,0.0,0.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,1,0.812,0.611,0.786,0.0,0.0,0.0
PF00017.16_int_PF00018.20,2,0.799,0.556,0.714,0.0,0.0,0.0
PF00017.16_int_PF00018.20,4,0.992,0.818,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,5,0.969,1.0,0.889,0.0,0.0,0.0
PF00017.16_int_PF00018.20,7,0.924,0.471,0.889,0.0,0.0,0.0
PF00017.16_int_PF00018.20,8,0.815,0.222,0.667,0.0,0.0,0.0
PF00017.16_int_PF00018.20,20,0.959,0.714,1.0,0.0,0.0,0.0
PF00017.16_int_PF00018.20,21,0.847,0.75,0.818,0.0,0.0,0.0
PF00017.16_int_PF00018.20,22,0.975,0.773,0.944,0.0,0.0,0.0
PF00025.13_int_PF00025.13,1,0.961,0.821,0.914,0.0,0.0,0.0
PF00025.13_int_PF00025.13,2,0.976,0.68,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,3,1.0,1.0,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,6,0.953,0.462,1.0,0.0,0.0,0.0
PF00025.13_int_PF00025.13,7,0.95,0.636,0.875,0.0,0.0,0.0
PF00025.13_int_PF00025.13,10,1.0,1.0,0.941,0.0,0.0,0.0
PF00025.13_int_PF00025.13,11,0.899,0.25,0.833,0.0,0.0,0.0
PF00025.13_int_PF00025.13,15,0.653,0.071,0.5,0.0,0.0,0.0
PF00025.13_int_PF00025.13,21,0.945,0.706,0.923,0.0,0.0,0.0
PF00028.9_int_PF00028.9,1,1.0,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,3,0.714,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,7,0.515,0.154,0.8,0.0,0.0,0.0
PF00028.9_int_PF00028.9,8,0.975,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,19,0.981,1.0,0.947,0.0,0.0,0.0
PF00028.9_int_PF00028.9,20,1.0,1.0,1.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,21,1.0,0.0,0.0,0.0,0.0,0.0
PF00028.9_int_PF00028.9,22,0.546,0.0,0.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,2,0.981,0.889,0.889,0.0,0.0,0.0
PF00032.9_int_PF02271.8,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02271.8,31,1.0,1.0,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,1,0.954,1.0,0.926,0.0,0.0,0.0
PF00032.9_int_PF02939.8,2,0.999,0.962,1.0,0.0,0.0,0.0
PF00032.9_int_PF02939.8,5,0.991,0.943,0.971,0.0,0.0,0.0
PF00032.9_int_PF02939.8,31,1.0,0.964,1.0,0.0,0.0,0.0
PF00033.11_int_PF00033.11,1,0.988,0.8,0.978,0.0,0.0,0.0
PF00033.11_int_PF00033.11,2,0.996,0.964,0.898,0.0,0.0,0.0
PF00033.11_int_PF00033.11,5,0.987,0.769,0.976,0.0,0.0,0.0
PF00033.11_int_PF00033.11,6,0.99,0.955,0.913,0.0,0.0,0.0
PF00033.11_int_PF00033.11,9,0.981,1.0,0.946,0.0,0.0,0.0
PF00033.11_int_PF00033.11,20,1.0,0.969,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,3,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,7,1.0,0.8,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,8,1.0,0.875,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,10,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,16,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF00355.18,39,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02271.8,2,0.959,0.857,0.857,0.0,0.0,0.0
PF00033.11_int_PF02271.8,5,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,1,1.0,1.0,0.857,0.0,0.0,0.0
PF00033.11_int_PF02939.8,2,1.0,1.0,1.0,0.0,0.0,0.0
PF00033.11_int_PF02939.8,26,1.0,1.0,1.0,0.0,0.0,0.0
PF00034.13_int_PF00141.15,1,1.0,0.75,1.0,0.0,0.0,0.0
PF00034.13_int_PF00141.15,7,0.96,0.778,0.933,0.0,0.0,0.0
PF00034.13_int_PF02239.8,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00034.13_int_PF02239.8,6,0.996,0.75,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,1,0.963,0.222,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,3,1.0,0.889,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,4,1.0,0.286,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,5,0.79,0.2,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,6,0.778,0.0,0.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,11,0.944,0.357,1.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,12,0.782,0.0,0.0,0.0,0.0,0.0
PF00051.10_int_PF00051.10,16,0.871,0.565,0.929,0.0,0.0,0.0
PF00074.12_int_PF07686.9,1,0.975,0.889,0.889,0.0,0.0,0.0
PF00074.12_int_PF07686.9,7,1.0,1.0,1.0,0.0,0.0,0.0
PF00074.12_int_PF07686.9,8,0.824,0.217,0.833,0.0,0.0,0.0
PF00081.14_int_PF00081.14,1,0.961,1.0,0.727,0.0,0.0,0.0
PF00081.14_int_PF00081.14,2,0.812,0.5,0.929,0.0,0.0,0.0
PF00081.14_int_PF00081.14,5,1.0,0.833,1.0,0.0,0.0,0.0
PF00081.14_int_PF00081.14,7,0.949,1.0,0.765,0.0,0.0,0.0
PF00081.14_int_PF00081.14,12,1.0,0.875,1.0,0.0,0.0,0.0
