DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00004.21_int_PF09336.2,1,0.914,0.859,0.846,0.875,0.75,1.0
PF00004.21_int_PF09336.2,2,0.984,1.0,0.906,0.948,0.896,1.0
PF00004.21_int_PF09336.2,7,0.96,0.326,0.938,0.859,0.717,1.0
PF00017.16_int_PF00018.20,1,0.981,0.889,0.889,0.611,0.222,1.0
PF00017.16_int_PF00018.20,2,0.914,0.889,0.762,0.5,0.0,0.0
PF00017.16_int_PF00018.20,4,0.975,0.727,1.0,0.455,0.0,0.0
PF00017.16_int_PF00018.20,5,0.969,1.0,0.727,0.5,0.0,0.0
PF00017.16_int_PF00018.20,7,0.855,0.588,0.769,0.5,0.0,0.0
PF00017.16_int_PF00018.20,8,0.914,0.444,0.889,0.528,0.111,0.667
PF00017.16_int_PF00018.20,20,0.837,0.714,0.625,0.5,0.0,0.0
PF00017.16_int_PF00018.20,21,0.958,0.75,0.9,0.5,0.0,0.0
PF00017.16_int_PF00018.20,22,0.961,1.0,0.71,0.5,0.091,0.5
PF00025.13_int_PF00025.13,1,0.968,0.949,0.841,0.577,0.154,1.0
PF00025.13_int_PF00025.13,2,0.966,0.88,0.88,0.98,0.96,1.0
PF00025.13_int_PF00025.13,3,1.0,1.0,1.0,0.5,0.0,0.0
PF00025.13_int_PF00025.13,6,0.954,0.885,0.92,0.962,0.923,1.0
PF00025.13_int_PF00025.13,7,0.948,0.909,0.909,0.5,0.0,0.0
PF00025.13_int_PF00025.13,10,1.0,1.0,0.941,0.688,0.375,1.0
PF00025.13_int_PF00025.13,11,0.892,0.225,0.818,0.5,0.0,0.0
PF00025.13_int_PF00025.13,15,0.679,0.071,1.0,0.5,0.0,0.0
PF00025.13_int_PF00025.13,21,0.834,0.824,0.824,0.5,0.0,0.0
PF00028.9_int_PF00028.9,1,0.983,0.818,0.9,0.5,0.0,0.0
PF00028.9_int_PF00028.9,3,0.939,0.143,1.0,0.5,0.0,0.0
PF00028.9_int_PF00028.9,7,0.646,0.192,0.556,0.5,0.0,0.0
PF00028.9_int_PF00028.9,8,0.889,0.111,0.5,0.5,0.0,0.0
PF00028.9_int_PF00028.9,19,0.972,1.0,0.857,0.5,0.0,0.0
