DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00004.21_int_PF09336.2,1,0.923,0.75,0.906,0.875,0.75,1.0
PF00004.21_int_PF09336.2,2,0.969,0.875,0.933,0.948,0.896,1.0
PF00004.21_int_PF09336.2,7,0.894,0.0,0.0,0.853,0.717,0.971
PF00017.16_int_PF00018.20,1,0.935,0.278,1.0,0.611,0.222,1.0
PF00017.16_int_PF00018.20,2,0.787,0.333,0.75,0.472,0.0,0.0
PF00017.16_int_PF00018.20,4,0.851,0.636,0.778,0.455,0.0,0.0
PF00017.16_int_PF00018.20,5,0.797,0.625,0.833,0.5,0.0,0.0
PF00017.16_int_PF00018.20,7,0.844,0.176,1.0,0.5,0.0,0.0
PF00017.16_int_PF00018.20,8,0.957,0.0,0.0,0.528,0.111,0.667
PF00017.16_int_PF00018.20,20,0.918,0.429,1.0,0.5,0.0,0.0
PF00017.16_int_PF00018.20,21,0.785,0.167,1.0,0.417,0.0,0.0
PF00017.16_int_PF00018.20,22,0.903,0.636,0.933,0.545,0.091,1.0
PF00025.13_int_PF00025.13,1,0.903,0.897,0.897,0.577,0.154,1.0
PF00025.13_int_PF00025.13,2,0.965,0.52,1.0,0.98,0.96,1.0
PF00025.13_int_PF00025.13,3,1.0,1.0,1.0,0.5,0.0,0.0
PF00025.13_int_PF00025.13,6,0.957,0.538,1.0,0.962,0.923,1.0
PF00025.13_int_PF00025.13,7,0.957,0.545,1.0,0.5,0.0,0.0
PF00025.13_int_PF00025.13,10,1.0,1.0,1.0,0.688,0.375,1.0
PF00025.13_int_PF00025.13,11,0.83,0.0,0.0,0.5,0.0,0.0
PF00025.13_int_PF00025.13,15,0.837,0.0,0.0,0.5,0.0,0.0
PF00025.13_int_PF00025.13,21,0.91,0.412,1.0,0.5,0.0,0.0
PF00028.9_int_PF00028.9,1,0.967,0.182,1.0,0.5,0.0,0.0
PF00028.9_int_PF00028.9,3,1.0,0.0,0.0,0.5,0.0,0.0
PF00028.9_int_PF00028.9,7,0.567,0.038,0.333,0.5,0.0,0.0
PF00028.9_int_PF00028.9,8,0.765,0.0,0.0,0.5,0.0,0.0
PF00028.9_int_PF00028.9,19,0.988,0.833,1.0,0.5,0.0,0.0
PF00028.9_int_PF00028.9,20,1.0,0.5,1.0,0.5,0.0,0.0
PF00028.9_int_PF00028.9,21,0.5,0.167,0.5,0.5,0.0,0.0
PF00028.9_int_PF00028.9,22,0.475,0.0,0.0,0.472,0.0,0.0
PF00032.9_int_PF02271.8,1,1.0,0.938,1.0,1.0,1.0,1.0
PF00032.9_int_PF02271.8,2,1.0,0.889,1.0,0.944,0.889,1.0
PF00032.9_int_PF02271.8,5,0.991,1.0,0.955,0.929,0.857,1.0
PF00032.9_int_PF02271.8,31,1.0,1.0,1.0,1.0,1.0,1.0
PF00032.9_int_PF02939.8,1,1.0,1.0,1.0,0.96,0.92,1.0
PF00032.9_int_PF02939.8,2,1.0,0.962,1.0,0.942,0.885,1.0
PF00032.9_int_PF02939.8,5,0.978,0.943,0.943,0.814,0.629,1.0
PF00032.9_int_PF02939.8,31,0.895,0.786,1.0,0.982,0.964,1.0
