DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
CPSase_L_chain_int_CPSase_L_D2,1,0.916,1.0,0.845,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,2,1.0,1.0,0.923,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,3,0.983,1.0,0.96,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,4,0.968,1.0,0.896,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,5,0.938,1.0,0.889,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,6,0.868,1.0,0.846,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,7,0.971,1.0,0.909,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,8,0.959,0.984,0.875,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,9,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,10,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,11,0.999,1.0,0.979,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,12,0.964,1.0,0.882,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,13,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,14,1.0,1.0,0.846,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,15,0.965,0.98,0.893,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,16,0.995,0.98,0.906,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,17,0.987,1.0,0.958,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,18,0.974,0.966,0.903,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,19,1.0,1.0,1.0,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,20,1.0,1.0,0.917,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,21,0.973,0.951,0.983,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,22,0.984,0.983,0.905,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,23,0.918,1.0,0.778,0.0,0.0,0.0
CPSase_L_chain_int_CPSase_L_D2,24,1.0,1.0,1.0,0.0,0.0,0.0
