DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
Activin_recp_int_TGF_beta,1,0.996,1.0,0.889,0.0,0.0,0.0
Activin_recp_int_TGF_beta,2,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,3,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,4,0.966,1.0,0.889,0.0,0.0,0.0
Activin_recp_int_TGF_beta,5,0.978,0.926,0.926,0.0,0.0,0.0
Activin_recp_int_TGF_beta,6,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,7,0.972,1.0,0.857,0.0,0.0,0.0
Activin_recp_int_TGF_beta,8,0.988,1.0,0.909,0.0,0.0,0.0
Activin_recp_int_TGF_beta,9,1.0,1.0,0.875,0.0,0.0,0.0
Activin_recp_int_TGF_beta,10,0.99,0.929,0.929,0.0,0.0,0.0
Activin_recp_int_TGF_beta,11,0.992,1.0,0.898,0.0,0.0,0.0
Activin_recp_int_TGF_beta,12,0.925,1.0,0.84,0.0,0.0,0.0
Activin_recp_int_TGF_beta,13,0.953,1.0,0.95,0.0,0.0,0.0
Activin_recp_int_TGF_beta,14,0.961,1.0,0.846,0.0,0.0,0.0
Activin_recp_int_TGF_beta,15,0.945,0.848,0.824,0.0,0.0,0.0
Activin_recp_int_TGF_beta,16,0.989,0.969,0.939,0.0,0.0,0.0
Activin_recp_int_TGF_beta,17,0.985,1.0,0.917,0.0,0.0,0.0
Activin_recp_int_TGF_beta,18,0.954,0.939,0.886,0.0,0.0,0.0
Activin_recp_int_TGF_beta,19,0.914,0.898,0.898,0.0,0.0,0.0
Activin_recp_int_TGF_beta,20,0.971,0.917,0.868,0.0,0.0,0.0
Activin_recp_int_TGF_beta,21,0.943,1.0,0.87,0.0,0.0,0.0
Activin_recp_int_TGF_beta,22,0.985,0.979,0.922,0.0,0.0,0.0
Activin_recp_int_TGF_beta,23,0.965,0.903,0.933,0.0,0.0,0.0
Activin_recp_int_TGF_beta,24,0.996,1.0,0.941,0.0,0.0,0.0
Activin_recp_int_TGF_beta,25,0.975,0.931,0.9,0.0,0.0,0.0
Activin_recp_int_TGF_beta,26,0.926,0.778,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,27,0.981,1.0,0.9,0.0,0.0,0.0
Activin_recp_int_TGF_beta,28,0.978,1.0,0.938,0.0,0.0,0.0
Activin_recp_int_TGF_beta,29,1.0,1.0,0.875,0.0,0.0,0.0
Activin_recp_int_TGF_beta,30,0.993,1.0,0.87,0.0,0.0,0.0
Activin_recp_int_TGF_beta,31,0.919,1.0,0.849,0.0,0.0,0.0
Activin_recp_int_TGF_beta,32,0.992,1.0,0.941,0.0,0.0,0.0
Activin_recp_int_TGF_beta,33,0.96,1.0,0.938,0.0,0.0,0.0
Activin_recp_int_TGF_beta,34,1.0,1.0,0.941,0.0,0.0,0.0
Activin_recp_int_TGF_beta,35,0.996,0.977,0.913,0.0,0.0,0.0
Activin_recp_int_TGF_beta,36,0.888,1.0,0.875,0.0,0.0,0.0
Activin_recp_int_TGF_beta,37,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,38,0.967,0.961,0.925,0.0,0.0,0.0
Activin_recp_int_TGF_beta,39,0.965,1.0,0.923,0.0,0.0,0.0
