DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
EpoR_lig-bind_int_fn3,12,0.515,0.05,0.2,0.537,0.0,0.0
EpoR_lig-bind_int_fn3,19,0.735,0.286,0.667,0.959,0.0,0.0
EpoR_lig-bind_int_fn3,9,0.84,0.0,0.0,0.92,0.0,0.0
EpoR_lig-bind_int_fn3,17,0.755,0.714,0.625,0.714,0.0,0.0
EpoR_lig-bind_int_fn3,3,0.672,0.625,0.625,0.703,0.0,0.0
EpoR_lig-bind_int_fn3,6,1.0,1.0,0.857,1.0,0.0,0.0
EpoR_lig-bind_int_fn3,21,0.84,1.0,0.714,0.88,0.0,0.0
EpoR_lig-bind_int_fn3,15,0.86,0.636,0.875,0.909,0.0,0.0
EpoR_lig-bind_int_fn3,8,1.0,1.0,0.833,1.0,0.0,0.0
EpoR_lig-bind_int_fn3,18,0.91,0.7,0.875,0.9,0.0,0.0
EpoR_lig-bind_int_fn3,11,0.778,0.333,0.667,0.861,0.0,0.0
EpoR_lig-bind_int_fn3,2,0.988,0.889,1.0,0.975,0.0,0.0
EpoR_lig-bind_int_fn3,5,0.778,0.333,1.0,0.778,0.0,0.0
EpoR_lig-bind_int_fn3,16,0.346,0.0,0.0,0.444,0.0,0.0
EpoR_lig-bind_int_fn3,14,0.806,1.0,0.6,0.806,0.0,0.0
EpoR_lig-bind_int_fn3,20,0.92,0.8,1.0,0.93,0.0,0.0
EpoR_lig-bind_int_fn3,4,0.939,1.0,0.538,0.918,0.0,0.0
EpoR_lig-bind_int_fn3,13,0.663,0.182,0.8,0.661,0.0,0.0
EpoR_lig-bind_int_fn3,7,1.0,1.0,0.833,1.0,0.0,0.0
EpoR_lig-bind_int_fn3,10,0.714,0.571,0.571,0.653,0.0,0.0
EpoR_lig-bind_int_fn3,1,1.0,1.0,1.0,1.0,0.0,0.0
EpoR_lig-bind_int_fn3,23,0.578,0.375,0.6,0.484,0.0,0.0
EpoR_lig-bind_int_fn3,24,0.8,0.8,0.5,0.8,0.0,0.0
EpoR_lig-bind_int_fn3,25,0.75,0.25,1.0,0.438,0.0,0.0
