DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
Activin_recp_int_TGF_beta,1,0.967,1.0,0.851,0.0,0.0,0.0
Activin_recp_int_TGF_beta,2,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,3,0.957,1.0,0.9,0.0,0.0,0.0
Activin_recp_int_TGF_beta,4,0.999,0.975,0.951,0.0,0.0,0.0
Activin_recp_int_TGF_beta,5,0.956,0.963,0.839,0.0,0.0,0.0
Activin_recp_int_TGF_beta,6,0.98,1.0,0.778,0.0,0.0,0.0
Activin_recp_int_TGF_beta,7,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,8,0.993,1.0,0.909,0.0,0.0,0.0
Activin_recp_int_TGF_beta,9,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,10,0.985,0.786,0.917,0.0,0.0,0.0
Activin_recp_int_TGF_beta,11,0.96,1.0,0.88,0.0,0.0,0.0
Activin_recp_int_TGF_beta,12,0.948,1.0,0.808,0.0,0.0,0.0
Activin_recp_int_TGF_beta,13,1.0,1.0,0.792,0.0,0.0,0.0
Activin_recp_int_TGF_beta,14,0.988,1.0,0.898,0.0,0.0,0.0
Activin_recp_int_TGF_beta,15,0.956,0.939,0.886,0.0,0.0,0.0
Activin_recp_int_TGF_beta,16,0.974,1.0,0.97,0.0,0.0,0.0
Activin_recp_int_TGF_beta,17,0.965,1.0,0.846,0.0,0.0,0.0
Activin_recp_int_TGF_beta,18,0.949,0.97,0.889,0.0,0.0,0.0
Activin_recp_int_TGF_beta,19,0.923,0.898,0.898,0.0,0.0,0.0
Activin_recp_int_TGF_beta,20,0.985,0.972,0.897,0.0,0.0,0.0
Activin_recp_int_TGF_beta,21,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,22,0.961,0.979,0.87,0.0,0.0,0.0
Activin_recp_int_TGF_beta,23,0.938,0.871,0.964,0.0,0.0,0.0
Activin_recp_int_TGF_beta,24,0.941,1.0,0.762,0.0,0.0,0.0
Activin_recp_int_TGF_beta,25,0.998,1.0,0.967,0.0,0.0,0.0
Activin_recp_int_TGF_beta,26,0.877,0.778,0.875,0.0,0.0,0.0
