DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
Activin_recp_int_TGF_beta,1,0.963,1.0,0.952,0.0,0.0,0.0
Activin_recp_int_TGF_beta,2,0.935,1.0,0.9,0.0,0.0,0.0
Activin_recp_int_TGF_beta,3,0.954,1.0,0.857,0.0,0.0,0.0
Activin_recp_int_TGF_beta,4,0.899,1.0,0.851,0.0,0.0,0.0
Activin_recp_int_TGF_beta,5,0.96,0.926,0.833,0.0,0.0,0.0
Activin_recp_int_TGF_beta,6,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,7,0.944,1.0,0.857,0.0,0.0,0.0
Activin_recp_int_TGF_beta,8,0.978,0.95,0.826,0.0,0.0,0.0
Activin_recp_int_TGF_beta,9,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,10,1.0,1.0,0.933,0.0,0.0,0.0
Activin_recp_int_TGF_beta,11,0.919,0.977,0.843,0.0,0.0,0.0
Activin_recp_int_TGF_beta,12,0.943,1.0,0.875,0.0,0.0,0.0
Activin_recp_int_TGF_beta,13,0.917,1.0,0.826,0.0,0.0,0.0
Activin_recp_int_TGF_beta,14,0.938,1.0,0.815,0.0,0.0,0.0
Activin_recp_int_TGF_beta,15,0.953,0.97,0.762,0.0,0.0,0.0
Activin_recp_int_TGF_beta,16,0.994,0.938,0.909,0.0,0.0,0.0
Activin_recp_int_TGF_beta,17,0.963,1.0,0.88,0.0,0.0,0.0
Activin_recp_int_TGF_beta,18,0.887,0.939,0.795,0.0,0.0,0.0
Activin_recp_int_TGF_beta,19,0.88,0.898,0.815,0.0,0.0,0.0
Activin_recp_int_TGF_beta,20,0.975,0.972,0.946,0.0,0.0,0.0
Activin_recp_int_TGF_beta,21,0.968,1.0,0.87,0.0,0.0,0.0
Activin_recp_int_TGF_beta,22,0.899,0.958,0.793,0.0,0.0,0.0
Activin_recp_int_TGF_beta,23,0.955,0.839,0.929,0.0,0.0,0.0
Activin_recp_int_TGF_beta,24,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,25,0.976,0.966,0.933,0.0,0.0,0.0
Activin_recp_int_TGF_beta,26,0.889,0.778,0.875,0.0,0.0,0.0
Activin_recp_int_TGF_beta,27,0.977,1.0,0.957,0.0,0.0,0.0
Activin_recp_int_TGF_beta,28,1.0,1.0,0.833,0.0,0.0,0.0
Activin_recp_int_TGF_beta,29,1.0,1.0,0.933,0.0,0.0,0.0
Activin_recp_int_TGF_beta,30,0.935,0.979,0.885,0.0,0.0,0.0
Activin_recp_int_TGF_beta,31,0.95,0.889,0.889,0.0,0.0,0.0
Activin_recp_int_TGF_beta,32,0.977,1.0,0.8,0.0,0.0,0.0
Activin_recp_int_TGF_beta,33,0.951,0.933,0.933,0.0,0.0,0.0
Activin_recp_int_TGF_beta,34,0.955,0.938,0.865,0.0,0.0,0.0
