DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
Activin_recp_int_TGF_beta,1,0.908,0.875,0.875,0.0,0.0,0.0
Activin_recp_int_TGF_beta,2,0.935,1.0,0.75,0.0,0.0,0.0
Activin_recp_int_TGF_beta,3,0.969,1.0,0.857,0.0,0.0,0.0
Activin_recp_int_TGF_beta,4,0.912,0.9,0.837,0.0,0.0,0.0
Activin_recp_int_TGF_beta,5,0.962,0.963,0.867,0.0,0.0,0.0
Activin_recp_int_TGF_beta,6,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,7,1.0,1.0,0.857,0.0,0.0,0.0
Activin_recp_int_TGF_beta,8,0.927,0.95,0.864,0.0,0.0,0.0
Activin_recp_int_TGF_beta,9,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,10,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,11,0.946,0.886,0.867,0.0,0.0,0.0
Activin_recp_int_TGF_beta,12,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,13,0.931,1.0,0.826,0.0,0.0,0.0
Activin_recp_int_TGF_beta,14,0.923,0.886,0.867,0.0,0.0,0.0
Activin_recp_int_TGF_beta,15,0.942,0.879,0.829,0.0,0.0,0.0
Activin_recp_int_TGF_beta,16,0.986,0.938,0.938,0.0,0.0,0.0
Activin_recp_int_TGF_beta,17,0.92,0.886,0.886,0.0,0.0,0.0
Activin_recp_int_TGF_beta,18,0.944,0.97,0.865,0.0,0.0,0.0
Activin_recp_int_TGF_beta,19,0.885,0.837,0.837,0.0,0.0,0.0
Activin_recp_int_TGF_beta,20,0.988,0.917,0.943,0.0,0.0,0.0
Activin_recp_int_TGF_beta,21,0.963,1.0,0.8,0.0,0.0,0.0
Activin_recp_int_TGF_beta,22,0.914,0.875,0.875,0.0,0.0,0.0
Activin_recp_int_TGF_beta,23,0.952,0.871,0.9,0.0,0.0,0.0
Activin_recp_int_TGF_beta,24,0.887,1.0,0.762,0.0,0.0,0.0
Activin_recp_int_TGF_beta,25,0.956,0.897,0.897,0.0,0.0,0.0
Activin_recp_int_TGF_beta,26,0.877,0.778,0.778,0.0,0.0,0.0
Activin_recp_int_TGF_beta,27,0.865,0.822,0.822,0.0,0.0,0.0
Activin_recp_int_TGF_beta,28,0.938,1.0,0.833,0.0,0.0,0.0
Activin_recp_int_TGF_beta,29,0.98,1.0,0.824,0.0,0.0,0.0
Activin_recp_int_TGF_beta,30,0.94,0.787,0.86,0.0,0.0,0.0
Activin_recp_int_TGF_beta,31,0.889,0.867,0.848,0.0,0.0,0.0
Activin_recp_int_TGF_beta,32,0.984,1.0,0.889,0.0,0.0,0.0
Activin_recp_int_TGF_beta,33,0.987,1.0,0.882,0.0,0.0,0.0
Activin_recp_int_TGF_beta,34,0.943,0.75,0.878,0.0,0.0,0.0
Activin_recp_int_TGF_beta,35,0.957,0.698,0.938,0.0,0.0,0.0
Activin_recp_int_TGF_beta,36,0.964,1.0,0.824,0.0,0.0,0.0
Activin_recp_int_TGF_beta,37,0.924,1.0,0.882,0.0,0.0,0.0
Activin_recp_int_TGF_beta,38,0.957,0.725,0.925,0.0,0.0,0.0
Activin_recp_int_TGF_beta,39,0.938,1.0,0.667,0.0,0.0,0.0
Activin_recp_int_TGF_beta,40,1.0,1.0,0.857,0.0,0.0,0.0
Activin_recp_int_TGF_beta,41,0.938,0.667,0.857,0.0,0.0,0.0
Activin_recp_int_TGF_beta,42,0.969,0.357,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,43,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,44,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,45,0.938,0.778,0.875,0.0,0.0,0.0
Activin_recp_int_TGF_beta,46,0.976,0.385,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,47,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,1,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,2,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,3,0.922,0.875,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,4,0.922,0.875,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,5,0.993,1.0,0.923,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,6,1.0,1.0,0.929,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,7,0.922,0.875,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,8,0.922,0.875,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,9,0.993,1.0,0.923,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,10,1.0,1.0,0.933,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,11,0.984,0.875,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,12,0.926,0.778,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,13,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,14,0.959,1.0,0.933,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,15,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,16,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,17,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,18,0.959,1.0,0.933,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,19,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,20,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,21,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,22,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,23,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,24,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,25,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,26,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,27,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,28,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,29,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,30,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,31,1.0,0.857,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,32,1.0,0.857,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,33,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,34,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,35,0.959,0.857,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,36,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,37,1.0,1.0,1.0,0.0,0.0,0.0
DrsE_int_DsrH,1,0.97,0.971,0.872,0.0,0.0,0.0
DrsE_int_DsrH,2,0.954,0.88,0.88,0.0,0.0,0.0
DrsE_int_DsrH,3,0.985,0.973,0.9,0.0,0.0,0.0
DrsE_int_DsrH,4,0.903,0.818,0.75,0.0,0.0,0.0
DrsE_int_DsrH,5,0.959,0.863,0.88,0.0,0.0,0.0
DrsE_int_DsrH,6,0.962,0.971,0.829,0.0,0.0,0.0
DrsE_int_DsrH,7,0.968,0.865,0.918,0.0,0.0,0.0
DrsE_int_DsrH,8,0.883,0.84,0.808,0.0,0.0,0.0
DrsE_int_DsrH,9,0.978,1.0,0.895,0.0,0.0,0.0
DrsE_int_DsrH,10,0.891,0.619,0.867,0.0,0.0,0.0
DrsE_int_DsrH,11,0.975,1.0,0.829,0.0,0.0,0.0
DrsE_int_DsrH,12,0.886,0.737,0.824,0.0,0.0,0.0
DrsE_int_DsrH,13,0.925,0.745,0.854,0.0,0.0,0.0
DrsE_int_DsrH,14,0.985,1.0,0.897,0.0,0.0,0.0
DrsE_int_DsrH,15,0.941,0.708,0.895,0.0,0.0,0.0
DrsE_int_DsrH,16,0.751,0.684,0.722,0.0,0.0,0.0
DrsE_int_DsrH,17,0.979,1.0,0.868,0.0,0.0,0.0
