DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
Activin_recp_int_TGF_beta,1,0.927,0.975,0.848,0.0,0.0,0.0
Activin_recp_int_TGF_beta,2,0.991,1.0,0.947,0.0,0.0,0.0
Activin_recp_int_TGF_beta,3,0.966,1.0,0.9,0.0,0.0,0.0
Activin_recp_int_TGF_beta,4,0.951,1.0,0.87,0.0,0.0,0.0
Activin_recp_int_TGF_beta,5,0.951,0.963,0.839,0.0,0.0,0.0
Activin_recp_int_TGF_beta,6,0.878,1.0,0.778,0.0,0.0,0.0
Activin_recp_int_TGF_beta,7,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,8,0.968,0.95,0.864,0.0,0.0,0.0
Activin_recp_int_TGF_beta,9,0.959,0.714,0.833,0.0,0.0,0.0
Activin_recp_int_TGF_beta,10,1.0,1.0,0.933,0.0,0.0,0.0
Activin_recp_int_TGF_beta,11,0.924,1.0,0.83,0.0,0.0,0.0
Activin_recp_int_TGF_beta,12,0.923,1.0,0.808,0.0,0.0,0.0
Activin_recp_int_TGF_beta,13,0.983,1.0,0.792,0.0,0.0,0.0
Activin_recp_int_TGF_beta,14,0.872,1.0,0.786,0.0,0.0,0.0
Activin_recp_int_TGF_beta,15,0.931,0.879,0.829,0.0,0.0,0.0
Activin_recp_int_TGF_beta,16,0.985,1.0,0.889,0.0,0.0,0.0
Activin_recp_int_TGF_beta,17,0.909,1.0,0.759,0.0,0.0,0.0
Activin_recp_int_TGF_beta,18,0.961,0.97,0.914,0.0,0.0,0.0
Activin_recp_int_TGF_beta,19,0.847,0.898,0.786,0.0,0.0,0.0
Activin_recp_int_TGF_beta,20,0.944,0.944,0.919,0.0,0.0,0.0
Activin_recp_int_TGF_beta,21,0.978,1.0,0.909,0.0,0.0,0.0
Activin_recp_int_TGF_beta,22,0.929,0.979,0.87,0.0,0.0,0.0
Activin_recp_int_TGF_beta,23,0.947,0.742,0.958,0.0,0.0,0.0
Activin_recp_int_TGF_beta,24,0.91,1.0,0.727,0.0,0.0,0.0
Activin_recp_int_TGF_beta,25,0.951,0.931,0.871,0.0,0.0,0.0
Activin_recp_int_TGF_beta,26,0.815,0.778,0.875,0.0,0.0,0.0
Activin_recp_int_TGF_beta,27,0.955,1.0,0.865,0.0,0.0,0.0
Activin_recp_int_TGF_beta,28,0.991,1.0,0.938,0.0,0.0,0.0
Activin_recp_int_TGF_beta,29,0.99,1.0,0.875,0.0,0.0,0.0
Activin_recp_int_TGF_beta,30,0.884,0.936,0.772,0.0,0.0,0.0
Activin_recp_int_TGF_beta,31,0.939,0.889,0.833,0.0,0.0,0.0
Activin_recp_int_TGF_beta,32,0.965,1.0,0.727,0.0,0.0,0.0
Activin_recp_int_TGF_beta,33,0.996,1.0,0.833,0.0,0.0,0.0
Activin_recp_int_TGF_beta,34,0.939,0.896,0.811,0.0,0.0,0.0
Activin_recp_int_TGF_beta,35,0.923,0.86,0.881,0.0,0.0,0.0
