DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
Activin_recp_int_TGF_beta,1,0.969,1.0,0.87,0.0,0.0,0.0
Activin_recp_int_TGF_beta,2,0.991,1.0,0.9,0.0,0.0,0.0
Activin_recp_int_TGF_beta,3,0.935,1.0,0.818,0.0,0.0,0.0
Activin_recp_int_TGF_beta,4,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,5,0.978,0.852,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,6,0.959,1.0,0.778,0.0,0.0,0.0
Activin_recp_int_TGF_beta,7,0.972,0.833,0.833,0.0,0.0,0.0
Activin_recp_int_TGF_beta,8,0.965,1.0,0.87,0.0,0.0,0.0
Activin_recp_int_TGF_beta,9,1.0,1.0,0.875,0.0,0.0,0.0
Activin_recp_int_TGF_beta,10,0.954,0.714,0.909,0.0,0.0,0.0
Activin_recp_int_TGF_beta,11,0.95,1.0,0.917,0.0,0.0,0.0
Activin_recp_int_TGF_beta,12,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,13,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,14,0.98,1.0,0.917,0.0,0.0,0.0
Activin_recp_int_TGF_beta,15,0.974,0.97,0.914,0.0,0.0,0.0
Activin_recp_int_TGF_beta,16,0.983,0.969,0.912,0.0,0.0,0.0
Activin_recp_int_TGF_beta,17,0.986,1.0,0.936,0.0,0.0,0.0
Activin_recp_int_TGF_beta,18,0.972,0.97,0.941,0.0,0.0,0.0
Activin_recp_int_TGF_beta,19,0.947,0.898,0.978,0.0,0.0,0.0
Activin_recp_int_TGF_beta,20,0.976,0.972,0.946,0.0,0.0,0.0
Activin_recp_int_TGF_beta,21,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,22,0.97,0.958,0.958,0.0,0.0,0.0
Activin_recp_int_TGF_beta,23,0.988,0.935,0.967,0.0,0.0,0.0
Activin_recp_int_TGF_beta,24,1.0,1.0,0.889,0.0,0.0,0.0
Activin_recp_int_TGF_beta,25,0.983,0.897,0.963,0.0,0.0,0.0
Activin_recp_int_TGF_beta,26,0.753,0.667,0.857,0.0,0.0,0.0
Activin_recp_int_TGF_beta,27,0.957,1.0,0.849,0.0,0.0,0.0
Activin_recp_int_TGF_beta,28,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,29,0.98,1.0,0.824,0.0,0.0,0.0
Activin_recp_int_TGF_beta,30,0.96,0.957,0.918,0.0,0.0,0.0
Activin_recp_int_TGF_beta,31,1.0,1.0,0.978,0.0,0.0,0.0
Activin_recp_int_TGF_beta,32,0.957,1.0,0.941,0.0,0.0,0.0
Activin_recp_int_TGF_beta,33,0.933,1.0,0.789,0.0,0.0,0.0
Activin_recp_int_TGF_beta,34,0.981,1.0,0.906,0.0,0.0,0.0
Activin_recp_int_TGF_beta,35,0.976,0.977,0.955,0.0,0.0,0.0
Activin_recp_int_TGF_beta,36,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,37,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,38,0.98,0.98,0.943,0.0,0.0,0.0
Activin_recp_int_TGF_beta,39,0.986,1.0,0.857,0.0,0.0,0.0
Activin_recp_int_TGF_beta,40,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,41,0.988,1.0,0.9,0.0,0.0,0.0
Activin_recp_int_TGF_beta,42,0.959,0.786,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,43,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,44,1.0,1.0,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,45,0.901,0.889,0.8,0.0,0.0,0.0
Activin_recp_int_TGF_beta,46,0.976,0.692,1.0,0.0,0.0,0.0
Activin_recp_int_TGF_beta,47,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,1,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,2,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,3,1.0,1.0,0.889,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,4,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,5,1.0,1.0,0.923,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,6,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,7,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,8,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,9,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,10,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,11,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,12,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,13,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,14,0.959,1.0,0.933,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,15,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,16,1.0,1.0,0.857,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,17,1.0,1.0,1.0,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,18,0.949,1.0,0.875,0.0,0.0,0.0
Desulfoferrod_N_int_Desulfoferrodox,19,1.0,1.0,1.0,0.0,0.0,0.0
