DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
2-Hacid_dh_int_ACT,1,0.938,0.556,0.833,0.0,0.0,0.0
2-Hacid_dh_int_ACT,2,0.969,0.75,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,3,0.938,1.0,0.889,0.0,0.0,0.0
2-Hacid_dh_int_ACT,4,1.0,1.0,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,5,1.0,0.889,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,6,0.988,0.889,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,7,0.939,1.0,0.875,0.0,0.0,0.0
2-Hacid_dh_int_ACT,8,1.0,0.857,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,9,0.98,0.857,0.857,0.0,0.0,0.0
2-Hacid_dh_int_ACT,10,0.878,0.857,0.75,0.0,0.0,0.0
2-Hacid_dh_int_ACT,11,0.984,0.625,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,12,0.893,0.455,0.833,0.0,0.0,0.0
2-Hacid_dh_int_ACT,13,0.875,0.875,0.875,0.0,0.0,0.0
2-Hacid_dh_int_ACT,14,0.812,0.5,0.8,0.0,0.0,0.0
2-Hacid_dh_int_ACT,15,0.969,0.25,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,16,0.963,0.333,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,17,1.0,0.889,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,18,0.781,0.875,0.778,0.0,0.0,0.0
2-Hacid_dh_int_ACT,19,0.969,0.875,0.875,0.0,0.0,0.0
2-Hacid_dh_int_ACT,20,0.743,0.333,0.8,0.0,0.0,0.0
ACT_int_ALS_ss_C,1,0.939,0.929,0.867,0.0,0.0,0.0
ACT_int_ALS_ss_C,2,0.944,0.643,0.9,0.0,0.0,0.0
ACT_int_ALS_ss_C,3,0.988,0.778,1.0,0.0,0.0,0.0
ACT_int_ALS_ss_C,4,0.907,0.867,0.867,0.0,0.0,0.0
ACT_int_ALS_ss_C,5,0.947,0.923,0.857,0.0,0.0,0.0
ACT_int_ALS_ss_C,6,1.0,1.0,1.0,0.0,0.0,0.0
ACT_int_ALS_ss_C,7,0.949,0.929,0.929,0.0,0.0,0.0
ACT_int_ALS_ss_C,8,0.978,1.0,0.882,0.0,0.0,0.0
ACT_int_ALS_ss_C,9,0.938,0.917,0.917,0.0,0.0,0.0
ACT_int_ALS_ss_C,10,0.985,0.929,0.929,0.0,0.0,0.0
ACT_int_ALS_ss_C,11,0.978,0.889,0.941,0.0,0.0,0.0
ACT_int_ALS_ss_C,12,0.757,0.846,0.688,0.0,0.0,0.0
ACT_int_ALS_ss_C,13,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,1,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,2,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,3,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,4,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,5,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,6,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,7,1.0,0.7,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,8,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,9,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,10,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,11,1.0,1.0,1.0,0.0,0.0,0.0
