DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
2-Hacid_dh_int_ACT,1,1.0,1.0,0.9,0.0,0.0,0.0
2-Hacid_dh_int_ACT,2,1.0,1.0,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,3,1.0,1.0,0.889,0.0,0.0,0.0
2-Hacid_dh_int_ACT,4,1.0,1.0,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,5,1.0,1.0,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,6,1.0,1.0,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,7,1.0,1.0,0.778,0.0,0.0,0.0
2-Hacid_dh_int_ACT,8,1.0,1.0,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,9,1.0,1.0,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,10,1.0,1.0,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,11,1.0,1.0,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,12,1.0,1.0,0.846,0.0,0.0,0.0
2-Hacid_dh_int_ACT,13,1.0,1.0,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,14,1.0,1.0,0.889,0.0,0.0,0.0
2-Hacid_dh_int_ACT,15,1.0,1.0,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,16,1.0,1.0,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,17,1.0,1.0,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,18,1.0,1.0,1.0,0.0,0.0,0.0
2-Hacid_dh_int_ACT,19,1.0,1.0,0.889,0.0,0.0,0.0
2-Hacid_dh_int_ACT,20,0.861,0.667,0.889,0.0,0.0,0.0
ACT_int_ALS_ss_C,1,0.949,0.929,0.765,0.0,0.0,0.0
ACT_int_ALS_ss_C,2,0.944,0.929,0.929,0.0,0.0,0.0
ACT_int_ALS_ss_C,3,1.0,1.0,1.0,0.0,0.0,0.0
ACT_int_ALS_ss_C,4,0.916,0.867,0.867,0.0,0.0,0.0
ACT_int_ALS_ss_C,5,0.964,0.538,1.0,0.0,0.0,0.0
ACT_int_ALS_ss_C,6,1.0,1.0,1.0,0.0,0.0,0.0
ACT_int_ALS_ss_C,7,1.0,1.0,0.875,0.0,0.0,0.0
ACT_int_ALS_ss_C,8,1.0,1.0,0.882,0.0,0.0,0.0
ACT_int_ALS_ss_C,9,0.993,1.0,0.923,0.0,0.0,0.0
ACT_int_ALS_ss_C,10,0.995,1.0,0.875,0.0,0.0,0.0
ACT_int_ALS_ss_C,11,0.926,0.889,0.941,0.0,0.0,0.0
ACT_int_ALS_ss_C,12,0.988,1.0,0.812,0.0,0.0,0.0
ACT_int_ALS_ss_C,13,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,1,1.0,1.0,0.938,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,2,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,3,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,4,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,5,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,6,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,7,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,8,1.0,1.0,0.846,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,9,1.0,1.0,0.917,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,10,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,11,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,12,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,13,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,14,1.0,1.0,0.882,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,15,1.0,1.0,0.933,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,16,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,17,0.994,0.923,0.923,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,18,1.0,1.0,1.0,0.0,0.0,0.0
ADAM_CR_int_Disintegrin,19,1.0,1.0,1.0,0.0,0.0,0.0
APT_int_Pertussis_S2S3,1,1.0,1.0,1.0,0.0,0.0,0.0
APT_int_Pertussis_S2S3,2,0.988,1.0,0.976,0.0,0.0,0.0
APT_int_Pertussis_S2S3,3,0.998,0.976,0.932,0.0,0.0,0.0
APT_int_Pertussis_S2S3,4,0.983,1.0,0.953,0.0,0.0,0.0
APT_int_Pertussis_S2S3,5,1.0,1.0,0.977,0.0,0.0,0.0
APT_int_Pertussis_S2S3,6,0.985,1.0,0.975,0.0,0.0,0.0
APT_int_Pertussis_S2S3,7,0.98,1.0,0.953,0.0,0.0,0.0
APT_int_Pertussis_S2S3,8,0.983,1.0,0.975,0.0,0.0,0.0
APT_int_Pertussis_S2S3,9,0.985,1.0,0.953,0.0,0.0,0.0
APT_int_Pertussis_S2S3,10,1.0,1.0,0.927,0.0,0.0,0.0
APT_int_Pertussis_S2S3,11,1.0,1.0,0.93,0.0,0.0,0.0
APT_int_Pertussis_S2S3,12,0.999,1.0,0.947,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,1,1.0,1.0,1.0,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,2,1.0,1.0,0.958,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,3,1.0,1.0,1.0,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,4,0.973,0.96,1.0,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,5,1.0,1.0,1.0,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,6,0.995,1.0,0.933,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,7,0.998,1.0,0.957,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,8,0.958,1.0,0.792,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,9,0.964,0.929,0.867,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,10,0.992,0.957,0.846,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,11,1.0,1.0,0.923,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,12,1.0,1.0,0.857,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,13,1.0,1.0,0.867,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,14,1.0,1.0,0.909,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,15,0.934,0.812,0.929,0.0,0.0,0.0
ATP-synt_DE_N_int_ATP-synt_Eps,16,1.0,1.0,1.0,0.0,0.0,0.0
Alpha_adaptin_C_int_Alpha_adaptinC2,1,1.0,1.0,0.974,0.0,0.0,0.0
Alpha_adaptin_C_int_Alpha_adaptinC2,2,1.0,1.0,0.975,0.0,0.0,0.0
Alpha_adaptin_C_int_Alpha_adaptinC2,3,0.979,1.0,0.95,0.0,0.0,0.0
Alpha_adaptin_C_int_Alpha_adaptinC2,4,1.0,1.0,0.975,0.0,0.0,0.0
Alpha_adaptin_C_int_Alpha_adaptinC2,5,1.0,1.0,0.95,0.0,0.0,0.0
Alpha_adaptin_C_int_Alpha_adaptinC2,6,0.959,1.0,0.952,0.0,0.0,0.0
Alpha_adaptin_C_int_Alpha_adaptinC2,7,1.0,1.0,0.927,0.0,0.0,0.0
Alpha_adaptin_C_int_Alpha_adaptinC2,8,1.0,1.0,0.976,0.0,0.0,0.0
Alpha_adaptin_C_int_Alpha_adaptinC2,9,0.999,1.0,0.949,0.0,0.0,0.0
Alpha_adaptin_C_int_Alpha_adaptinC2,10,0.977,1.0,0.86,0.0,0.0,0.0
Alpha_adaptin_C_int_Alpha_adaptinC2,11,1.0,1.0,1.0,0.0,0.0,0.0
B12-binding_int_B12-binding_2,1,0.98,0.643,1.0,0.0,0.0,0.0
B12-binding_int_B12-binding_2,2,0.993,1.0,0.923,0.0,0.0,0.0
B12-binding_int_B12-binding_2,3,1.0,1.0,0.875,0.0,0.0,0.0
B12-binding_int_B12-binding_2,4,1.0,1.0,1.0,0.0,0.0,0.0
B12-binding_int_B12-binding_2,5,0.994,0.923,1.0,0.0,0.0,0.0
B12-binding_int_B12-binding_2,6,0.997,1.0,0.944,0.0,0.0,0.0
B12-binding_int_B12-binding_2,7,0.951,1.0,0.882,0.0,0.0,0.0
B12-binding_int_B12-binding_2,8,1.0,1.0,1.0,0.0,0.0,0.0
B12-binding_int_B12-binding_2,9,1.0,1.0,0.941,0.0,0.0,0.0
B12-binding_int_B12-binding_2,10,0.96,1.0,0.789,0.0,0.0,0.0
B12-binding_int_B12-binding_2,11,1.0,1.0,0.889,0.0,0.0,0.0
B12-binding_int_B12-binding_2,12,0.974,0.929,0.867,0.0,0.0,0.0
B12-binding_int_B12-binding_2,13,1.0,1.0,1.0,0.0,0.0,0.0
B12-binding_int_B12-binding_2,14,0.967,0.737,0.933,0.0,0.0,0.0
B12-binding_int_B12-binding_2,15,0.993,1.0,0.8,0.0,0.0,0.0
B12-binding_int_B12-binding_2,16,1.0,1.0,1.0,0.0,0.0,0.0
BTK_int_PH,1,0.946,0.955,0.84,0.0,0.0,0.0
BTK_int_PH,2,1.0,1.0,0.944,0.0,0.0,0.0
BTK_int_PH,3,0.95,1.0,0.864,0.0,0.0,0.0
BTK_int_PH,4,0.918,0.952,0.87,0.0,0.0,0.0
BTK_int_PH,5,0.971,0.952,0.87,0.0,0.0,0.0
BTK_int_PH,6,0.978,1.0,0.87,0.0,0.0,0.0
BTK_int_PH,7,1.0,1.0,0.9,0.0,0.0,0.0
BTK_int_PH,8,0.991,0.944,0.944,0.0,0.0,0.0
BTK_int_PH,9,0.948,0.857,0.857,0.0,0.0,0.0
BTK_int_PH,10,0.938,0.944,0.895,0.0,0.0,0.0
CBM_X_int_Glyco_transf_36,1,0.904,0.913,0.806,0.0,0.0,0.0
CBM_X_int_Glyco_transf_36,2,0.917,0.896,0.8,0.0,0.0,0.0
CBM_X_int_Glyco_transf_36,3,0.894,0.921,0.796,0.0,0.0,0.0
CBM_X_int_Glyco_transf_36,4,0.958,0.983,0.836,0.0,0.0,0.0
CBM_X_int_Glyco_transf_36,5,0.91,0.992,0.825,0.0,0.0,0.0
CBM_X_int_Glyco_transf_36,6,0.948,0.983,0.839,0.0,0.0,0.0
CBM_X_int_Glyco_transf_36,7,0.965,0.991,0.833,0.0,0.0,0.0
CheY-binding_int_Response_reg,1,1.0,1.0,0.875,0.0,0.0,0.0
CheY-binding_int_Response_reg,2,1.0,1.0,0.955,0.0,0.0,0.0
CheY-binding_int_Response_reg,3,1.0,1.0,1.0,0.0,0.0,0.0
CheY-binding_int_Response_reg,4,0.956,1.0,0.864,0.0,0.0,0.0
CheY-binding_int_Response_reg,5,1.0,1.0,0.909,0.0,0.0,0.0
CheY-binding_int_Response_reg,6,1.0,1.0,0.955,0.0,0.0,0.0
CheY-binding_int_Response_reg,7,1.0,1.0,1.0,0.0,0.0,0.0
CheY-binding_int_Response_reg,8,1.0,1.0,0.955,0.0,0.0,0.0
CheY-binding_int_Response_reg,9,1.0,1.0,0.917,0.0,0.0,0.0
CheY-binding_int_Response_reg,10,1.0,1.0,0.957,0.0,0.0,0.0
CheY-binding_int_Response_reg,11,1.0,1.0,0.875,0.0,0.0,0.0
CheY-binding_int_Response_reg,12,0.998,1.0,0.875,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,1,1.0,1.0,0.963,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,2,1.0,1.0,1.0,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,3,1.0,1.0,1.0,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,4,1.0,1.0,0.963,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,5,1.0,1.0,0.923,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,6,0.998,1.0,0.962,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,7,1.0,1.0,1.0,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,8,1.0,1.0,1.0,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,9,0.99,1.0,0.96,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,10,0.964,1.0,0.966,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,11,1.0,1.0,1.0,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,12,0.998,0.96,1.0,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,13,1.0,1.0,0.929,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,14,1.0,1.0,1.0,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,15,1.0,1.0,1.0,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,16,1.0,1.0,0.962,0.0,0.0,0.0
Copper-bind_int_Cytochrom_C,17,1.0,1.0,1.0,0.0,0.0,0.0
Cytochrom_B559_int_PsbJ,1,0.939,1.0,0.778,0.0,0.0,0.0
Cytochrom_B559_int_PsbJ,2,1.0,1.0,1.0,0.0,0.0,0.0
Cytochrom_B559_int_PsbJ,3,1.0,1.0,0.846,0.0,0.0,0.0
Cytochrom_B559_int_PsbJ,4,1.0,1.0,0.923,0.0,0.0,0.0
Cytochrom_B559_int_PsbJ,5,1.0,1.0,1.0,0.0,0.0,0.0
Cytochrom_B559_int_PsbJ,6,0.929,0.933,0.933,0.0,0.0,0.0
Cytochrom_B559_int_PsbJ,7,1.0,1.0,1.0,0.0,0.0,0.0
Cytochrom_B559_int_PsbJ,8,1.0,1.0,1.0,0.0,0.0,0.0
Cytochrom_B559_int_PsbJ,9,1.0,1.0,0.923,0.0,0.0,0.0
Cytochrom_B559_int_PsbJ,10,1.0,1.0,1.0,0.0,0.0,0.0
Cytochrom_B559_int_PsbJ,11,0.995,0.929,0.929,0.0,0.0,0.0
Cytochrom_C_int_PsbU,1,0.994,1.0,0.905,0.0,0.0,0.0
Cytochrom_C_int_PsbU,2,0.991,0.944,0.895,0.0,0.0,0.0
Cytochrom_C_int_PsbU,3,1.0,1.0,0.95,0.0,0.0,0.0
Cytochrom_C_int_PsbU,4,1.0,1.0,1.0,0.0,0.0,0.0
Cytochrom_C_int_PsbU,5,0.944,0.944,0.85,0.0,0.0,0.0
Cytochrom_C_int_PsbU,6,1.0,1.0,0.938,0.0,0.0,0.0
Cytochrom_C_int_PsbU,7,1.0,1.0,0.952,0.0,0.0,0.0
Cytochrom_C_int_PsbU,8,1.0,1.0,0.952,0.0,0.0,0.0
Cytochrom_C_int_PsbU,9,1.0,1.0,0.909,0.0,0.0,0.0
Cytochrom_C_int_PsbU,10,0.96,1.0,0.952,0.0,0.0,0.0
Cytochrom_C_int_PsbU,11,1.0,1.0,1.0,0.0,0.0,0.0
DUF1929_int_Kelch_1,1,1.0,1.0,0.941,0.0,0.0,0.0
DUF1929_int_Kelch_1,2,1.0,1.0,1.0,0.0,0.0,0.0
DUF1929_int_Kelch_1,3,1.0,1.0,0.941,0.0,0.0,0.0
DUF1929_int_Kelch_1,4,0.947,1.0,0.938,0.0,0.0,0.0
DUF1929_int_Kelch_1,5,1.0,1.0,0.941,0.0,0.0,0.0
DUF1929_int_Kelch_1,6,1.0,1.0,1.0,0.0,0.0,0.0
DUF1929_int_Kelch_1,7,1.0,1.0,1.0,0.0,0.0,0.0
DUF1929_int_Kelch_1,8,1.0,1.0,0.938,0.0,0.0,0.0
DUF1929_int_Kelch_1,9,1.0,1.0,0.941,0.0,0.0,0.0
DUF1929_int_Kelch_1,10,1.0,1.0,0.889,0.0,0.0,0.0
DUF1929_int_Kelch_1,11,1.0,1.0,0.941,0.0,0.0,0.0
DUF1929_int_Kelch_1,12,1.0,1.0,0.938,0.0,0.0,0.0
DUF1929_int_Kelch_1,13,1.0,1.0,1.0,0.0,0.0,0.0
DUF1954_int_Stap_Strp_tox_C,1,0.959,0.967,0.866,0.0,0.0,0.0
DUF1954_int_Stap_Strp_tox_C,2,0.982,0.968,0.884,0.0,0.0,0.0
DUF1954_int_Stap_Strp_tox_C,3,0.943,1.0,0.852,0.0,0.0,0.0
DUF1954_int_Stap_Strp_tox_C,4,0.982,0.962,0.927,0.0,0.0,0.0
DUF1954_int_Stap_Strp_tox_C,5,0.983,0.981,0.93,0.0,0.0,0.0
DUF1954_int_Stap_Strp_tox_C,6,0.985,0.964,0.885,0.0,0.0,0.0
DUF1954_int_Stap_Strp_tox_C,7,0.979,0.962,0.911,0.0,0.0,0.0
DUF1954_int_Stap_Strp_tox_C,8,0.983,0.963,0.897,0.0,0.0,0.0
DUF1954_int_Stap_Strp_tox_C,9,0.958,0.964,0.9,0.0,0.0,0.0
DUF1954_int_Stap_Strp_tox_C,10,0.949,0.981,0.883,0.0,0.0,0.0
DUF1954_int_Stap_Strp_tox_C,11,0.987,1.0,0.91,0.0,0.0,0.0
DUF1954_int_Stap_Strp_tox_C,12,0.969,1.0,0.913,0.0,0.0,0.0
