no.,number_of_training,method,isTest,recall,precision,accuracy
1,10000,SVM,True,0.517203107658,0.535017221584,0.529015979815
1,10000,SVM,False,0.632233502538,0.620423412204,0.628375
1,10000,SVM_RBF,True,0.19089900111,0.952908587258,0.586487244183
1,10000,SVM_RBF,False,1.0,1.0,1.0
1,10000,Log,True,0.503884572697,0.528214077952,0.522007289038
1,10000,Log,False,0.693908629442,0.68676212007,0.693375
1,10000,DL,True,0.885682574917,0.813041263372,0.839360807401
1,10000,DL,False,0.999492385787,0.984253936516,0.991875
1,10000,SAE_SVM,True,0.657602663707,0.657602663707,0.654051023269
1,10000,SAE_SVM,False,0.743401015228,0.72374598468,0.733875
1,10000,DL_S,True,0.876803551609,0.857297883885,0.864031398935
1,10000,DL_S,False,0.985532994924,0.97075,0.97825
1,10000,SAE_S_SVM,True,0.566037735849,0.556464811784,0.552845528455
1,10000,SAE_S_SVM,False,0.630456852792,0.606297290701,0.616375
1,10000,SAE_S_SVM_RBF,True,0.249167591565,0.993362831858,0.619848612279
1,10000,SAE_S_SVM_RBF,False,1.0,1.0,1.0
1,10000,DL_xy,False,0.937563451777,0.994614970382,0.96675
1,10000,DL_xy,True,0.770810210877,0.883026064844,0.832632464256
1,10000,Sda_xy_with_first,False,0.954314720812,0.993657505285,0.9745
1,10000,Sda_xy_with_first,True,0.790233074362,0.877928483354,0.838519764508
1,10000,Sda_new,False,0.951015228426,0.989176346357,0.97075
1,10000,Sda_new,True,0.796892341842,0.880981595092,0.843005326605
1,10000,DL_S_new,False,0.894923857868,0.85979029505,0.876375
1,10000,DL_S_new,True,0.831298557159,0.815459989113,0.819736473227
1,10000,DL_S_new_contraction,False,0.0,0.0,0.5075
1,10000,DL_S_new_contraction,True,0.0,0.0,0.494813568825
1,10000,DL_S_new_sparsity,False,0.672842639594,0.663745618428,0.671
1,10000,DL_S_new_sparsity,True,0.626526082131,0.636056338028,0.630221474629
1,10000,l2_reg,False,0.0,0.0,0.5075
1,10000,l2_reg,True,0.0,0.0,0.494813568825
1,10000,DL_S_new_Drop_out,False,0.613197969543,0.555657773689,0.568
1,10000,DL_S_new_Drop_out,True,0.587125416204,0.558606124604,0.557050742921
