DDI,no.,FisherMode,method,isTest,recall,precision,accuracy
Skp1_int_Skp1_POZ,1,FisherM1ONLY,SVM,True,0.5195729537366548,0.52329749103942658,0.52313167259786475
Skp1_int_Skp1_POZ,1,FisherM1ONLY,SVM,False,0.56779268857010645,0.55570652173913049,0.5569180934752429
Skp1_int_Skp1_POZ,1,FisherM1ONLY,SVM_RBF,True,0.54804270462633453,0.51505016722408026,0.51601423487544484
Skp1_int_Skp1_POZ,1,FisherM1ONLY,SVM_RBF,False,0.64322073114298939,0.54445750097924006,0.55252198056455348
Skp1_int_Skp1_POZ,1,FisherM1ONLY,DL_xy,False,0.51206225680933848,0.62192816635160686,0.60393366756652522
Skp1_int_Skp1_POZ,1,FisherM1ONLY,DL_xy,True,0.46263345195729538,0.56277056277056281,0.55160142348754448
Skp1_int_Skp1_POZ,1,FisherM1ONLY,Sda_xy_with_first,False,0.49182879377431904,0.61478599221789887,0.59544928654068652
Skp1_int_Skp1_POZ,1,FisherM1ONLY,Sda_xy_with_first,True,0.4377224199288256,0.55156950672645744,0.54092526690391463
Skp1_int_Skp1_POZ,1,FisherM1ONLY,Sda_new,False,0.58599221789883271,0.70637898686679179,0.67412263787119164
Skp1_int_Skp1_POZ,1,FisherM1ONLY,Sda_new,True,0.52313167259786475,0.66216216216216217,0.62811387900355875
Skp1_int_Skp1_POZ,1,FisherM1ONLY,SAE_SVM,True,0.75088967971530252,0.64329268292682928,0.66725978647686834
Skp1_int_Skp1_POZ,1,FisherM1ONLY,SAE_SVM,False,0.76584914391485426,0.70455512984248614,0.72235076353540029
Skp1_int_Skp1_POZ,1,FisherM1ONLY,DL,False,0.34163424124513619,0.56572164948453607,0.54377169301966832
Skp1_int_Skp1_POZ,1,FisherM1ONLY,DL,True,0.33451957295373663,0.53107344632768361,0.5195729537366548
Skp1_int_Skp1_POZ,1,FisherM1ONLY,DL_S,False,0.80466926070038913,0.52143217347453352,0.53721558040879291
Skp1_int_Skp1_POZ,1,FisherM1ONLY,DL_S,True,0.79715302491103202,0.49015317286652077,0.48398576512455516
Skp1_int_Skp1_POZ,1,FisherM1ONLY,DL_S_new,False,0.64591439688715957,0.53966189856957092,0.55148476667952184
Skp1_int_Skp1_POZ,1,FisherM1ONLY,DL_S_new,True,0.59074733096085408,0.50303030303030305,0.50355871886120995
Skp1_int_Skp1_POZ,1,FisherM1ONLY,DL_S_new_contraction,False,0.64357976653696503,0.53701298701298705,0.54839953721558043
Skp1_int_Skp1_POZ,1,FisherM1ONLY,DL_S_new_contraction,True,0.59074733096085408,0.5,0.5
Skp1_int_Skp1_POZ,1,FisherM1ONLY,DL_S_new_sparsity,False,0.64513618677042806,0.53726506804925467,0.54878519089857303
Skp1_int_Skp1_POZ,1,FisherM1ONLY,DL_S_new_sparsity,True,0.59074733096085408,0.49700598802395207,0.49644128113879005
Skp1_int_Skp1_POZ,1,FisherM1ONLY,l2_reg,False,0.0,0.0,0.50443501735441576
Skp1_int_Skp1_POZ,1,FisherM1ONLY,l2_reg,True,0.0,0.0,0.5
Skp1_int_Skp1_POZ,1,FisherM1ONLY,DL_S_new_Drop_out,False,0.14474708171206227,0.52100840336134457,0.51021982259930587
Skp1_int_Skp1_POZ,1,FisherM1ONLY,DL_S_new_Drop_out,True,0.13167259786476868,0.54411764705882348,0.51067615658362986
