DDI,no.,FisherMode,method,isTest,recall,precision,accuracy
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,SVM,True,1.0,0.90909090909090906,0.9375
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,SVM,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,SVM_RBF,True,1.0,0.90909090909090906,0.9375
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,SVM_RBF,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL_xy,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL_xy,True,0.96666666666666667,1.0,0.97916666666666663
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,Sda_xy_with_first,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,Sda_xy_with_first,True,0.96666666666666667,1.0,0.97916666666666663
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,Sda_new,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,Sda_new,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,SAE_SVM,True,0.83333333333333337,1.0,0.89583333333333337
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,SAE_SVM,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL,False,1.0,0.99382716049382713,0.99595141700404854
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL_old,False,0.98136645962732916,0.97530864197530864,0.97165991902834004
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL_old,True,1.0,0.90909090909090906,0.9375
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL_S,False,1.0,0.98773006134969321,0.9919028340080972
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL_S,True,1.0,0.90909090909090906,0.9375
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL_S_new,False,0.99378881987577639,1.0,0.99595141700404854
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL_S_new,True,1.0,0.90909090909090906,0.9375
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL_S_new_contraction,False,0.78881987577639756,1.0,0.86234817813765186
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL_S_new_contraction,True,0.83333333333333337,0.8928571428571429,0.83333333333333337
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL_S_new_sparsity,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL_S_new_sparsity,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,l2_reg,False,1.0,0.65182186234817818,0.65182186234817818
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,l2_reg,True,1.0,0.625,0.625
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL_S_new_Drop_out,False,0.98136645962732916,1.0,0.98785425101214575
Alpha-amylase_C_int_TIG,1,FisherM1ONLY,DL_S_new_Drop_out,True,1.0,0.90909090909090906,0.9375
Alpha-amylase_C_int_TIG,2,FisherM1ONLY,SVM,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,2,FisherM1ONLY,SVM,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,2,FisherM1ONLY,SVM_RBF,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,2,FisherM1ONLY,SVM_RBF,False,1.0,1.0,1.0
