DDI,no.,FisherMode,method,isTest,recall,precision,accuracy
AAA_int_CDC48_N,1,FisherM1ONLY,SVM,True,0.76190476190476186,0.84210526315789469,0.80487804878048785
AAA_int_CDC48_N,1,FisherM1ONLY,SVM,False,0.77243589743589747,0.87003610108303253,0.82107023411371238
AAA_int_CDC48_N,1,FisherM1ONLY,SVM_RBF,True,0.80952380952380953,0.84999999999999998,0.82926829268292679
AAA_int_CDC48_N,1,FisherM1ONLY,SVM_RBF,False,0.83333333333333337,0.87542087542087543,0.8511705685618729
AAA_int_CDC48_N,1,FisherM1ONLY,DL_xy,False,0.72432432432432436,0.99259259259259258,0.85474860335195535
AAA_int_CDC48_N,1,FisherM1ONLY,DL_xy,True,0.7142857142857143,1.0,0.85365853658536583
AAA_int_CDC48_N,1,FisherM1ONLY,Sda_xy_with_first,False,0.82162162162162167,0.99346405228758172,0.9050279329608939
AAA_int_CDC48_N,1,FisherM1ONLY,Sda_xy_with_first,True,0.80952380952380953,1.0,0.90243902439024393
AAA_int_CDC48_N,1,FisherM1ONLY,Sda_new,False,0.72432432432432436,0.99259259259259258,0.85474860335195535
AAA_int_CDC48_N,1,FisherM1ONLY,Sda_new,True,0.7142857142857143,1.0,0.85365853658536583
AAA_int_CDC48_N,1,FisherM1ONLY,SAE_SVM,True,0.80952380952380953,0.94444444444444442,0.87804878048780488
AAA_int_CDC48_N,1,FisherM1ONLY,SAE_SVM,False,0.83333333333333337,0.92526690391459077,0.87792642140468224
AAA_int_CDC48_N,1,FisherM1ONLY,DL,False,0.72432432432432436,0.99259259259259258,0.85474860335195535
AAA_int_CDC48_N,1,FisherM1ONLY,DL,True,0.7142857142857143,1.0,0.85365853658536583
AAA_int_CDC48_N,1,FisherM1ONLY,DL_old,False,0.0,0.0,0.48324022346368717
AAA_int_CDC48_N,1,FisherM1ONLY,DL_old,True,0.0,0.0,0.48780487804878048
AAA_int_CDC48_N,1,FisherM1ONLY,DL_S,False,0.82162162162162167,0.87356321839080464,0.84636871508379885
AAA_int_CDC48_N,1,FisherM1ONLY,DL_S,True,0.80952380952380953,0.84999999999999998,0.82926829268292679
AAA_int_CDC48_N,1,FisherM1ONLY,DL_S_new,False,0.82162162162162167,0.87356321839080464,0.84636871508379885
AAA_int_CDC48_N,1,FisherM1ONLY,DL_S_new,True,0.80952380952380953,0.84999999999999998,0.82926829268292679
AAA_int_CDC48_N,1,FisherM1ONLY,DL_S_new_contraction,False,0.82162162162162167,0.87356321839080464,0.84636871508379885
AAA_int_CDC48_N,1,FisherM1ONLY,DL_S_new_contraction,True,0.80952380952380953,0.84999999999999998,0.82926829268292679
AAA_int_CDC48_N,1,FisherM1ONLY,DL_S_new_sparsity,False,0.82162162162162167,0.87356321839080464,0.84636871508379885
AAA_int_CDC48_N,1,FisherM1ONLY,DL_S_new_sparsity,True,0.80952380952380953,0.84999999999999998,0.82926829268292679
AAA_int_CDC48_N,1,FisherM1ONLY,l2_reg,False,0.82162162162162167,0.87356321839080464,0.84636871508379885
AAA_int_CDC48_N,1,FisherM1ONLY,l2_reg,True,0.80952380952380953,0.84999999999999998,0.82926829268292679
AAA_int_CDC48_N,1,FisherM1ONLY,DL_S_new_Drop_out,False,0.82162162162162167,0.87356321839080464,0.84636871508379885
AAA_int_CDC48_N,1,FisherM1ONLY,DL_S_new_Drop_out,True,0.80952380952380953,0.84999999999999998,0.82926829268292679
AAA_int_CDC48_N,2,FisherM1ONLY,SVM,True,0.80000000000000004,0.88888888888888884,0.83783783783783783
AAA_int_CDC48_N,2,FisherM1ONLY,SVM,False,0.76751592356687903,0.86379928315412191,0.81683168316831678
AAA_int_CDC48_N,2,FisherM1ONLY,SVM_RBF,True,0.84999999999999998,0.87179487179487181,0.85135135135135132
AAA_int_CDC48_N,2,FisherM1ONLY,SVM_RBF,False,0.82802547770700641,0.87248322147651003,0.84818481848184824
AAA_int_CDC48_N,2,FisherM1ONLY,DL_xy,False,0.75555555555555554,1.0,0.87878787878787878
AAA_int_CDC48_N,2,FisherM1ONLY,DL_xy,True,0.77500000000000002,0.96875,0.86486486486486491
AAA_int_CDC48_N,2,FisherM1ONLY,Sda_xy_with_first,False,0.75555555555555554,1.0,0.87878787878787878
AAA_int_CDC48_N,2,FisherM1ONLY,Sda_xy_with_first,True,0.77500000000000002,0.96875,0.86486486486486491
AAA_int_CDC48_N,2,FisherM1ONLY,Sda_new,False,0.75555555555555554,1.0,0.87878787878787878
AAA_int_CDC48_N,2,FisherM1ONLY,Sda_new,True,0.77500000000000002,0.96875,0.86486486486486491
AAA_int_CDC48_N,2,FisherM1ONLY,SAE_SVM,True,0.84999999999999998,0.89473684210526316,0.86486486486486491
AAA_int_CDC48_N,2,FisherM1ONLY,SAE_SVM,False,0.82802547770700641,0.93189964157706096,0.87953795379537958
AAA_int_CDC48_N,2,FisherM1ONLY,DL,False,0.75555555555555554,1.0,0.87878787878787878
AAA_int_CDC48_N,2,FisherM1ONLY,DL,True,0.77500000000000002,0.96875,0.86486486486486491
AAA_int_CDC48_N,2,FisherM1ONLY,DL_old,False,0.83888888888888891,0.848314606741573,0.84573002754820936
AAA_int_CDC48_N,2,FisherM1ONLY,DL_old,True,0.84999999999999998,0.87179487179487181,0.85135135135135132
AAA_int_CDC48_N,2,FisherM1ONLY,DL_S,False,0.78888888888888886,0.84023668639053251,0.82093663911845727
AAA_int_CDC48_N,2,FisherM1ONLY,DL_S,True,0.80000000000000004,0.88888888888888884,0.83783783783783783
AAA_int_CDC48_N,2,FisherM1ONLY,DL_S_new,False,0.75555555555555554,1.0,0.87878787878787878
AAA_int_CDC48_N,2,FisherM1ONLY,DL_S_new,True,0.77500000000000002,0.96875,0.86486486486486491
AAA_int_CDC48_N,2,FisherM1ONLY,DL_S_new_contraction,False,1.0,0.64981949458483756,0.73278236914600547
AAA_int_CDC48_N,2,FisherM1ONLY,DL_S_new_contraction,True,1.0,0.65573770491803274,0.71621621621621623
AAA_int_CDC48_N,2,FisherM1ONLY,DL_S_new_sparsity,False,0.75555555555555554,1.0,0.87878787878787878
AAA_int_CDC48_N,2,FisherM1ONLY,DL_S_new_sparsity,True,0.77500000000000002,0.96875,0.86486486486486491
AAA_int_CDC48_N,2,FisherM1ONLY,l2_reg,False,0.7055555555555556,1.0,0.85399449035812669
AAA_int_CDC48_N,2,FisherM1ONLY,l2_reg,True,0.72499999999999998,1.0,0.85135135135135132
AAA_int_CDC48_N,2,FisherM1ONLY,DL_S_new_Drop_out,False,0.7055555555555556,1.0,0.85399449035812669
AAA_int_CDC48_N,2,FisherM1ONLY,DL_S_new_Drop_out,True,0.72499999999999998,1.0,0.85135135135135132
AAA_int_CDC48_N,3,FisherM1ONLY,SVM,True,0.75757575757575757,0.83333333333333337,0.79365079365079361
AAA_int_CDC48_N,3,FisherM1ONLY,SVM,False,0.77258566978193144,0.87017543859649127,0.82171799027552672
AAA_int_CDC48_N,3,FisherM1ONLY,SVM_RBF,True,0.81818181818181823,0.84375,0.82539682539682535
AAA_int_CDC48_N,3,FisherM1ONLY,SVM_RBF,False,0.83177570093457942,0.87540983606557377,0.85089141004862234
AAA_int_CDC48_N,3,FisherM1ONLY,DL_xy,False,0.83157894736842108,0.99371069182389937,0.91081081081081083
AAA_int_CDC48_N,3,FisherM1ONLY,DL_xy,True,0.81818181818181823,1.0,0.90476190476190477
AAA_int_CDC48_N,3,FisherM1ONLY,Sda_xy_with_first,False,0.75263157894736843,0.99305555555555558,0.87027027027027026
AAA_int_CDC48_N,3,FisherM1ONLY,Sda_xy_with_first,True,0.72727272727272729,1.0,0.8571428571428571
AAA_int_CDC48_N,3,FisherM1ONLY,Sda_new,False,0.75263157894736843,0.99305555555555558,0.87027027027027026
AAA_int_CDC48_N,3,FisherM1ONLY,Sda_new,True,0.72727272727272729,1.0,0.8571428571428571
AAA_int_CDC48_N,3,FisherM1ONLY,SAE_SVM,True,0.81818181818181823,0.90000000000000002,0.8571428571428571
AAA_int_CDC48_N,3,FisherM1ONLY,SAE_SVM,False,0.83177570093457942,0.93031358885017423,0.88006482982171796
AAA_int_CDC48_N,3,FisherM1ONLY,DL,False,0.75263157894736843,0.99305555555555558,0.87027027027027026
AAA_int_CDC48_N,3,FisherM1ONLY,DL,True,0.72727272727272729,1.0,0.8571428571428571
AAA_int_CDC48_N,3,FisherM1ONLY,DL_old,False,0.83157894736842108,0.88268156424581001,0.85675675675675678
AAA_int_CDC48_N,3,FisherM1ONLY,DL_old,True,0.81818181818181823,0.84375,0.82539682539682535
AAA_int_CDC48_N,3,FisherM1ONLY,DL_S,False,0.83157894736842108,0.88268156424581001,0.85675675675675678
AAA_int_CDC48_N,3,FisherM1ONLY,DL_S,True,0.81818181818181823,0.84375,0.82539682539682535
AAA_int_CDC48_N,3,FisherM1ONLY,DL_S_new,False,0.75263157894736843,0.99305555555555558,0.87027027027027026
AAA_int_CDC48_N,3,FisherM1ONLY,DL_S_new,True,0.72727272727272729,1.0,0.8571428571428571
AAA_int_CDC48_N,3,FisherM1ONLY,DL_S_new_contraction,False,0.75263157894736843,0.99305555555555558,0.87027027027027026
AAA_int_CDC48_N,3,FisherM1ONLY,DL_S_new_contraction,True,0.72727272727272729,1.0,0.8571428571428571
AAA_int_CDC48_N,3,FisherM1ONLY,DL_S_new_sparsity,False,0.75263157894736843,0.99305555555555558,0.87027027027027026
AAA_int_CDC48_N,3,FisherM1ONLY,DL_S_new_sparsity,True,0.72727272727272729,1.0,0.8571428571428571
AAA_int_CDC48_N,3,FisherM1ONLY,l2_reg,False,0.77368421052631575,0.88023952095808389,0.82972972972972969
AAA_int_CDC48_N,3,FisherM1ONLY,l2_reg,True,0.75757575757575757,0.83333333333333337,0.79365079365079361
AAA_int_CDC48_N,3,FisherM1ONLY,DL_S_new_Drop_out,False,0.77368421052631575,0.88023952095808389,0.82972972972972969
AAA_int_CDC48_N,3,FisherM1ONLY,DL_S_new_Drop_out,True,0.75757575757575757,0.83333333333333337,0.79365079365079361
AAA_int_CDC48_N,4,FisherM1ONLY,SVM,True,0.77777777777777779,0.875,0.83098591549295775
AAA_int_CDC48_N,4,FisherM1ONLY,SVM,False,0.77044025157232709,0.86572438162544174,0.81773399014778325
AAA_int_CDC48_N,4,FisherM1ONLY,SVM_RBF,True,0.83333333333333337,0.88235294117647056,0.85915492957746475
AAA_int_CDC48_N,4,FisherM1ONLY,SVM_RBF,False,0.83018867924528306,0.87128712871287128,0.84729064039408863
AAA_int_CDC48_N,4,FisherM1ONLY,DL_xy,False,0.77049180327868849,1.0,0.8849315068493151
AAA_int_CDC48_N,4,FisherM1ONLY,DL_xy,True,0.75,1.0,0.87323943661971826
AAA_int_CDC48_N,4,FisherM1ONLY,Sda_xy_with_first,False,0.77049180327868849,1.0,0.8849315068493151
AAA_int_CDC48_N,4,FisherM1ONLY,Sda_xy_with_first,True,0.75,1.0,0.87323943661971826
AAA_int_CDC48_N,4,FisherM1ONLY,Sda_new,False,0.77049180327868849,1.0,0.8849315068493151
AAA_int_CDC48_N,4,FisherM1ONLY,Sda_new,True,0.75,1.0,0.87323943661971826
AAA_int_CDC48_N,4,FisherM1ONLY,SAE_SVM,True,0.83333333333333337,1.0,0.91549295774647887
AAA_int_CDC48_N,4,FisherM1ONLY,SAE_SVM,False,0.83018867924528306,0.99622641509433962,0.909688013136289
AAA_int_CDC48_N,4,FisherM1ONLY,DL,False,0.86885245901639341,0.87362637362637363,0.87123287671232874
AAA_int_CDC48_N,4,FisherM1ONLY,DL,True,0.83333333333333337,0.83333333333333337,0.83098591549295775
AAA_int_CDC48_N,4,FisherM1ONLY,DL_old,False,0.36065573770491804,1.0,0.67945205479452053
AAA_int_CDC48_N,4,FisherM1ONLY,DL_old,True,0.30555555555555558,1.0,0.647887323943662
AAA_int_CDC48_N,4,FisherM1ONLY,DL_S,False,0.83606557377049184,0.87931034482758619,0.86027397260273974
AAA_int_CDC48_N,4,FisherM1ONLY,DL_S,True,0.83333333333333337,0.88235294117647056,0.85915492957746475
AAA_int_CDC48_N,4,FisherM1ONLY,DL_S_new,False,0.77049180327868849,1.0,0.8849315068493151
AAA_int_CDC48_N,4,FisherM1ONLY,DL_S_new,True,0.75,1.0,0.87323943661971826
AAA_int_CDC48_N,4,FisherM1ONLY,DL_S_new_contraction,False,0.77049180327868849,1.0,0.8849315068493151
AAA_int_CDC48_N,4,FisherM1ONLY,DL_S_new_contraction,True,0.75,1.0,0.87323943661971826
AAA_int_CDC48_N,4,FisherM1ONLY,DL_S_new_sparsity,False,0.93442622950819676,0.79534883720930227,0.84657534246575339
AAA_int_CDC48_N,4,FisherM1ONLY,DL_S_new_sparsity,True,0.91666666666666663,0.76744186046511631,0.81690140845070425
AAA_int_CDC48_N,4,FisherM1ONLY,l2_reg,False,0.78688524590163933,0.91719745222929938,0.8575342465753425
AAA_int_CDC48_N,4,FisherM1ONLY,l2_reg,True,0.77777777777777779,0.96551724137931039,0.87323943661971826
AAA_int_CDC48_N,4,FisherM1ONLY,DL_S_new_Drop_out,False,0.78688524590163933,0.87272727272727268,0.83561643835616439
AAA_int_CDC48_N,4,FisherM1ONLY,DL_S_new_Drop_out,True,0.77777777777777779,0.875,0.83098591549295775
AAA_int_CDC48_N,5,FisherM1ONLY,SVM,True,0.78787878787878785,0.9285714285714286,0.85483870967741937
AAA_int_CDC48_N,5,FisherM1ONLY,SVM,False,0.76947040498442365,0.86062717770034847,0.81553398058252424
AAA_int_CDC48_N,5,FisherM1ONLY,SVM_RBF,True,0.87878787878787878,0.93548387096774188,0.90322580645161288
AAA_int_CDC48_N,5,FisherM1ONLY,SVM_RBF,False,0.82554517133956384,0.86601307189542487,0.84304207119741104
AAA_int_CDC48_N,5,FisherM1ONLY,DL_xy,False,0.72820512820512817,0.99300699300699302,0.8540540540540541
AAA_int_CDC48_N,5,FisherM1ONLY,DL_xy,True,0.81818181818181823,1.0,0.90322580645161288
AAA_int_CDC48_N,5,FisherM1ONLY,Sda_xy_with_first,False,0.91794871794871791,0.86473429951690817,0.88108108108108107
AAA_int_CDC48_N,5,FisherM1ONLY,Sda_xy_with_first,True,0.93939393939393945,0.88571428571428568,0.90322580645161288
AAA_int_CDC48_N,5,FisherM1ONLY,Sda_new,False,0.72820512820512817,0.99300699300699302,0.8540540540540541
AAA_int_CDC48_N,5,FisherM1ONLY,Sda_new,True,0.81818181818181823,1.0,0.90322580645161288
AAA_int_CDC48_N,5,FisherM1ONLY,SAE_SVM,True,0.87878787878787878,1.0,0.93548387096774188
AAA_int_CDC48_N,5,FisherM1ONLY,SAE_SVM,False,0.82554517133956384,0.99624060150375937,0.90776699029126218
AAA_int_CDC48_N,5,FisherM1ONLY,DL,False,0.81025641025641026,0.86813186813186816,0.83513513513513515
AAA_int_CDC48_N,5,FisherM1ONLY,DL,True,0.87878787878787878,0.93548387096774188,0.90322580645161288
AAA_int_CDC48_N,5,FisherM1ONLY,DL_old,False,0.81025641025641026,0.86813186813186816,0.83513513513513515
AAA_int_CDC48_N,5,FisherM1ONLY,DL_old,True,0.87878787878787878,0.93548387096774188,0.90322580645161288
AAA_int_CDC48_N,5,FisherM1ONLY,DL_S,False,0.81025641025641026,0.86813186813186816,0.83513513513513515
AAA_int_CDC48_N,5,FisherM1ONLY,DL_S,True,0.87878787878787878,0.93548387096774188,0.90322580645161288
AAA_int_CDC48_N,5,FisherM1ONLY,DL_S_new,False,0.69230769230769229,1.0,0.83783783783783783
AAA_int_CDC48_N,5,FisherM1ONLY,DL_S_new,True,0.72727272727272729,1.0,0.85483870967741937
AAA_int_CDC48_N,5,FisherM1ONLY,DL_S_new_contraction,False,0.77435897435897438,0.86781609195402298,0.81891891891891888
AAA_int_CDC48_N,5,FisherM1ONLY,DL_S_new_contraction,True,0.78787878787878785,0.9285714285714286,0.85483870967741937
AAA_int_CDC48_N,5,FisherM1ONLY,DL_S_new_sparsity,False,0.69230769230769229,1.0,0.83783783783783783
AAA_int_CDC48_N,5,FisherM1ONLY,DL_S_new_sparsity,True,0.72727272727272729,1.0,0.85483870967741937
AAA_int_CDC48_N,5,FisherM1ONLY,l2_reg,False,0.69230769230769229,1.0,0.83783783783783783
AAA_int_CDC48_N,5,FisherM1ONLY,l2_reg,True,0.72727272727272729,1.0,0.85483870967741937
AAA_int_CDC48_N,5,FisherM1ONLY,DL_S_new_Drop_out,False,0.69230769230769229,1.0,0.83783783783783783
AAA_int_CDC48_N,5,FisherM1ONLY,DL_S_new_Drop_out,True,0.72727272727272729,1.0,0.85483870967741937
AAA_int_CDC48_N,6,FisherM1ONLY,SVM,True,0.75757575757575757,0.86206896551724133,0.80645161290322576
AAA_int_CDC48_N,6,FisherM1ONLY,SVM,False,0.77258566978193144,0.86713286713286708,0.82038834951456308
AAA_int_CDC48_N,6,FisherM1ONLY,SVM_RBF,True,0.81818181818181823,0.87096774193548387,0.83870967741935487
AAA_int_CDC48_N,6,FisherM1ONLY,SVM_RBF,False,0.83177570093457942,0.87254901960784315,0.84951456310679607
AAA_int_CDC48_N,6,FisherM1ONLY,DL_xy,False,0.75252525252525249,1.0,0.86756756756756759
AAA_int_CDC48_N,6,FisherM1ONLY,DL_xy,True,0.72727272727272729,1.0,0.85483870967741937
AAA_int_CDC48_N,6,FisherM1ONLY,Sda_xy_with_first,False,0.75252525252525249,1.0,0.86756756756756759
AAA_int_CDC48_N,6,FisherM1ONLY,Sda_xy_with_first,True,0.72727272727272729,1.0,0.85483870967741937
AAA_int_CDC48_N,6,FisherM1ONLY,Sda_new,False,0.75252525252525249,1.0,0.86756756756756759
AAA_int_CDC48_N,6,FisherM1ONLY,Sda_new,True,0.72727272727272729,1.0,0.85483870967741937
AAA_int_CDC48_N,6,FisherM1ONLY,SAE_SVM,True,0.81818181818181823,0.93103448275862066,0.87096774193548387
AAA_int_CDC48_N,6,FisherM1ONLY,SAE_SVM,False,0.83177570093457942,0.92708333333333337,0.87864077669902918
AAA_int_CDC48_N,6,FisherM1ONLY,DL,False,0.84343434343434343,0.87894736842105259,0.8540540540540541
AAA_int_CDC48_N,6,FisherM1ONLY,DL,True,0.81818181818181823,0.81818181818181823,0.80645161290322576
AAA_int_CDC48_N,6,FisherM1ONLY,DL_old,False,1.0,0.66220735785953178,0.72702702702702704
AAA_int_CDC48_N,6,FisherM1ONLY,DL_old,True,1.0,0.59999999999999998,0.64516129032258063
AAA_int_CDC48_N,6,FisherM1ONLY,DL_S,False,0.83838383838383834,0.87830687830687826,0.85135135135135132
AAA_int_CDC48_N,6,FisherM1ONLY,DL_S,True,0.81818181818181823,0.87096774193548387,0.83870967741935487
AAA_int_CDC48_N,6,FisherM1ONLY,DL_S_new,False,0.75252525252525249,1.0,0.86756756756756759
AAA_int_CDC48_N,6,FisherM1ONLY,DL_S_new,True,0.72727272727272729,1.0,0.85483870967741937
AAA_int_CDC48_N,6,FisherM1ONLY,DL_S_new_contraction,False,0.75252525252525249,1.0,0.86756756756756759
AAA_int_CDC48_N,6,FisherM1ONLY,DL_S_new_contraction,True,0.72727272727272729,1.0,0.85483870967741937
AAA_int_CDC48_N,6,FisherM1ONLY,DL_S_new_sparsity,False,0.75252525252525249,1.0,0.86756756756756759
AAA_int_CDC48_N,6,FisherM1ONLY,DL_S_new_sparsity,True,0.72727272727272729,1.0,0.85483870967741937
AAA_int_CDC48_N,6,FisherM1ONLY,l2_reg,False,0.69191919191919193,1.0,0.83513513513513515
AAA_int_CDC48_N,6,FisherM1ONLY,l2_reg,True,0.66666666666666663,1.0,0.82258064516129037
AAA_int_CDC48_N,6,FisherM1ONLY,DL_S_new_Drop_out,False,0.69191919191919193,1.0,0.83513513513513515
AAA_int_CDC48_N,6,FisherM1ONLY,DL_S_new_Drop_out,True,0.66666666666666663,1.0,0.82258064516129037
AAA_int_CDC48_N,7,FisherM1ONLY,SVM,True,0.73529411764705888,0.83333333333333337,0.79411764705882348
AAA_int_CDC48_N,7,FisherM1ONLY,SVM,False,0.77500000000000002,0.87017543859649127,0.82189542483660127
AAA_int_CDC48_N,7,FisherM1ONLY,SVM_RBF,True,0.76470588235294112,0.83870967741935487,0.80882352941176472
AAA_int_CDC48_N,7,FisherM1ONLY,SVM_RBF,False,0.83750000000000002,0.87581699346405228,0.8529411764705882
AAA_int_CDC48_N,7,FisherM1ONLY,DL_xy,False,0.78238341968911918,1.0,0.88555858310626701
AAA_int_CDC48_N,7,FisherM1ONLY,DL_xy,True,0.6470588235294118,1.0,0.82352941176470584
AAA_int_CDC48_N,7,FisherM1ONLY,Sda_xy_with_first,False,0.78238341968911918,1.0,0.88555858310626701
AAA_int_CDC48_N,7,FisherM1ONLY,Sda_xy_with_first,True,0.6470588235294118,1.0,0.82352941176470584
AAA_int_CDC48_N,7,FisherM1ONLY,Sda_new,False,0.78238341968911918,1.0,0.88555858310626701
AAA_int_CDC48_N,7,FisherM1ONLY,Sda_new,True,0.6470588235294118,1.0,0.82352941176470584
AAA_int_CDC48_N,7,FisherM1ONLY,SAE_SVM,True,0.76470588235294112,1.0,0.88235294117647056
AAA_int_CDC48_N,7,FisherM1ONLY,SAE_SVM,False,0.83750000000000002,0.99628252788104088,0.91339869281045749
AAA_int_CDC48_N,7,FisherM1ONLY,DL,False,0.78238341968911918,1.0,0.88555858310626701
AAA_int_CDC48_N,7,FisherM1ONLY,DL,True,0.6470588235294118,1.0,0.82352941176470584
AAA_int_CDC48_N,7,FisherM1ONLY,DL_old,False,0.72020725388601037,1.0,0.85286103542234337
AAA_int_CDC48_N,7,FisherM1ONLY,DL_old,True,0.61764705882352944,1.0,0.80882352941176472
AAA_int_CDC48_N,7,FisherM1ONLY,DL_S,False,0.85492227979274615,0.88709677419354838,0.86648501362397823
AAA_int_CDC48_N,7,FisherM1ONLY,DL_S,True,0.76470588235294112,0.83870967741935487,0.80882352941176472
AAA_int_CDC48_N,7,FisherM1ONLY,DL_S_new,False,0.78238341968911918,1.0,0.88555858310626701
AAA_int_CDC48_N,7,FisherM1ONLY,DL_S_new,True,0.6470588235294118,1.0,0.82352941176470584
AAA_int_CDC48_N,7,FisherM1ONLY,DL_S_new_contraction,False,0.78238341968911918,1.0,0.88555858310626701
AAA_int_CDC48_N,7,FisherM1ONLY,DL_S_new_contraction,True,0.6470588235294118,1.0,0.82352941176470584
AAA_int_CDC48_N,7,FisherM1ONLY,DL_S_new_sparsity,False,0.78238341968911918,1.0,0.88555858310626701
AAA_int_CDC48_N,7,FisherM1ONLY,DL_S_new_sparsity,True,0.6470588235294118,1.0,0.82352941176470584
AAA_int_CDC48_N,7,FisherM1ONLY,l2_reg,False,0.79274611398963735,0.87931034482758619,0.83378746594005448
AAA_int_CDC48_N,7,FisherM1ONLY,l2_reg,True,0.73529411764705888,0.83333333333333337,0.79411764705882348
AAA_int_CDC48_N,7,FisherM1ONLY,DL_S_new_Drop_out,False,0.72020725388601037,1.0,0.85286103542234337
AAA_int_CDC48_N,7,FisherM1ONLY,DL_S_new_Drop_out,True,0.61764705882352944,1.0,0.80882352941176472
AAA_int_CDC48_N,8,FisherM1ONLY,SVM,True,0.77142857142857146,0.87096774193548387,0.82352941176470584
AAA_int_CDC48_N,8,FisherM1ONLY,SVM,False,0.7711598746081505,0.86619718309859151,0.81862745098039214
AAA_int_CDC48_N,8,FisherM1ONLY,SVM_RBF,True,0.82857142857142863,0.87878787878787878,0.8529411764705882
AAA_int_CDC48_N,8,FisherM1ONLY,SVM_RBF,False,0.83072100313479624,0.87171052631578949,0.84803921568627449
AAA_int_CDC48_N,8,FisherM1ONLY,DL_xy,False,0.80628272251308897,1.0,0.89918256130790186
AAA_int_CDC48_N,8,FisherM1ONLY,DL_xy,True,0.74285714285714288,1.0,0.86764705882352944
AAA_int_CDC48_N,8,FisherM1ONLY,Sda_xy_with_first,False,0.80628272251308897,1.0,0.89918256130790186
AAA_int_CDC48_N,8,FisherM1ONLY,Sda_xy_with_first,True,0.74285714285714288,1.0,0.86764705882352944
AAA_int_CDC48_N,8,FisherM1ONLY,Sda_new,False,0.80628272251308897,1.0,0.89918256130790186
AAA_int_CDC48_N,8,FisherM1ONLY,Sda_new,True,0.74285714285714288,1.0,0.86764705882352944
AAA_int_CDC48_N,8,FisherM1ONLY,SAE_SVM,True,0.82857142857142863,0.93548387096774188,0.88235294117647056
AAA_int_CDC48_N,8,FisherM1ONLY,SAE_SVM,False,0.83072100313479624,0.92657342657342656,0.87745098039215685
AAA_int_CDC48_N,8,FisherM1ONLY,DL,False,0.80628272251308897,1.0,0.89918256130790186
AAA_int_CDC48_N,8,FisherM1ONLY,DL,True,0.74285714285714288,1.0,0.86764705882352944
AAA_int_CDC48_N,8,FisherM1ONLY,DL_old,False,0.41361256544502617,1.0,0.69482288828337879
AAA_int_CDC48_N,8,FisherM1ONLY,DL_old,True,0.31428571428571428,1.0,0.6470588235294118
AAA_int_CDC48_N,8,FisherM1ONLY,DL_S,False,0.75392670157068065,1.0,0.87193460490463215
AAA_int_CDC48_N,8,FisherM1ONLY,DL_S,True,0.68571428571428572,1.0,0.83823529411764708
AAA_int_CDC48_N,8,FisherM1ONLY,DL_S_new,False,0.75392670157068065,1.0,0.87193460490463215
