SeqA	SeqB	Score
1	1	0.76877
1	2	0.38808
1	3	0.45326
1	4	0.13285
1	5	0.75851
1	6	0.56524
1	7	0.64864
1	8	0.79806
1	9	0.22045
1	10	0.85789
1	11	0.90473
1	12	0.29202
1	13	0.72587
1	14	0.33945
1	15	0.27268
1	16	0.17027
1	17	0.66402
1	18	0.53585
1	19	0.82911
1	20	0.26736
1	21	0.17616
1	22	0.43119
1	23	0.47566
1	24	0.78522
1	25	0.13065
1	26	0.051356
1	27	0.62751
1	28	0.029088
1	29	0.13619
1	30	0.69456
1	31	0.51568
1	32	0.54258
1	33	0.80848
1	34	0.79369
1	35	0.50187
1	36	0.27663
1	37	0.11966
1	38	0.8866
1	39	0.97029
1	40	0.94253
1	41	0.63813
1	42	0.09059
1	43	0.074708
1	44	0.18245
1	45	0.031688
1	46	0.72494
1	47	0.14416
1	48	0.63593
1	49	0.78985
1	50	0.56625
1	51	0.37741
1	52	0.82159
1	53	0.30488
1	54	0.31937
1	55	0.78498
1	56	0.50374
1	57	0.261
1	58	0.73248
1	59	0.16295
1	60	0.92108
1	61	0.22222
1	62	0.083609
1	63	0.073702
1	64	0.76955
1	65	0.81768
1	66	0.74043
1	67	0.75825
1	68	0.96119
1	69	0.46642
1	70	0.787
1	71	0.42257
1	72	0.94373
1	73	0.0013144
1	74	0.98127
1	75	0.57019
1	76	0.34647
1	77	0.5575
1	78	0.29978
1	79	0.15907
1	80	0.66526
1	81	0.6842
1	82	0.79241
1	83	0.34862
1	84	0.25007
1	85	0.345
1	86	0.32863
1	87	0.92749
1	88	0.75607
1	89	0.28824
1	90	0.60618
1	91	0.76603
1	92	0.84615
1	93	0.90198
1	94	0.59571
1	95	0.068536
1	96	0.21804
1	97	0.86941
1	98	0.41422
1	99	0.66121
1	100	0.78348
1	101	0.24789
1	102	0.55443
1	103	0.22959
1	104	0.0069128
1	105	0.76664
1	106	0.021833
1	107	0.3931
1	108	0.25254
1	109	0.20422
1	110	0.66228
1	111	0.91474
1	112	0.0069025
1	113	0.74642
1	114	0.79967
1	115	0.9078
1	116	0.97457
1	117	0.11986
1	118	0.51897
1	119	0.82197
1	120	0.63702
1	121	0.95391
1	122	0.94693
1	123	0.96661
1	124	0.067344
1	125	0.43753
1	126	0.32084
1	127	0.13405
1	128	0.13459
1	129	0.80595
1	130	0.52476
1	131	0.94426
1	132	0.98834
1	133	0.40989
1	134	0.37119
1	135	0.22685
1	136	0.44603
1	137	0.26622
1	138	0.4591
1	139	0.43291
1	140	0.25962
1	141	0.13371
2	1	0.41923
2	2	0.50686
2	3	0.32432
2	4	0.68469
2	5	0.44309
2	6	0.43566
2	7	0.79302
2	8	0.81556
2	9	0.75211
2	10	0.78926
2	11	0.50127
2	12	0.55518
2	13	0.63075
2	14	0.097989
2	15	0.24568
2	16	0.61573
2	17	0.30496
2	18	0.76697
2	19	0.26723
2	20	0.039506
2	21	0.29656
2	22	0.55636
2	23	0.96907
2	24	0.68912
2	25	0.71788
2	26	0.55903
2	27	0.53335
2	28	0.87572
2	29	0.3931
2	30	0.45807
2	31	0.20825
2	32	0.75727
2	33	0.54669
2	34	0.35739
2	35	0.701
2	36	0.10922
2	37	0.0066108
2	38	0.5973
2	39	0.65918
2	40	0.58001
2	41	0.90995
