no.,number_of_training,method,isTest,recall,precision,accuracy
1,10000,SVM,True,0.537239868565,0.528271405493,0.527457440967
1,10000,SVM,False,0.654869477912,0.633559980573,0.6395
1,10000,SVM_RBF,True,0.324753559693,0.898484848485,0.643053267435
1,10000,SVM_RBF,False,1.0,1.0,1.0
1,10000,Log,True,0.536692223439,0.541436464088,0.539813289401
1,10000,Log,False,0.703815261044,0.692687747036,0.697
1,10000,DL,True,0.847754654984,0.904734073641,0.878912685338
1,10000,DL,False,0.995983935743,1.0,0.998
1,10000,SAE_SVM,True,0.684008762322,0.696209587514,0.691927512356
1,10000,SAE_SVM,False,0.747238955823,0.75500887649,0.753375
1,10000,DL_S,True,0.784775465498,0.932335718933,0.863536518396
1,10000,DL_S,False,0.869728915663,0.989434608795,0.9305
1,10000,SAE_S_SVM,True,0.514786418401,0.551643192488,0.546952224053
1,10000,SAE_S_SVM,False,0.602911646586,0.616846430406,0.61575
1,10000,SAE_S_SVM_RBF,True,0.475355969332,0.989737742303,0.734486545854
1,10000,SAE_S_SVM_RBF,False,1.0,1.0,1.0
1,10000,DL_xy,False,0.943273092369,0.78982765868,0.84675
1,10000,DL_xy,True,0.883899233297,0.730647351743,0.7784184514
1,10000,Sda_xy_with_first,False,0.972138554217,0.791053921569,0.85825
1,10000,Sda_xy_with_first,True,0.912376779847,0.726559092891,0.783909939594
1,10000,Sda_new,False,0.934236947791,0.917652859961,0.9255
1,10000,Sda_new,True,0.836254107338,0.819206008584,0.825370675453
1,10000,DL_S_new,False,0.0,0.0,0.502
1,10000,DL_S_new,True,0.0,0.0,0.498627127952
1,10000,DL_S_new_contraction,False,0.0,0.0,0.502
1,10000,DL_S_new_contraction,True,0.0,0.0,0.498627127952
1,10000,DL_S_new_sparsity,False,0.0,0.0,0.502
1,10000,DL_S_new_sparsity,True,0.0,0.0,0.498627127952
1,10000,l2_reg,False,0.0,0.0,0.502
1,10000,l2_reg,True,0.0,0.0,0.498627127952
1,10000,DL_S_new_Drop_out,False,0.0,0.0,0.502
1,10000,DL_S_new_Drop_out,True,0.0,0.0,0.498627127952
2,10000,SVM,True,0.558528428094,0.526813880126,0.532209012994
2,10000,SVM,False,0.635888501742,0.635098185434,0.633625
2,10000,SVM_RBF,True,0.951505016722,0.564297520661,0.611556538568
2,10000,SVM_RBF,False,1.0,1.0,1.0
2,10000,Log,True,0.574136008919,0.540966386555,0.547138512579
2,10000,Log,False,0.720507715281,0.693911792905,0.7
2,10000,DL,True,0.886845039019,0.880952380952,0.884434614321
2,10000,DL,False,0.994773519164,0.996012957887,0.995375
2,10000,SAE_SVM,True,0.732998885173,0.714285714286,0.722145424385
2,10000,SAE_SVM,False,0.788949726232,0.780595912337,0.782625
2,10000,DL_S,True,0.866778149387,0.900405327157,0.886369919823
2,10000,DL_S,False,0.952463912394,0.983299075026,0.968
2,10000,SAE_S_SVM,True,0.583612040134,0.540805785124,0.547691457009
2,10000,SAE_S_SVM,False,0.664011946242,0.640730067243,0.64425
2,10000,SAE_S_SVM_RBF,True,0.496655518395,0.996644295302,0.749516173625
2,10000,SAE_S_SVM_RBF,False,1.0,1.0,1.0
2,10000,DL_xy,False,0.995271279243,0.868970013038,0.92225
2,10000,DL_xy,True,0.926978818283,0.760054844607,0.81863422726
2,10000,Sda_xy_with_first,False,0.984320557491,0.890765765766,0.9315
2,10000,Sda_xy_with_first,True,0.907469342252,0.779320248923,0.826651921482
2,10000,Sda_new,False,0.981085116974,0.867135943687,0.915
2,10000,Sda_new,True,0.910813823857,0.770391324847,0.821122477191
2,10000,DL_S_new,False,1.0,0.50225,0.50225
2,10000,DL_S_new,True,1.0,0.495991152889,0.495991152889
2,10000,DL_S_new_contraction,False,1.0,0.50225,0.50225
2,10000,DL_S_new_contraction,True,1.0,0.495991152889,0.495991152889
2,10000,DL_S_new_sparsity,False,0.812842210055,0.512394101035,0.5175
2,10000,DL_S_new_sparsity,True,0.794871794872,0.506032647268,0.513408902405
2,10000,l2_reg,False,1.0,0.50225,0.50225
2,10000,l2_reg,True,1.0,0.495991152889,0.495991152889
2,10000,DL_S_new_Drop_out,False,1.0,0.50225,0.50225
2,10000,DL_S_new_Drop_out,True,1.0,0.495991152889,0.495991152889
3,10000,SVM,True,0.575503355705,0.545888594164,0.549386160714
3,10000,SVM,False,0.658856135047,0.632406287787,0.64075
3,10000,SVM_RBF,True,0.298657718121,0.908163265306,0.635044642857
3,10000,SVM_RBF,False,1.0,1.0,1.0
3,10000,Log,True,0.551454138702,0.54445057979,0.546037946429
3,10000,Log,False,0.717057193248,0.690776699029,0.700375
3,10000,DL,True,0.88255033557,0.863238512035,0.871651785714
3,10000,DL,False,0.973041068279,0.948894348894,0.960625
3,10000,SAE_SVM,True,0.703020134228,0.729118329466,0.721540178571
3,10000,SAE_SVM,False,0.79440665155,0.792012057272,0.7945
3,10000,DL_S,True,0.823266219239,0.892662219527,0.862444196429
3,10000,DL_S,False,0.896951373142,0.936349289847,0.918625
3,10000,SAE_S_SVM,True,0.563758389262,0.546341463415,0.548828125
3,10000,SAE_S_SVM,False,0.638447971781,0.609281077182,0.6175
3,10000,SAE_S_SVM_RBF,True,0.456935123043,0.992709599028,0.727399553571
3,10000,SAE_S_SVM_RBF,False,1.0,1.0,1.0
3,10000,DL_xy,False,0.913832199546,0.90675,0.910625
3,10000,DL_xy,True,0.814317673378,0.811594202899,0.813058035714
3,10000,Sda_xy_with_first,False,0.994205089443,0.826906957251,0.893875
3,10000,Sda_xy_with_first,True,0.94966442953,0.744410346339,0.812220982143
3,10000,Sda_new,False,0.990173847317,0.8177278402,0.885625
3,10000,Sda_new,True,0.942393736018,0.751561106155,0.815848214286
3,10000,DL_S_new,False,0.0,0.0,0.503875
3,10000,DL_S_new,True,0.0,0.0,0.501116071429
3,10000,DL_S_new_contraction,False,0.0,0.0,0.503875
3,10000,DL_S_new_contraction,True,0.0,0.0,0.501116071429
3,10000,DL_S_new_sparsity,False,0.820609725372,0.507637157107,0.516125
3,10000,DL_S_new_sparsity,True,0.831096196868,0.5122371596,0.520926339286
3,10000,l2_reg,False,0.0,0.0,0.503875
3,10000,l2_reg,True,0.0,0.0,0.501116071429
3,10000,DL_S_new_Drop_out,False,0.0,0.0,0.503875
3,10000,DL_S_new_Drop_out,True,0.0,0.0,0.501116071429
4,10000,SVM,True,0.527652370203,0.520601336303,0.525698324022
4,10000,SVM,False,0.642139628327,0.64766970618,0.648
4,10000,SVM_RBF,True,0.307562076749,0.906821963394,0.641620111732
4,10000,SVM_RBF,False,1.0,1.0,1.0
4,10000,Log,True,0.570541760722,0.551855895197,0.558100558659
4,10000,Log,False,0.702661978905,0.694982613015,0.6985
4,10000,DL,True,0.839729119639,0.902365069739,0.875698324022
4,10000,DL,False,0.998995479658,1.0,0.9995
4,10000,SAE_SVM,True,0.73927765237,0.728992765721,0.734916201117
4,10000,SAE_SVM,False,0.808387744852,0.801743462017,0.805125
4,10000,DL_S,True,0.924379232506,0.877343331548,0.898603351955
4,10000,DL_S,False,0.992968357609,0.96983075791,0.981125
4,10000,SAE_S_SVM,True,0.560383747178,0.544109589041,0.55
4,10000,SAE_S_SVM,False,0.642893018584,0.618805897994,0.625125
4,10000,SAE_S_SVM_RBF,True,0.458239277652,0.996319018405,0.731005586592
4,10000,SAE_S_SVM_RBF,False,1.0,1.0,1.0
4,10000,DL_xy,False,0.910848819689,0.951968503937,0.93275
4,10000,DL_xy,True,0.810948081264,0.854848304581,0.838268156425
4,10000,Sda_xy_with_first,False,0.982169763938,0.946285990806,0.963375
4,10000,Sda_xy_with_first,True,0.871331828442,0.826110219369,0.845530726257
4,10000,Sda_new,False,0.950527373179,0.886416861827,0.91475
4,10000,Sda_new,True,0.860609480813,0.803477344573,0.826815642458
4,10000,DL_S_new,False,0.0,0.0,0.50225
4,10000,DL_S_new,True,0.0,0.0,0.505027932961
4,10000,DL_S_new_contraction,False,0.0,0.0,0.50225
4,10000,DL_S_new_contraction,True,0.0,0.0,0.505027932961
4,10000,DL_S_new_sparsity,False,0.767453540934,0.510439285118,0.517875
4,10000,DL_S_new_sparsity,True,0.759593679458,0.500557828189,0.505865921788
4,10000,l2_reg,False,1.0,0.49775,0.49775
4,10000,l2_reg,True,1.0,0.494972067039,0.494972067039
4,10000,DL_S_new_Drop_out,False,1.0,0.49775,0.49775
4,10000,DL_S_new_Drop_out,True,1.0,0.494972067039,0.494972067039
5,10000,SVM,True,0.516164994426,0.531878230902,0.531197771588
5,10000,SVM,False,0.612270555695,0.627900979887,0.626875
5,10000,SVM_RBF,True,0.280936454849,0.935064935065,0.630919220056
5,10000,SVM_RBF,False,1.0,1.0,1.0
5,10000,Log,True,0.53121516165,0.532997762864,0.533147632312
5,10000,Log,False,0.709077193865,0.683967984477,0.6925
5,10000,DL,True,0.885730211817,0.862181226262,0.872144846797
5,10000,DL,False,0.986421926075,0.974174323318,0.98025
5,10000,SAE_SVM,True,0.750836120401,0.718783351121,0.728690807799
5,10000,SAE_SVM,False,0.803117928086,0.783035057612,0.7915
5,10000,DL_S,True,0.880156075808,0.88608305275,0.88356545961
5,10000,DL_S,False,0.962031682172,0.964943253468,0.96375
5,10000,SAE_S_SVM,True,0.584169453735,0.554790894653,0.557938718663
5,10000,SAE_S_SVM,False,0.671611767664,0.628322747589,0.63925
5,10000,SAE_S_SVM_RBF,True,0.461538461538,0.992805755396,0.729247910864
5,10000,SAE_S_SVM_RBF,False,1.0,1.0,1.0
5,10000,DL_xy,False,0.986673371888,0.873942093541,0.922625
5,10000,DL_xy,True,0.914158305463,0.772128060264,0.822284122563
5,10000,Sda_xy_with_first,False,0.993210963037,0.869086908691,0.92225
5,10000,Sda_xy_with_first,True,0.930880713489,0.772790374826,0.828690807799
5,10000,Sda_new,False,0.982650238874,0.885966900929,0.9285
5,10000,Sda_new,True,0.914715719064,0.787428023033,0.833983286908
5,10000,DL_S_new,False,1.0,0.497125,0.497125
5,10000,DL_S_new,True,1.0,0.499721448468,0.499721448468
5,10000,DL_S_new_contraction,False,1.0,0.497125,0.497125
5,10000,DL_S_new_contraction,True,1.0,0.499721448468,0.499721448468
5,10000,DL_S_new_sparsity,False,0.951973849635,0.501058761249,0.504875
5,10000,DL_S_new_sparsity,True,0.94983277592,0.507747318236,0.514763231198
5,10000,l2_reg,False,1.0,0.497125,0.497125
5,10000,l2_reg,True,1.0,0.499721448468,0.499721448468
5,10000,DL_S_new_Drop_out,False,1.0,0.497125,0.497125
5,10000,DL_S_new_Drop_out,True,1.0,0.499721448468,0.499721448468
6,10000,SVM,True,0.540242557883,0.521831735889,0.527936767512
6,10000,SVM,False,0.648716030915,0.639154998772,0.64025
6,10000,SVM_RBF,True,0.916207276736,0.573895027624,0.622240392478
6,10000,SVM_RBF,False,1.0,1.0,1.0
6,10000,Log,True,0.538037486218,0.523043944266,0.529026982829
6,10000,Log,False,0.712789827973,0.688583815029,0.694375
6,10000,DL,True,0.926130099228,0.831683168317,0.870809484873
6,10000,DL,False,0.999002742458,0.96206482593,0.97975
6,10000,SAE_SVM,True,0.709481808159,0.728765571914,0.725810847642
6,10000,SAE_SVM,False,0.776614310646,0.80428608314,0.79325
6,10000,DL_S,True,0.918963616318,0.853558627752,0.881984191878
6,10000,DL_S,False,0.980054849165,0.924941176471,0.950125
6,10000,SAE_S_SVM,True,0.546857772878,0.518828451883,0.525211229218
6,10000,SAE_S_SVM,False,0.621291448517,0.601061263869,0.603375
6,10000,SAE_S_SVM_RBF,True,0.445424476295,0.995073891626,0.724720632325
6,10000,SAE_S_SVM_RBF,False,1.0,1.0,1.0
6,10000,DL_xy,False,0.662428322114,0.944879089616,0.811375
6,10000,DL_xy,True,0.586549062845,0.883720930233,0.757427091851
6,10000,Sda_xy_with_first,False,0.695088506607,0.957088911775,0.8315
6,10000,Sda_xy_with_first,True,0.609702315325,0.880573248408,0.766148814391
6,10000,Sda_new,False,0.6489653453,0.978203682826,0.81675
6,10000,Sda_new,True,0.554024255788,0.9161349134,0.754428999727
6,10000,DL_S_new,False,0.0,0.0,0.498625
6,10000,DL_S_new,True,0.0,0.0,0.505587353502
6,10000,DL_S_new_contraction,False,0.0,0.0,0.498625
6,10000,DL_S_new_contraction,True,0.0,0.0,0.505587353502
6,10000,DL_S_new_sparsity,False,0.795063575168,0.513278609367,0.51925
6,10000,DL_S_new_sparsity,True,0.776736493936,0.501601993592,0.508040337967
6,10000,l2_reg,False,1.0,0.501375,0.501375
6,10000,l2_reg,True,1.0,0.494412646498,0.494412646498
6,10000,DL_S_new_Drop_out,False,0.0,0.0,0.498625
6,10000,DL_S_new_Drop_out,True,0.0,0.0,0.505587353502
7,10000,SVM,True,0.546798029557,0.545008183306,0.541770057899
7,10000,SVM,False,0.64078648853,0.622886547415,0.6295
7,10000,SVM_RBF,True,0.261631089217,0.926356589147,0.61759029501
7,10000,SVM_RBF,False,1.0,1.0,1.0
7,10000,Log,True,0.55610290093,0.543897216274,0.541494347946
7,10000,Log,False,0.696244013108,0.680295566502,0.687125
7,10000,DL,True,0.883962780515,0.856763925729,0.867107802592
7,10000,DL,False,0.979329468112,0.959496171894,0.96925
7,10000,SAE_SVM,True,0.720853858785,0.714983713355,0.714640198511
7,10000,SAE_SVM,False,0.758255608772,0.756919979869,0.759375
7,10000,DL_S,True,0.922824302135,0.844266399599,0.875379101186
7,10000,DL_S,False,0.982606503655,0.923696682464,0.951125
7,10000,SAE_S_SVM,True,0.548987411056,0.562219730942,0.557485525227
7,10000,SAE_S_SVM,False,0.626165868414,0.634320735444,0.635625
