no.,method,isTest,recall,precision,accuracy
1,SVM,True,0.55773420479302838,0.54671649759743723,0.54555403556771542
1,SVM,False,0.63230769230769235,0.61241721854304632,0.61590423257802485
1,SVM_RBF,True,0.37690631808278868,0.88604353393085789,0.66265389876880987
1,SVM_RBF,False,1.0,1.0,1.0
1,SVM_POLY,True,0.64923747276688448,0.90098261526832957,0.78796169630642954
1,SVM_POLY,False,0.79299145299145302,0.98723132581400297,0.8913210773834972
1,Log,True,0.53703703703703709,0.53879781420765027,0.5365253077975376
1,Log,False,0.67880341880341877,0.65690653432588919,0.66199230440359125
1,DL,True,0.84967320261437906,0.83916083916083917,0.84268125854993159
1,DL,False,0.99982905982905979,0.99948735475051254,0.99965797349294572
1,SAE_SVM,True,0.62962962962962965,0.63134898962315678,0.62927496580027364
1,SAE_SVM,False,0.65094017094017098,0.64346062859074016,0.64497648567763999
1,SAE_SVM_RBF,True,0.70860566448801743,0.72277777777777774,0.71709986320109442
1,SAE_SVM_RBF,False,0.71760683760683763,0.73804500703234877,0.73133817870884998
1,SAE_SVM_POLY,True,0.68082788671023964,0.69444444444444442,0.68919288645690835
1,SAE_SVM_POLY,False,0.69059829059829059,0.70114543561263454,0.69799059427105603
1,DL_S,True,0.72766884531590414,0.90331304935767409,0.82407660738714095
1,DL_S,False,0.79230769230769227,0.96966527196652719,0.8837109876015391
1,SAE_S_SVM,True,0.62472766884531594,0.56446850393700787,0.56935704514363883
1,SAE_S_SVM,False,0.65076923076923077,0.57153580543461946,0.5812740487387773
1,SAE_S_SVM_RBF,True,0.76252723311546844,0.6941001487357461,0.71190150478796166
1,SAE_S_SVM_RBF,False,0.76905982905982906,0.69119680442464282,0.7126122274476272
1,SAE_S_SVM_POLY,True,0.69226579520697162,0.66649187205034088,0.6714090287277702
1,SAE_S_SVM_POLY,False,0.68683760683760686,0.65696533682145197,0.66395895681915351
2,SVM,True,0.50636413945766467,0.53540081919251026,0.53451131971286581
2,SVM,False,0.5743944636678201,0.60330728693439939,0.59939603106125972
2,SVM_RBF,True,0.34200332042058662,0.89435600578871199,0.65157371617890669
2,SVM_RBF,False,1.0,1.0,1.0
2,SVM_POLY,True,0.57221914775871607,0.9014821272885789,0.75538376587520706
2,SVM_POLY,False,0.75605536332179935,0.99003171726325334,0.8745470232959448
2,Log,True,0.53403431101272825,0.53314917127071826,0.53423522915516286
2,Log,False,0.68737024221453291,0.65898158898656489,0.66669542709232099
2,DL,True,0.8522412838959601,0.85889570552147243,0.85643290999447819
2,DL,False,1.0,1.0,1.0
2,SAE_SVM,True,0.61815163254012173,0.62437115707098934,0.62396466040861398
2,SAE_SVM,False,0.63806228373702423,0.64005553627212775,0.64055220017256254
2,SAE_SVM_RBF,True,0.68179302711676815,0.7412755716004813,0.72252898950855882
2,SAE_SVM_RBF,False,0.7027681660899654,0.74559471365638763,0.73218291630716137
2,SAE_SVM_POLY,True,0.61704482567791918,0.68070818070818073,0.66454997239094427
2,SAE_SVM_POLY,False,0.64307958477508653,0.68897126969416123,0.6772217428817946
2,DL_S,True,0.89651355838406199,0.82108464267612769,0.85091109884041971
2,DL_S,False,0.96314878892733569,0.87448947533773169,0.9126833477135462
2,SAE_S_SVM,True,0.61151079136690645,0.56406329760081675,0.57040309221424623
2,SAE_S_SVM,False,0.65726643598615919,0.58401229823212908,0.59559965487489219
2,SAE_S_SVM_RBF,True,0.71278361925843936,0.69621621621621621,0.70154610712313636
2,SAE_S_SVM_RBF,False,0.74584775086505195,0.69353281853281856,0.70888697152717861
2,SAE_S_SVM_POLY,True,0.64028776978417268,0.65664018161180482,0.6535063500828272
2,SAE_S_SVM_POLY,False,0.68564013840830451,0.66293074606891933,0.66937014667817085
3,SVM,True,0.55549358616843281,0.54101032047800113,0.5415968732551647
3,SVM,False,0.63574778530484632,0.60928916264358246,0.61221640488656193
3,SVM_RBF,True,0.60122699386503065,0.82352941176470584,0.73590173087660526
3,SVM_RBF,False,1.0,1.0,1.0
3,SVM_POLY,True,0.66815393195761297,0.8841328413284133,0.79006141820212172
3,SVM_POLY,False,0.83567830467257254,0.98263888888888884,0.91003490401396159
3,Log,True,0.55828220858895705,0.54284164859002171,0.54355108877721947
3,Log,False,0.68872676741358352,0.66560349169044819,0.66980802792321115
3,DL,True,0.83045175683212491,0.84988584474885842,0.84170854271356788
3,DL,False,1.0,1.0,1.0
3,SAE_SVM,True,0.63134411600669271,0.62061403508771928,0.6222780569514238
3,SAE_SVM,False,0.65294424179260036,0.64048389844948028,0.6415357766143106
3,SAE_SVM_RBF,True,0.72559955382041275,0.72077562326869804,0.72194304857621439
3,SAE_SVM_RBF,False,0.73128365468125756,0.7342169515172654,0.73202443280977314
3,SAE_SVM_POLY,True,0.66871165644171782,0.67473269555430504,0.67280848687883865
3,SAE_SVM_POLY,False,0.66857738405419487,0.68463180362860188,0.67879581151832458
3,DL_S,True,0.82822085889570551,0.87973933649289104,0.85734226689000559
3,DL_S,False,0.90602744484974818,0.94578422484134173,0.92670157068062831
3,SAE_S_SVM,True,0.62409369771332956,0.55231984205330698,0.55862646566164154
3,SAE_S_SVM,False,0.65155462914712525,0.57725453985841801,0.58525305410122164
3,SAE_S_SVM_RBF,True,0.7612939208031233,0.68592964824120606,0.70603015075376885
3,SAE_S_SVM_RBF,False,0.76393955184992179,0.69754163362410782,0.71500872600349041
3,SAE_S_SVM_POLY,True,0.69102063580591189,0.65729442970822283,0.6649916247906198
