no.,number_of_training,method,isTest,recall,precision,accuracy
1,10000,SVM,True,0.52079866888519133,0.52931228861330326,0.53105161468396356
1,10000,SVM,False,0.63251059586138125,0.63393303348325836,0.63262499999999999
1,10000,SVM_RBF,True,0.92457016084303933,0.58388791593695266,0.63455699696384216
1,10000,SVM_RBF,False,1.0,1.0,1.0
1,10000,SVM_POLY,True,0.63283416528008873,0.88108108108108107,0.77477228815898425
1,10000,SVM_POLY,False,0.83146347544253307,0.98581140999113215,0.90949999999999998
1,10000,Log,True,0.55185801442041038,0.54341889677771704,0.54623240408501239
1,10000,Log,False,0.71478434305659433,0.695030303030303,0.69974999999999998
1,10000,DL,True,0.80476982806433717,0.82023742227247032,0.81507038365995033
1,10000,DL,False,0.9992520568436799,0.99950124688279307,0.99937500000000001
1,10000,SAE_SVM,True,0.64559068219633942,0.63502454991816693,0.63897322660778355
1,10000,SAE_SVM,False,0.66267763649962608,0.65131095319774568,0.65300000000000002
1,10000,SAE_SVM_RBF,True,0.86855241264559069,0.87632904308897586,0.87358542644217496
1,10000,SAE_SVM_RBF,False,0.99551234106207931,0.99328358208955225,0.99437500000000001
1,10000,SAE_SVM_POLY,True,0.86799778147531892,0.87822671156004495,0.87441346950041399
1,10000,SAE_SVM_POLY,False,0.98927948142607824,0.98681919920417804,0.98799999999999999
1,10000,DL_S,True,0.86522462562396008,0.85059978189749186,0.85730057963014072
1,10000,DL_S,False,0.99950137122911997,1.0,0.99975000000000003
1,10000,SAE_S_SVM,True,0.60011092623405438,0.56589958158995812,0.57190173889042228
1,10000,SAE_S_SVM,False,0.64348042882074297,0.59870099744838789,0.60499999999999998
1,10000,SAE_S_SVM_RBF,True,0.89794786466999443,0.88180827886710245,0.88931824454871655
1,10000,SAE_S_SVM_RBF,False,0.99551234106207931,0.99427290836653381,0.99487499999999995
1,10000,SAE_S_SVM_POLY,True,0.90183028286189681,0.88369565217391299,0.89207838807618001
1,10000,SAE_S_SVM_POLY,False,0.98952879581151831,0.98633200795228626,0.98787499999999995
1,10000,SVM,True,0.52079866888519133,0.52931228861330326,0.53105161468396356
1,10000,SVM,False,0.63251059586138125,0.63393303348325836,0.63262499999999999
1,10000,SVM_RBF,True,0.92457016084303933,0.58388791593695266,0.63455699696384216
1,10000,SVM_RBF,False,1.0,1.0,1.0
1,10000,SVM_POLY,True,0.63283416528008873,0.88108108108108107,0.77477228815898425
1,10000,SVM_POLY,False,0.83146347544253307,0.98581140999113215,0.90949999999999998
1,10000,Log,True,0.55185801442041038,0.54341889677771704,0.54623240408501239
1,10000,Log,False,0.71478434305659433,0.695030303030303,0.69974999999999998
1,10000,DL,True,0.80476982806433717,0.82023742227247032,0.81507038365995033
1,10000,DL,False,0.9992520568436799,0.99950124688279307,0.99937500000000001
1,10000,SAE_SVM,True,0.64559068219633942,0.63502454991816693,0.63897322660778355
1,10000,SAE_SVM,False,0.66267763649962608,0.65131095319774568,0.65300000000000002
1,10000,SAE_SVM_RBF,True,0.86855241264559069,0.87632904308897586,0.87358542644217496
1,10000,SAE_SVM_RBF,False,0.99551234106207931,0.99328358208955225,0.99437500000000001
1,10000,SAE_SVM_POLY,True,0.86799778147531892,0.87822671156004495,0.87441346950041399
1,10000,SAE_SVM_POLY,False,0.98927948142607824,0.98681919920417804,0.98799999999999999
1,10000,DL_S,True,0.86522462562396008,0.85059978189749186,0.85730057963014072
1,10000,DL_S,False,0.99950137122911997,1.0,0.99975000000000003
1,10000,SAE_S_SVM,True,0.60011092623405438,0.56589958158995812,0.57190173889042228
