no.,number_of_training,method,isTest,recall,precision,accuracy
1,10000,SVM,True,0.52475247524752477,0.52911813643926786,0.5265339966832504
1,10000,SVM,False,0.62572218035669425,0.62259435141214692,0.625
1,10000,SVM_RBF,True,0.29977997799779976,0.9252971137521222,0.63598673300165842
1,10000,SVM_RBF,False,1.0,1.0,1.0
1,10000,SVM_POLY,True,0.58965896589658962,0.88668320926385447,0.7559425096738529
1,10000,SVM_POLY,False,0.78447626224566691,0.99048525214081828,0.88900000000000001
1,10000,Log,True,0.54455445544554459,0.54246575342465753,0.54035378662244338
1,10000,Log,False,0.68977643808088418,0.6835947224296739,0.68674999999999997
1,10000,DL,True,0.85698569856985696,0.88122171945701355,0.87009397457158655
1,10000,DL,False,0.99974880683245415,0.99974880683245415,0.99975000000000003
1,10000,SAE_SVM,True,0.73267326732673266,0.73917869034406214,0.73576561636263127
1,10000,SAE_SVM,False,0.75609143431298664,0.75971731448763247,0.75962499999999999
1,10000,SAE_SVM_RBF,True,0.78327832783278328,0.79865395401009531,0.79187396351575456
1,10000,SAE_SVM_RBF,False,0.83772921376538556,0.85556695741405853,0.84887500000000005
1,10000,SAE_SVM_POLY,True,0.75082508250825086,0.80769230769230771,0.78496406854615808
1,10000,SAE_SVM_POLY,False,0.77844762622456665,0.84189079054604732,0.81699999999999995
1,10000,DL_S,True,0.85698569856985696,0.88122171945701355,0.87009397457158655
1,10000,DL_S,False,0.93795528761617686,0.59724888035828538,0.65437500000000004
1,10000,SAE_S_SVM,True,0.61001100110010997,0.55561122244488981,0.55887230514096187
1,10000,SAE_S_SVM,False,0.65209746294900783,0.58933030646992057,0.60075000000000001
1,10000,SAE_S_SVM_RBF,True,0.80693069306930698,0.79383116883116878,0.79767827529021562
1,10000,SAE_S_SVM_RBF,False,0.87666415473499126,0.83793517406962781,0.85424999999999995
1,10000,SAE_S_SVM_POLY,True,0.81353135313531355,0.78544875199150288,0.79463792150359314
1,10000,SAE_S_SVM_POLY,False,0.85606631499623209,0.81220209723546233,0.82987500000000003
