DDI,sequence_num,auc,blAUC,diffAUC
PF00004.21_int_PF09336.2,1,0.919,0.948,-0.029
PF00004.21_int_PF09336.2,2,0.955,0.944,0.011
PF00004.21_int_PF09336.2,7,0.948,0.956,-0.008
PF00017.16_int_PF00018.20,1,0.873,0.707,0.166
PF00017.16_int_PF00018.20,2,0.784,0.546,0.238
PF00017.16_int_PF00018.20,4,0.942,0.752,0.19
PF00017.16_int_PF00018.20,5,0.906,0.484,0.422
PF00017.16_int_PF00018.20,7,0.792,0.74,0.052
PF00017.16_int_PF00018.20,8,0.756,0.667,0.089
PF00017.16_int_PF00018.20,20,0.551,0.469,0.082
PF00017.16_int_PF00018.20,21,0.792,0.632,0.16
PF00017.16_int_PF00018.20,22,0.785,0.678,0.107
PF00025.13_int_PF00025.13,1,0.853,0.776,0.077
PF00025.13_int_PF00025.13,2,0.992,1.0,-0.008
PF00025.13_int_PF00025.13,3,0.938,0.963,-0.025
PF00025.13_int_PF00025.13,6,0.97,0.999,-0.029
PF00025.13_int_PF00025.13,7,0.777,0.51,0.267
PF00025.13_int_PF00025.13,10,1.0,1.0,0.0
PF00025.13_int_PF00025.13,11,0.581,0.539,0.042
PF00025.13_int_PF00025.13,15,0.648,0.383,0.265
PF00025.13_int_PF00025.13,21,0.893,0.869,0.024
PF00028.9_int_PF00028.9,1,0.826,0.512,0.314
PF00028.9_int_PF00028.9,3,0.551,0.306,0.245
PF00028.9_int_PF00028.9,7,0.389,0.388,0.001
PF00028.9_int_PF00028.9,8,0.519,0.506,0.013
PF00028.9_int_PF00028.9,19,0.91,0.858,0.052
PF00028.9_int_PF00028.9,20,0.93,0.96,-0.03
PF00028.9_int_PF00028.9,21,0.222,0.194,0.028
PF00028.9_int_PF00028.9,22,0.562,0.466,0.096
PF00032.9_int_PF02271.8,1,1.0,0.996,0.004
PF00032.9_int_PF02271.8,2,0.997,0.963,0.034
PF00032.9_int_PF02271.8,5,1.0,0.982,0.018
PF00032.9_int_PF02271.8,31,1.0,1.0,0.0
PF00032.9_int_PF02939.8,1,1.0,0.995,0.005
PF00032.9_int_PF02939.8,2,0.999,0.996,0.003
PF00032.9_int_PF02939.8,5,0.994,0.992,0.002
PF00032.9_int_PF02939.8,31,0.987,0.987,0.0
PF00033.11_int_PF00033.11,1,0.978,0.94,0.038
PF00033.11_int_PF00033.11,2,0.979,0.947,0.032
PF00033.11_int_PF00033.11,5,0.955,0.965,-0.01
PF00033.11_int_PF00033.11,6,0.996,0.99,0.006
PF00033.11_int_PF00033.11,9,0.987,0.979,0.008
PF00033.11_int_PF00033.11,20,1.0,0.992,0.008
PF00033.11_int_PF00355.18,1,1.0,1.0,0.0
PF00033.11_int_PF00355.18,3,1.0,1.0,0.0
PF00033.11_int_PF00355.18,7,1.0,0.98,0.02
PF00033.11_int_PF00355.18,8,0.984,0.906,0.078
PF00033.11_int_PF00355.18,10,1.0,1.0,0.0
PF00033.11_int_PF00355.18,16,1.0,1.0,0.0
PF00033.11_int_PF00355.18,39,1.0,1.0,0.0
PF00033.11_int_PF02271.8,1,1.0,1.0,0.0
PF00033.11_int_PF02271.8,2,1.0,1.0,0.0
PF00033.11_int_PF02271.8,5,0.984,1.0,-0.016
PF00033.11_int_PF02939.8,1,1.0,1.0,0.0
PF00033.11_int_PF02939.8,2,1.0,1.0,0.0
PF00033.11_int_PF02939.8,26,1.0,0.944,0.056
PF00034.13_int_PF00141.15,1,0.969,0.938,0.031
PF00034.13_int_PF00141.15,7,1.0,0.938,0.062
PF00034.13_int_PF02239.8,1,1.0,1.0,0.0
PF00034.13_int_PF02239.8,6,0.984,0.902,0.082
PF00051.10_int_PF00051.10,1,0.901,0.889,0.012
PF00051.10_int_PF00051.10,3,0.679,0.63,0.049
PF00051.10_int_PF00051.10,4,0.449,0.653,-0.204
PF00051.10_int_PF00051.10,5,0.4,0.62,-0.22
PF00051.10_int_PF00051.10,6,0.667,0.556,0.111
PF00051.10_int_PF00051.10,11,0.918,0.827,0.091
PF00051.10_int_PF00051.10,12,0.436,0.316,0.12
PF00051.10_int_PF00051.10,16,0.711,0.754,-0.043
PF00074.12_int_PF07686.9,1,0.934,0.669,0.265
PF00074.12_int_PF07686.9,7,0.985,0.791,0.194
PF00074.12_int_PF07686.9,8,0.764,0.767,-0.003
PF00081.14_int_PF00081.14,1,0.98,0.936,0.044
PF00081.14_int_PF00081.14,2,0.852,0.843,0.009
PF00081.14_int_PF00081.14,5,0.917,1.0,-0.083
PF00081.14_int_PF00081.14,7,0.94,0.915,0.025
PF00081.14_int_PF00081.14,12,1.0,0.969,0.031
PF00081.14_int_PF00081.14,26,1.0,0.959,0.041
PF00081.14_int_PF00081.14,40,1.0,0.96,0.04
PF00081.14_int_PF00081.14,42,0.961,0.966,-0.005
PF00087.13_int_PF00087.13,1,0.849,0.905,-0.056
PF00087.13_int_PF00087.13,2,0.49,0.269,0.221
PF00087.13_int_PF00087.13,4,0.853,0.942,-0.089
PF00087.13_int_PF00087.13,5,0.89,0.99,-0.1
PF00087.13_int_PF00087.13,6,0.969,0.973,-0.004
PF00087.13_int_PF00087.13,7,0.589,0.705,-0.116
PF00087.13_int_PF00087.13,8,0.653,0.562,0.091
PF00087.13_int_PF00087.13,10,0.902,0.96,-0.058
PF00087.13_int_PF00087.13,12,0.848,0.943,-0.095
PF00087.13_int_PF00087.13,16,0.807,0.677,0.13
PF00104.22_int_PF08832.2,1,0.98,0.95,0.03
PF00104.22_int_PF08832.2,4,0.982,0.998,-0.016
PF00104.22_int_PF08832.2,9,0.982,0.96,0.022
PF00104.22_int_PF08832.2,11,0.991,0.991,0.0
PF00127.12_int_PF06433.3,1,1.0,0.959,0.041
PF00127.12_int_PF06433.3,15,1.0,0.785,0.215
PF00127.12_int_PF06433.3,27,1.0,0.857,0.143
PF00149.20_int_PF08321.4,1,0.931,0.988,-0.057
PF00149.20_int_PF08321.4,3,0.909,0.958,-0.049
PF00167.10_int_PF07679.8,1,0.929,0.991,-0.062
PF00167.10_int_PF07679.8,2,0.96,0.983,-0.023
PF00167.10_int_PF07679.8,6,0.904,0.94,-0.036
PF00167.10_int_PF07679.8,7,0.972,0.975,-0.003
PF00167.10_int_PF07679.8,11,0.889,0.994,-0.105
PF00167.10_int_PF07679.8,24,0.963,0.949,0.014
PF00167.10_int_PF07679.8,25,0.98,0.954,0.026
PF00167.10_int_PF07679.8,26,0.972,0.924,0.048
PF00243.10_int_PF00243.10,1,0.917,0.99,-0.073
PF00243.10_int_PF00243.10,2,0.947,0.993,-0.046
PF00243.10_int_PF00243.10,3,0.905,0.975,-0.07
PF00243.10_int_PF00243.10,4,0.68,0.73,-0.05
PF00243.10_int_PF00243.10,7,0.892,0.923,-0.031
PF00243.10_int_PF00243.10,8,0.932,0.978,-0.046
PF00243.10_int_PF00243.10,12,0.937,0.977,-0.04
PF00254.20_int_PF00254.20,1,0.786,0.69,0.096
