DDI,sequence_num,auc,blAUC,diffAUC
PF00004.21_int_PF09336.2,1,0.923,0.914,0.009
PF00004.21_int_PF09336.2,2,0.969,0.984,-0.015
PF00004.21_int_PF09336.2,7,0.894,0.96,-0.066
PF00017.16_int_PF00018.20,1,0.935,0.981,-0.046
PF00017.16_int_PF00018.20,2,0.787,0.914,-0.127
PF00017.16_int_PF00018.20,4,0.851,0.975,-0.124
PF00017.16_int_PF00018.20,5,0.797,0.969,-0.172
PF00017.16_int_PF00018.20,7,0.844,0.855,-0.011
PF00017.16_int_PF00018.20,8,0.957,0.914,0.043
PF00017.16_int_PF00018.20,20,0.918,0.837,0.081
PF00017.16_int_PF00018.20,21,0.785,0.958,-0.173
PF00017.16_int_PF00018.20,22,0.903,0.961,-0.058
PF00025.13_int_PF00025.13,1,0.903,0.968,-0.065
PF00025.13_int_PF00025.13,2,0.965,0.966,-0.001
PF00025.13_int_PF00025.13,3,1.0,1.0,0.0
PF00025.13_int_PF00025.13,6,0.957,0.954,0.003
PF00025.13_int_PF00025.13,7,0.957,0.948,0.009
PF00025.13_int_PF00025.13,10,1.0,1.0,0.0
PF00025.13_int_PF00025.13,11,0.83,0.892,-0.062
PF00025.13_int_PF00025.13,15,0.837,0.679,0.158
PF00025.13_int_PF00025.13,21,0.91,0.834,0.076
PF00028.9_int_PF00028.9,1,0.967,0.983,-0.016
PF00028.9_int_PF00028.9,3,1.0,0.939,0.061
PF00028.9_int_PF00028.9,7,0.567,0.646,-0.079
PF00028.9_int_PF00028.9,8,0.765,0.889,-0.124
PF00028.9_int_PF00028.9,19,0.988,0.972,0.016
PF00028.9_int_PF00028.9,20,1.0,0.93,0.07
PF00028.9_int_PF00028.9,21,0.5,0.778,-0.278
PF00028.9_int_PF00028.9,22,0.475,0.552,-0.077
PF00032.9_int_PF02271.8,1,1.0,0.988,0.012
PF00032.9_int_PF02271.8,2,1.0,0.997,0.003
PF00032.9_int_PF02271.8,5,0.991,1.0,-0.009
PF00032.9_int_PF02271.8,31,1.0,1.0,0.0
PF00032.9_int_PF02939.8,1,1.0,1.0,0.0
PF00032.9_int_PF02939.8,2,1.0,0.984,0.016
PF00032.9_int_PF02939.8,5,0.978,0.989,-0.011
PF00032.9_int_PF02939.8,31,0.895,0.976,-0.081
PF00033.11_int_PF00033.11,1,0.983,0.914,0.069
PF00033.11_int_PF00033.11,2,0.991,0.982,0.009
PF00033.11_int_PF00033.11,5,0.965,0.939,0.026
PF00033.11_int_PF00033.11,6,0.996,0.996,0.0
PF00033.11_int_PF00033.11,9,1.0,0.991,0.009
PF00033.11_int_PF00033.11,20,0.999,0.974,0.025
PF00033.11_int_PF00355.18,1,1.0,1.0,0.0
PF00033.11_int_PF00355.18,3,0.909,1.0,-0.091
PF00033.11_int_PF00355.18,7,1.0,0.99,0.01
PF00033.11_int_PF00355.18,8,0.984,1.0,-0.016
PF00033.11_int_PF00355.18,10,1.0,1.0,0.0
PF00033.11_int_PF00355.18,16,1.0,1.0,0.0
PF00033.11_int_PF00355.18,39,0.99,1.0,-0.01
PF00033.11_int_PF02271.8,1,0.972,1.0,-0.028
PF00033.11_int_PF02271.8,2,0.959,1.0,-0.041
PF00033.11_int_PF02271.8,5,1.0,1.0,0.0
PF00033.11_int_PF02939.8,1,1.0,1.0,0.0
PF00033.11_int_PF02939.8,2,1.0,1.0,0.0
PF00033.11_int_PF02939.8,26,1.0,1.0,0.0
PF00034.13_int_PF00141.15,1,0.984,0.875,0.109
PF00034.13_int_PF00141.15,7,1.0,0.87,0.13
PF00034.13_int_PF02239.8,1,1.0,1.0,0.0
PF00034.13_int_PF02239.8,6,1.0,1.0,0.0
PF00051.10_int_PF00051.10,1,0.951,0.988,-0.037
PF00051.10_int_PF00051.10,3,0.605,0.889,-0.284
PF00051.10_int_PF00051.10,4,0.531,1.0,-0.469
PF00051.10_int_PF00051.10,5,0.64,0.88,-0.24
PF00051.10_int_PF00051.10,6,0.852,0.901,-0.049
PF00051.10_int_PF00051.10,11,0.847,0.857,-0.01
PF00051.10_int_PF00051.10,12,0.582,0.627,-0.045
PF00051.10_int_PF00051.10,16,0.902,0.932,-0.03
PF00074.12_int_PF07686.9,1,0.927,0.914,0.013
PF00074.12_int_PF07686.9,7,1.0,0.959,0.041
PF00074.12_int_PF07686.9,8,0.947,0.822,0.125
PF00081.14_int_PF00081.14,1,1.0,1.0,0.0
PF00081.14_int_PF00081.14,2,0.825,0.754,0.071
PF00081.14_int_PF00081.14,5,1.0,1.0,0.0
PF00081.14_int_PF00081.14,7,0.867,0.924,-0.057
PF00081.14_int_PF00081.14,12,0.984,0.922,0.062
PF00081.14_int_PF00081.14,26,1.0,0.959,0.041
PF00081.14_int_PF00081.14,40,1.0,1.0,0.0
PF00081.14_int_PF00081.14,42,0.992,0.994,-0.002
PF00087.13_int_PF00087.13,1,0.911,0.968,-0.057
PF00087.13_int_PF00087.13,2,0.822,0.82,0.002
PF00087.13_int_PF00087.13,4,0.894,0.934,-0.04
PF00087.13_int_PF00087.13,5,0.952,0.961,-0.009
PF00087.13_int_PF00087.13,6,0.945,0.984,-0.039
PF00087.13_int_PF00087.13,7,0.845,0.769,0.076
PF00087.13_int_PF00087.13,8,0.421,0.595,-0.174
