Cytochrom_B559_int_PsbJ, seqPair 1, auc = 0.837, sens = 1.000, spec = 0.778, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Cytochrom_B559_int_PsbJ, seqPair 2, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Cytochrom_B559_int_PsbJ, seqPair 3, auc = 1.000, sens = 1.000, spec = 0.846, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 1, auc = 0.979, sens = 0.920, spec = 0.885, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Endonuc-dimeris_int_Endonuclease_7, seqPair 1, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Cytochrom_B559_int_PsbJ, seqPair 4, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
CBM_X_int_Glyco_transf_36, seqPair 1, auc = 0.874, sens = 0.898, spec = 0.792, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Cytochrom_B559_int_PsbJ, seqPair 5, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Cytochrom_B559_int_PsbJ, seqPair 6, auc = 0.947, sens = 0.933, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EFG_C_int_LepA_C, seqPair 1, auc = 1.000, sens = 0.980, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 1, auc = 0.880, sens = 1.000, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Cytochrom_B559_int_PsbJ, seqPair 7, auc = 1.000, sens = 1.000, spec = 0.929, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 2, auc = 0.991, sens = 0.957, spec = 0.815, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Endonuc-dimeris_int_Endonuclease_7, seqPair 2, auc = 1.000, sens = 0.963, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
