2013-11-21 12:22 STARTED.
Training AUC: 92.757%
Training accuracy: 81.915%
Training recall: 82.979%
Training precision: 81.250%
Training f_measure: 82.105%
Testing AUC: 94.214%
Testing accuracy: 85.156%
Testing recall: 96.875%
Testing precision: 78.481%
Testing f_measure: 86.713%



PF00004.21_int_PF09336.2, seqPair 1, auc = 0.942, sens = 0.969, spec = 0.785, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 92.488%
Training accuracy: 84.545%
Training recall: 90.000%
Training precision: 81.148%
Training f_measure: 85.345%
Testing AUC: 97.917%
Testing accuracy: 96.875%
Testing recall: 100.000%
Testing precision: 94.118%
Testing f_measure: 96.970%



PF00004.21_int_PF09336.2, seqPair 2, auc = 0.979, sens = 1.000, spec = 0.941, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 96.277%
Training accuracy: 91.964%
Training recall: 91.964%
Training precision: 91.964%
Training f_measure: 91.964%
Testing AUC: 92.675%
Testing accuracy: 50.000%
Testing recall: 0.000%
Testing precision: 0.000%
Testing f_measure: 0.000%



PF00004.21_int_PF09336.2, seqPair 7, auc = 0.927, sens = 0.000, spec = 0.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.





2013-11-21 12:27 SUCCESS: PF00004.21_int_PF09336.2.


Training AUC: 89.764%
Training accuracy: 71.239%
Training recall: 50.442%
Training precision: 86.364%
Training f_measure: 63.687%
Testing AUC: 81.173%
Testing accuracy: 72.222%
Testing recall: 61.111%
Testing precision: 78.571%
Testing f_measure: 68.750%



PF00017.16_int_PF00018.20, seqPair 1, auc = 0.812, sens = 0.611, spec = 0.786, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 94.682%
Training accuracy: 80.973%
Training recall: 68.142%
Training precision: 91.667%
Training f_measure: 78.173%
Testing AUC: 79.938%
Testing accuracy: 66.667%
Testing recall: 55.556%
Testing precision: 71.429%
Testing f_measure: 62.500%



PF00017.16_int_PF00018.20, seqPair 2, auc = 0.799, sens = 0.556, spec = 0.714, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 94.472%
Training accuracy: 78.750%
Training recall: 61.667%
Training precision: 93.671%
Training f_measure: 74.372%
Testing AUC: 99.174%
Testing accuracy: 90.909%
Testing recall: 81.818%
Testing precision: 100.000%
Testing f_measure: 90.000%



PF00017.16_int_PF00018.20, seqPair 4, auc = 0.992, sens = 0.818, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 89.933%
Training accuracy: 75.610%
Training recall: 61.789%
Training precision: 85.393%
Training f_measure: 71.698%
Testing AUC: 96.875%
Testing accuracy: 93.750%
Testing recall: 100.000%
Testing precision: 88.889%
Testing f_measure: 94.118%



PF00017.16_int_PF00018.20, seqPair 5, auc = 0.969, sens = 1.000, spec = 0.889, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 89.251%
Training accuracy: 76.754%
Training recall: 63.158%
Training precision: 86.747%
Training f_measure: 73.096%
Testing AUC: 92.388%
Testing accuracy: 70.588%
Testing recall: 47.059%
Testing precision: 88.889%
Testing f_measure: 61.538%



PF00017.16_int_PF00018.20, seqPair 7, auc = 0.924, sens = 0.471, spec = 0.889, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 88.738%
Training accuracy: 75.221%
Training recall: 62.832%
Training precision: 83.529%
Training f_measure: 71.717%
Testing AUC: 81.481%
Testing accuracy: 55.556%
Testing recall: 22.222%
Testing precision: 66.667%
Testing f_measure: 33.333%



PF00017.16_int_PF00018.20, seqPair 8, auc = 0.815, sens = 0.222, spec = 0.667, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 93.321%
